stage,range_method,e_setting,status,elapsed_s,error
L2,p50,E0_e_reg20,OK,0.07073688507080078,
L2,p50,E1_e_reg5,OK,0.08684396743774414,
L2,p50,E2_e_zero,OK,0.058805227279663086,
L2,p30,E0_e_reg20,OK,0.07133817672729492,
L2,p30,E1_e_reg5,OK,0.08647346496582031,
L2,p30,E2_e_zero,OK,0.05998873710632324,
L2,p20,E0_e_reg20,OK,0.07999300956726074,
L2,p20,E1_e_reg5,OK,0.08037781715393066,
L2,p20,E2_e_zero,OK,0.06239914894104004,
L2,p10,E0_e_reg20,OK,0.0876007080078125,
L2,p10,E1_e_reg5,OK,0.07505178451538086,
L2,p10,E2_e_zero,OK,0.06112313270568848,
L2,lower_trim_5,E0_e_reg20,OK,0.09145855903625488,
L2,lower_trim_5,E1_e_reg5,OK,0.09423518180847168,
L2,lower_trim_5,E2_e_zero,OK,0.0671544075012207,
L2,lower_trim_10,E0_e_reg20,OK,0.08247542381286621,
L2,lower_trim_10,E1_e_reg5,OK,0.08337736129760742,
L2,lower_trim_10,E2_e_zero,OK,0.05962347984313965,
L2,lower_trim_20,E0_e_reg20,OK,0.08499693870544434,
L2,lower_trim_20,E1_e_reg5,OK,0.08580684661865234,
L2,lower_trim_20,E2_e_zero,OK,0.06114697456359863,
L2,lower_trim_30,E0_e_reg20,OK,0.0825810432434082,
L2,lower_trim_30,E1_e_reg5,OK,0.08025550842285156,
L2,lower_trim_30,E2_e_zero,OK,0.06133222579956055,
L1,,,OK,3.1705591678619385,
L2,,,OK,2.3403594493865967,
L3,,,OK,3.0926859378814697,
L4,,,OK,0.1354672908782959,
L5,,,OK,0.4289581775665283,
TOTAL,,,OK,11.881613492965698,
