method,tag_method,layout,keep_k,repeats,elapsed_s,repeat_batch,roto_tracks_ok,solved_total,turn_center_rms_3d_mm_median,turn_center_p95_3d_mm_median,circle_thickness_rms_mm_median,radius_mm_median,turn_count_median
T2_CUDA_REPLAY,T2,v2,8,1,5.292738365009427,1000,34.0,38457.0,13.472255358230182,22.93909392503356,80.51850835685744,547.6132744152653,23.0
T2_CUDA_REPLAY,T2,v2,7,5000,119.08663799201895,1000,34.0,40811.0,20.594649265100717,34.598572096172944,103.47564494572042,547.5380624714298,23.0
T2_CUDA_REPLAY,T2,v2,6,5000,118.7659648849949,1000,34.0,40811.0,31.12262598889896,51.864492060140776,131.23933096785134,552.6607857563646,23.0
T2_CUDA_REPLAY,T2,v2,5,5000,119.0155276460282,1000,34.0,40811.0,44.04254492470689,74.09514923935417,166.28089574399888,563.2960079625173,23.0
T2_CUDA_REPLAY,T2,v2,4,5000,119.06969480602129,1000,34.0,40811.0,73.55092367643829,125.350228888121,227.06948872678421,591.9774521336428,23.0
