host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count
0.719129,1782244069.42106,939,,BSF66F,,f,0,7,0,2912,11,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,0,2145,2145,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,1,3539,3539,70,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,2,0,3647,80,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,3,2419,2419,60,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,4,2027,2027,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,5,3056,3056,40,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,6,3574,3574,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
0.906737,1782244069.608668,940,,BSF66F,,f,0,7,0,2912,10,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,0,2181,2181,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,1,3538,3538,72,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,2,3784,3784,81,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,3,2513,2513,63,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,4,2518,2518,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,5,0,3056,36,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,6,3621,3621,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.116784,1782244069.818715,941,,BSF66F,,f,0,7,0,2912,9,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,0,2202,2202,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,1,0,3538,66,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,2,3585,3585,83,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,3,2492,2492,66,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,4,2379,2379,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,5,3910,3910,41,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,6,3645,3645,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.23666,1782244069.938591,942,,BSF66F,,f,0,7,0,2912,8,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,0,2155,2155,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,1,3556,3556,69,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,2,3836,3836,84,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,3,0,2492,61,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,4,2077,2077,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,5,0,3910,38,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,6,3602,3602,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.341658,1782244070.043589,943,,BSF66F,,f,0,7,0,2912,7,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
1.55909,1782244070.261021,944,,BSF66F,,f,0,0,2151,2151,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0
1.55909,1782244070.261021,944,,BSF66F,,f,0,1,0,3556,64,0,T,0,0,0,0,2,,,,,,0,0,,,,,0
