host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,diag_source,tr_diag_version,rfd_version,poll_seq,anchor_id,raw_mm,resp_rx_ts,carrier_integrator,anchor_diag_valid,anchor_diag_flags,anchor_fp_index,anchor_fp1,anchor_fp2,anchor_fp3,anchor_fp_sum,anchor_fp_sum_q8,anchor_cir_pwr,anchor_cir_pwr_q8,anchor_rxpacc,anchor_rxpacc_q8,anchor_std_noise,tag_diag_valid,tag_diag_flags,tag_fp_index,tag_fp1,tag_fp2,tag_fp3,tag_fp_sum,tag_fp_sum_q8,tag_cir_pwr,tag_cir_pwr_q8,tag_rxpacc,tag_rxpacc_q8,tag_std_noise,anchor_temp_raw,anchor_vbat_raw
0.000251,1783686842.545239,2147350,,BS955A,3,rfd_legacy,,1,235,0,3151,4214815963,4223,1,3,47720,7265,7660,5804,20729,81,2355,9,123,123,56,0,0,0,0,0,0,0,0,0,0,0,0,0,80,97
0.000272,1783686842.54526,2147350,,BS955A,3,rfd_legacy,,1,235,4,2894,181993571,6715,1,3,47719,7500,7267,5715,20482,80,1995,8,124,124,60,0,0,0,0,0,0,0,0,0,0,0,0,0,249,229
0.00116,1783686842.546148,2147350,,BS955A,3,rfd_legacy,,1,235,1,2096,4280351722,1910,1,3,47734,7129,7117,4306,18552,72,1785,7,118,118,52,0,0,0,0,0,0,0,0,0,0,0,0,0,114,100
0.026132,1783686842.57112,2147350,,BS955A,3,rfd_legacy,,1,235,5,2199,247527523,-2352,1,3,47973,6670,6609,4955,18234,71,1881,7,118,118,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69
0.028358,1783686842.573346,2147350,,BS955A,3,rfd_legacy,,1,235,2,2842,50921114,4809,1,3,47857,7159,6665,4416,18240,71,2032,8,120,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,110
0.030649,1783686842.575637,2147350,,BS955A,3,rfd_legacy,,1,235,6,2864,313067275,9402,1,3,47745,2812,4735,6507,14054,55,1894,7,125,125,44,0,0,0,0,0,0,0,0,0,0,0,0,0,161,126
0.04872,1783686842.593708,2147350,,BS955A,3,rfd_legacy,,1,235,3,3103,116457186,5151,1,3,47669,5863,6534,4134,16531,65,1947,8,117,117,44,0,0,0,0,0,0,0,0,0,0,0,0,0,16,222
0.051078,1783686842.596066,2147350,,BS955A,3,rfd_legacy,,1,235,7,3130,378602042,4737,1,3,47990,6978,6590,4025,17593,69,2020,8,118,118,56,0,0,0,0,0,0,0,0,0,0,0,0,0,128,236
1.11048,1783686843.655468,2147360,,BS955A,3,rfd_legacy,,1,245,0,3161,1508800228,4168,1,3,47801,6797,7128,4193,18118,71,2098,8,124,124,44,0,0,0,0,0,0,0,0,0,0,0,0,0,145,87
1.127466,1783686843.672454,2147360,,BS955A,3,rfd_legacy,,1,245,4,2901,1770945197,6722,1,3,47776,6973,7173,6554,20700,81,1953,8,117,117,64,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5
1.130227,1783686843.675215,2147360,,BS955A,3,rfd_legacy,,1,245,1,2089,1574336108,1986,1,3,47655,7165,7111,5445,19721,77,1860,7,118,118,56,0,0,0,0,0,0,0,0,0,0,0,0,0,169,106
1.132295,1783686843.677283,2147360,,BS955A,3,rfd_legacy,,1,245,5,2192,1836479337,-2374,1,3,47693,7017,7104,6681,20802,81,2038,8,118,118,44,0,0,0,0,0,0,0,0,0,0,0,0,0,160,81
1.134566,1783686843.679554,2147360,,BS955A,3,rfd_legacy,,1,245,2,2802,1639872621,4841,1,3,47866,6367,6478,3749,16594,65,1411,6,117,117,48,0,0,0,0,0,0,0,0,0,0,0,0,0,80,136
1.182507,1783686843.727495,2147360,,BS955A,3,rfd_legacy,,1,245,6,2922,1902018726,9333,1,3,47889,487,5871,5387,11745,46,1792,7,123,123,44,0,0,0,0,0,0,0,0,0,0,0,0,0,29,58
