host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_id,raw_mm,range_mm,quality_percent,valid,status,quality_flag_percent,first_to_last_us,frame_us,poll_count,tr_version,rx_mask,air_us,post_us,cycle_us,rx_seen,imu_valid,imu_n,acc_norm_mean_mg,acc_norm_std_mg,acc_norm_min_mg,acc_norm_max_mg,imu_skip_count,tag_temp_raw,tag_vbat_raw
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,0,3151,3151,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,1,2096,2096,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,2,2842,2842,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,3,3103,3103,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,4,2894,2894,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,5,2199,2199,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,6,2864,2864,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.054059,1783686842.599047,2147351,,BS955A,3,f,0,7,3130,3130,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,0,3172,3172,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,1,2060,2060,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,2,0,2842,96,0,T,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,3,3099,3099,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,4,2931,2931,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,5,2253,2253,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,6,2875,2875,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.104459,1783686842.649447,2147352,,BS955A,3,f,0,7,3258,3258,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,0,3171,3171,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,1,2081,2081,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,2,2827,2827,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,3,0,3099,96,0,T,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,4,2844,2844,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,5,2197,2197,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,6,0,2875,96,0,T,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.133981,1783686842.678969,2147353,,BS955A,3,f,0,7,3217,3217,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.231338,1783686842.776326,2147354,,BS955A,3,f,0,0,3176,3176,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.231338,1783686842.776326,2147354,,BS955A,3,f,0,1,2059,2059,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.231338,1783686842.776326,2147354,,BS955A,3,f,0,2,2816,2816,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.231338,1783686842.776326,2147354,,BS955A,3,f,0,3,3133,3133,96,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.231338,1783686842.776326,2147354,,BS955A,3,f,0,4,2857,2857,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
0.231338,1783686842.776326,2147354,,BS955A,3,f,0,5,2125,2125,100,1,O,0,0,0,0,2,,,,,,0,0,,,,,0,122,202
