gate_id,status,blocking_next_phase,evidence
G11_two_gpu_dynamic_balance,PASS,True,devices=['cuda:0']; partial_chunks_by_gpu={'cuda:0': 72}; gpu0 max_util=100%; failed=0
G12_cpu_parallel_execution,PASS,True,"workers_per_device=32; total_workers=32; build_track_tensors_mean=12.52s, cpu_golden_mean=0.29s, load_imu_prior_cache_mean=0.00s, load_track_tensors_cache_mean=0.00s, simulate_imu_prior_mean=0.59s, torch_gpu_mean=12.77s"
G13_thread_oversubscription_control,REVIEW,False,checked_logs=20; torch_threads_1_in_sample=True; workers_per_device=32
