ok,position_id,x_mm,y_mm,z_mm,error_3d_mm,error_horiz_mm,error_vert_mm,signed_vertical_mm,n_ranges,backend,notes,loss,split_family,split,evidence_label,dtag_fit_mm
True,ID01,-457.74554443359375,72.34597778320312,-366.9027099609375,139.81469028995986,86.0511932832409,110.19682280087622,-110.19682280087622,9506,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID02,-544.4054565429688,1070.8289794921875,-215.63743591308594,56.30902861302243,44.299522318402445,34.76002050781244,-34.76002050781244,9555,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID03,-592.0009765625,1836.2562255859375,-246.13336181640625,214.33479765184074,39.333408512955124,210.69477558593735,210.69477558593735,9515,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID04,-254.99884033203125,-15.013704299926758,493.66583251953125,208.44021078785926,67.58962357410749,197.17749429992676,-197.17749429992676,9534,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID05,-146.63150024414062,1175.206298828125,578.867431640625,132.88894813318808,111.93790085443509,71.61968226854833,71.61968226854833,9495,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID06,-182.23678588867188,1749.3040771484375,498.9454650878906,69.02727891850235,24.97290909278748,64.35152714843753,64.35152714843753,9520,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID07,323.51983642578125,85.45181274414062,82.86062622070312,132.5478472533406,40.79590998095859,126.11354225585939,-126.11354225585939,9498,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID08,484.3364562988281,1201.885009765625,-97.4902114868164,118.58765851594443,96.0116193576034,69.6046097656249,69.6046097656249,9491,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID09,425.7016296386719,1609.8485107421875,-44.40149688720703,48.43576395620855,24.70231298871047,41.6631607421873,41.6631607421873,9528,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID10,83.61078643798828,150.7366943359375,-968.89599609375,94.86505126611804,35.646544181063035,87.9130356640625,-87.9130356640625,9496,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID11,-78.16908264160156,1138.621826171875,-970.2915649414062,20.164320235747134,19.50295287038626,5.121976171874849,5.121976171874849,9510,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID12,0.7900881767272949,1665.9974365234375,-968.8421630859375,88.8261637712816,46.19769509862918,75.86738652343729,75.86738652343729,9504,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID13,-181.02032470703125,1082.1004638671875,-180.9759063720703,60.09523265647863,19.04635032477163,56.99713613281256,-56.99713613281256,9498,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID14,-178.92269897460938,1062.716552734375,-175.79396057128906,75.07077627978033,27.350300857823754,69.91124726562498,-69.91124726562498,9510,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID15,-197.93795776367188,1073.1044921875,-199.64862060546875,61.1469508809173,15.496941551322879,59.150607812500084,-59.150607812500084,9554,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
True,ID16,-173.8361053466797,1095.4990234375,-182.27239990234375,28.9663515930595,11.563424332256341,26.558176562499966,-26.558176562499966,9484,cuda:0,torch_lbfgs,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738
