method,median_p2p5_mm,median_p50_mm,median_p97p5_mm,rmse_p2p5_mm,rmse_p50_mm,rmse_p97p5_mm,bootstrap_unit
B1_gaussian_exponential_mix,40.53460031856498,51.99706618506413,64.38647405944161,56.94128104466509,77.26380045846102,97.93810176944105,position
B2_asymmetric,39.756744298038775,53.879194630966616,65.44450927831438,50.132523315403255,60.24356501339584,71.23085487374145,position
