position_id,anchor_label,n_frames,n_eff,p10,p30,p50,kde_lowest_mode,truth_range_v5_mm,oracle_bias_mm,recoverability_class
ID01,A,1199,1120.455995614628,1479.8,1498.0,1514.0,1504.6729824561403,1570.3491909999086,-42.23715780488783,OTHER_BIASED
ID01,B,1199,1199.0,1741.0,1758.0,1768.0,1765.7884210526315,1768.548220306403,-2.7597992537714617,RECOVERABLE_LOS
ID01,C,1197,1197.0,2143.6,2161.0,2177.0,2164.3216541353386,2280.4586732621424,-116.1370191268038,OTHER_BIASED
ID01,D,1198,1073.5801346761857,2082.0,2099.0,2111.0,2108.813007518797,2088.9993079995456,-1.4493079995454536,RECOVERABLE_LOS
ID01,E,1201,1201.0,2288.0,2303.0,2314.0,2310.9172932330825,2082.6282790147425,188.37172098525753,BIASED_UNRECOVERABLE
ID01,F,1192,1192.0,2361.0,2386.0,2407.5,2405.1859022556396,2326.0041903305864,6.635809669413447,RECOVERABLE_LOS
ID01,G,1141,1141.0,2739.0,2758.0,2769.0,2767.569423558897,2766.0564880332577,1.5129355256394774,RECOVERABLE_LOS
ID01,H,1179,1179.0,2417.0,2451.0,2472.0,2470.646390977443,2558.95388733783,-88.30749636038718,OTHER_BIASED
ID02,A,1200,1200.0,1851.0,1865.0,1874.0,1875.080200501253,1904.1203110430085,-29.04011054175544,OTHER_BIASED
ID02,B,1201,1201.0,1806.0,1820.0,1830.0,1824.7368421052631,1869.8953102437436,-43.73002098754523,OTHER_BIASED
ID02,C,1196,1196.0,2214.0,2232.0,2245.0,2238.0,2366.7671342174644,-128.76713421746445,OTHER_BIASED
ID02,D,1201,1125.8691812289776,2425.0,2441.0,2450.0,2451.1127819548874,2329.2399847062607,75.76001529373934,BIASED_UNRECOVERABLE
ID02,E,1201,1168.356970690806,1670.0,1687.0,1699.0,1699.3157894736842,1667.6562373722365,0.5346339970581084,RECOVERABLE_LOS
ID02,F,1195,761.0812029100205,1658.0,1700.0,1736.0,1715.9991729323308,1732.6435019797907,-16.644329047459905,OTHER_BIASED
ID02,G,1174,1174.0,2236.3,2254.0,2269.0,2267.127230576441,2316.025733358967,-48.898502782526066,OTHER_BIASED
ID02,H,1187,1097.1850893052438,2148.0,2176.0,2199.0,2206.261754385964,2203.2131927406604,3.0462214852809666,RECOVERABLE_LOS
ID03,A,1200,1200.0,2163.0,2191.0,2209.0,2200.9145989974936,2207.460913415237,-6.5463144177433605,RECOVERABLE_LOS
ID03,B,1201,1122.8296088098127,2407.0,2422.0,2435.0,2441.904761904762,2166.4325026817896,219.56749731821037,BIASED_UNRECOVERABLE
ID03,C,1198,1060.6677198737275,2518.0,2533.0,2544.0,2541.5166165413534,2623.6223176892154,-82.10570114786196,OTHER_BIASED
ID03,D,1201,1201.0,2948.0,2967.0,2978.0,2979.751879699248,2589.912779697369,335.08722030263107,BIASED_UNRECOVERABLE
ID03,E,1198,1113.6449598115153,1521.7,1541.1,1555.0,1559.5277443609023,1590.4759409747478,-30.94819661384554,OTHER_BIASED
ID03,F,1188,1188.0,1548.7,1574.1,1594.0,1590.8341979949876,1624.6629227826727,-33.82872478768513,OTHER_BIASED
ID03,G,1156,1156.0,2208.0,2228.0,2240.0,2238.5421679197993,2262.1419425506197,-23.59977463082032,OTHER_BIASED
ID03,H,1173,1131.9614628820657,2099.0,2126.0,2140.0,2140.8176942355917,2136.7151823905474,4.098376931486655,RECOVERABLE_LOS
ID04,A,1199,1199.0,2438.0,2454.0,2464.0,2467.783684210526,2454.2274792536023,-0.22747925360226873,RECOVERABLE_LOS
ID04,B,1200,1189.1083214644873,1306.0,1324.0,1336.0,1336.4684962406013,1305.3244746373182,0.6755253626818103,RECOVERABLE_LOS
ID04,C,1198,1139.9137900637754,1428.0,1441.0,1450.0,1445.9286466165413,1535.4821668341021,-89.55352021756084,OTHER_BIASED
ID04,D,1201,1102.698434427098,2546.0,2558.0,2568.0,2560.315789473684,2522.7648047771345,6.235195222865514,RECOVERABLE_LOS
ID04,E,1200,1123.9359158210843,2777.0,2797.0,2810.0,2809.6891979949874,2765.5456248016003,0.41270853173318756,RECOVERABLE_LOS
