median_3d_mm,p95_3d_mm,rmse_3d_mm,median_vertical_mm,n_positions,fail_rate,loss,split_family,split,evidence_label,dtag_fit_mm,backend
91.84560751869982,213.45060962224352,117.93235480262827,70.76546476708666,24,0.0,l2,all_data,ALL,TRANSDUCTIVE,50.36038839498738,cuda:0
139.7230702131434,139.7230702131434,139.7230702131434,110.06398741269263,1,0.0,l2,loo_position,ID01,HELD-OUT,50.44501406224509,cuda:0
56.56869696778279,56.56869696778279,56.56869696778279,35.26514746093744,1,0.0,l2,loo_position,ID02,HELD-OUT,51.24910706458937,cuda:0
213.72496703604395,213.72496703604395,213.72496703604395,210.09174824218735,1,0.0,l2,loo_position,ID03,HELD-OUT,50.74733943984202,cuda:0
211.25356837834266,211.25356837834266,211.25356837834266,200.15268923095704,1,0.0,l2,loo_position,ID04,HELD-OUT,48.42962419902996,cuda:0
133.72364718081442,133.72364718081442,133.72364718081442,72.45854945604833,1,0.0,l2,loo_position,ID05,HELD-OUT,49.14867523496154,cuda:0
72.44946158069735,72.44946158069735,72.44946158069735,67.81246464843753,1,0.0,l2,loo_position,ID06,HELD-OUT,48.407839775594226,cuda:0
132.06824953707243,132.06824953707243,132.06824953707243,125.59191292236329,1,0.0,l2,loo_position,ID07,HELD-OUT,50.71720308481039,cuda:0
118.67894849686553,118.67894849686553,118.67894849686553,69.6686966796874,1,0.0,l2,loo_position,ID08,HELD-OUT,50.215719551366206,cuda:0
48.136175062394145,48.136175062394145,48.136175062394145,41.3628677734373,1,0.0,l2,loo_position,ID09,HELD-OUT,50.564544482997064,cuda:0
96.39947402025389,96.39947402025389,96.39947402025389,89.42595985839844,1,0.0,l2,loo_position,ID10,HELD-OUT,49.373440214212025,cuda:0
21.34123833432479,21.34123833432479,21.34123833432479,6.535306249999849,1,0.0,l2,loo_position,ID11,HELD-OUT,47.78848948865121,cuda:0
89.93282059824342,89.93282059824342,89.93282059824342,77.09578007812479,1,0.0,l2,loo_position,ID12,HELD-OUT,49.564544482997064,cuda:0
60.04058291072736,60.04058291072736,60.04058291072736,56.93964101562506,1,0.0,l2,loo_position,ID13,HELD-OUT,50.23701345675377,cuda:0
75.25078175779267,75.25078175779267,75.25078175779267,70.10985566406248,1,0.0,l2,loo_position,ID14,HELD-OUT,50.983895496472144,cuda:0
61.64394500625568,61.64394500625568,61.64394500625568,59.640842187500084,1,0.0,l2,loo_position,ID15,HELD-OUT,51.16011910101756,cuda:0
