file,rows
b0_oracle_link_bias.csv,192
b0_oracle_per_position.csv,24
b0_oracle_summary.csv,1
b0_raw_inventory_link_features.csv,192
b1_loo_summary.csv,8
b1_per_position_errors.csv,768
b1_static_results_by_split.csv,256
b1_v4_best3_per_position_errors.csv,288
b1_v4_best3_results_by_split.csv,96
b1_v5_v4_loo_comparison.csv,11
b2_frame_level_per_position.csv,384
b2_frame_level_results_by_split.csv,128
b2_loo_summary.csv,4
b3_b4_gate_decision.csv,1
b5_anchor_holdout.csv,8
b5_control_summary.csv,1
b5_frame_half_stability.csv,192
b5_leakage_assertion.csv,1
b5_position_bootstrap_ci.csv,2
b5_synthetic_recovery.csv,40
b5_train_test_gaps.csv,12
b6_decision_summary.csv,1
b6_master_comparison.csv,3
raw_data_inventory.csv,24
raw_loading_checkpoint.csv,1
task_status.csv,6
verification.csv,1
