phase,kind,on_instruction_s,on_token_s,off_instruction_s,off_token_s,definitely_on_duration_s,imu_motion_onset_s,uwb_motion_onset_s,sustained_motion_start_s,last_imu_motion_evidence_s,independent_motion_duration_s,observation_end_s,imu_quiet_start_s,uwb_stable_start_s,mechanical_settle_s,motion_classification,settle_classification,settle_lower_s,settle_upper_s,S2P_suspected_s,S2P_moving_s,S2P_release_latency_s,S2P_false_relock_during_motion,S2P_settling_interruptions_during_motion,S2P_settling_s,S2P_relock_s,S2P_relock_status,S2P_relock_latency_s,S2P_max_position_norm_m,S2P_max_velocity_mps,S2P_release_gate,S2P_sustained_no_false_relock_gate,S2P_chattering_gate,S2P_post_settle_relock_gate,S2P_episode_detected,S2R_suspected_s,S2R_moving_s,S2R_release_latency_s,S2R_false_relock_during_motion,S2R_settling_interruptions_during_motion,S2R_settling_s,S2R_relock_s,S2R_relock_status,S2R_relock_latency_s,S2R_max_position_norm_m,S2R_max_velocity_mps,S2R_release_gate,S2R_sustained_no_false_relock_gate,S2R_chattering_gate,S2R_post_settle_relock_gate,S2R_episode_detected
CYCLE_1,SHORT,1291.90655016,1320.64192906,1330.65639791,1507.55181355,10.014468846,1301.94919472,1315.26662684,1301.94919472,1505.75273845,203.803543733,1538.16136424,1505.75773829,,,SUPPORTED,SETTLE_TIME_AMBIGUOUS,1505.75773829,1538.16136424,1305.52408147,1306.8740387,4.9248439865,0,0,1505.96773164,,SETTLE_TIME_AMBIGUOUS,,4.75765811614,2.24026597365,FAIL,PASS,PASS,FAIL,PASS,1305.52408147,1306.8740387,4.9248439865,0,0,1505.96773164,,SETTLE_TIME_AMBIGUOUS,,374.1030085,13.0934688393,FAIL,PASS,PASS,FAIL,PASS
CYCLE_2,SHORT,1538.16136424,1577.09314915,1587.11390026,1603.32525554,10.020751109,1577.62046176,1593.06202159,1577.62046176,1607.38451887,29.7640571082,1826.89208287,1607.38951871,1661.22120338,1661.22120338,SUPPORTED,SUPPORTED,1607.38951871,1661.22120338,1578.1654445,1578.81542391,1.19496214496,1,2,1588.91510396,1661.22120338,ALREADY_STATIONARY_AT_INDEPENDENT_SETTLE,0.0,3.77941910901,1.66110507748,FAIL,FAIL,FAIL,PASS,PASS,1578.1654445,1578.81542391,1.19496214496,1,2,1588.91510396,1661.22120338,ALREADY_STATIONARY_AT_INDEPENDENT_SETTLE,0.0,71.8656482766,5.57775911007,FAIL,FAIL,FAIL,PASS,PASS
CYCLE_3,SHORT,,,,,,,,,,,,,,,NOT_EXECUTED_BY_OPERATOR_SHORTENING,NOT_EXECUTED_BY_OPERATOR_SHORTENING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCLE_4,SHORT,,,,,,,,,,,,,,,NOT_EXECUTED_BY_OPERATOR_SHORTENING,NOT_EXECUTED_BY_OPERATOR_SHORTENING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCLE_5,SHORT,,,,,,,,,,,,,,,NOT_EXECUTED_BY_OPERATOR_SHORTENING,NOT_EXECUTED_BY_OPERATOR_SHORTENING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
