phase,kind,on_instruction_s,on_token_s,off_instruction_s,off_token_s,definitely_on_duration_s,imu_motion_onset_s,uwb_motion_onset_s,sustained_motion_start_s,last_imu_motion_evidence_s,independent_motion_duration_s,observation_end_s,imu_quiet_start_s,uwb_stable_start_s,mechanical_settle_s,motion_classification,settle_classification,settle_lower_s,settle_upper_s,S2P_suspected_s,S2P_moving_s,S2P_release_latency_s,S2P_false_relock_during_motion,S2P_settling_interruptions_during_motion,S2P_settling_s,S2P_relock_s,S2P_relock_status,S2P_relock_latency_s,S2P_max_position_norm_m,S2P_max_velocity_mps,S2P_release_gate,S2P_sustained_no_false_relock_gate,S2P_chattering_gate,S2P_post_settle_relock_gate,S2P_episode_detected,S2R_suspected_s,S2R_moving_s,S2R_release_latency_s,S2R_false_relock_during_motion,S2R_settling_interruptions_during_motion,S2R_settling_s,S2R_relock_s,S2R_relock_status,S2R_relock_latency_s,S2R_max_position_norm_m,S2R_max_velocity_mps,S2R_release_gate,S2R_sustained_no_false_relock_gate,S2R_chattering_gate,S2R_post_settle_relock_gate,S2R_episode_detected
LOW,SUSTAINED,619.188276028,661.260821687,721.290725045,762.551904916,60.029903358,644.318514716,651.197658792,644.318514716,759.89636634,115.577851624,845.693925472,759.901366181,777.075550122,777.075550122,SUPPORTED,SUPPORTED,759.901366181,777.075550122,645.258484938,646.058459596,1.73994488049,0,4,758.84139976,777.075550122,ALREADY_STATIONARY_AT_INDEPENDENT_SETTLE,0.0,3.9517897719,1.8387325515,PASS,PASS,FAIL,PASS,PASS,645.258484938,646.058459596,1.73994488049,0,4,758.84139976,777.075550122,ALREADY_STATIONARY_AT_INDEPENDENT_SETTLE,0.0,5.84930200343,3.74316137286,PASS,PASS,FAIL,PASS,PASS
MEDIUM,SUSTAINED,845.693925472,865.23379107,925.24553627,961.120997137,60.0117452,845.843643627,860.354173949,845.843643627,950.025343268,104.181699641,1066.94947404,950.030343109,,,SUPPORTED,SETTLE_TIME_AMBIGUOUS,950.030343109,1066.94947404,846.088635866,847.288597852,1.44495422547,1,0,953.685227327,,SETTLE_TIME_AMBIGUOUS,,3.945231518,2.18998677194,FAIL,FAIL,PASS,FAIL,PASS,846.088635866,847.288597852,1.44495422547,1,0,953.685227327,,SETTLE_TIME_AMBIGUOUS,,556.40516992,14.5832807583,FAIL,FAIL,PASS,FAIL,PASS
HIGH,SUSTAINED,1066.94947404,1095.75573577,1155.80199985,1176.87019141,60.04626408,1074.44140191,1087.63041309,1074.44140191,1179.19308349,104.751681585,1291.90655016,1179.19808333,,,SUPPORTED,SETTLE_TIME_AMBIGUOUS,1179.19808333,1291.90655016,1079.03125651,1079.331247,4.88984509521,0,1,1178.9780903,,SETTLE_TIME_AMBIGUOUS,,4.36120302489,2.17102316433,FAIL,PASS,FAIL,FAIL,PASS,1079.03125651,1079.331247,4.88984509521,0,1,1178.9780903,,SETTLE_TIME_AMBIGUOUS,,7.93934643114,5.03781996406,FAIL,PASS,FAIL,FAIL,PASS
