phase,kind,on_instruction,on_token,off_instruction,off_token,on_instruction_s,on_token_s,off_instruction_s,off_token_s,definitely_on_duration_s,observation_end_s,imu_motion_onset_s,uwb_motion_onset_s,sustained_motion_start_s,last_imu_motion_evidence_s,independent_motion_duration_s,imu_quiet_start_s,uwb_stable_start_s,mechanical_settle_s,motion_classification,settle_classification,settle_lower_s,settle_upper_s
LOW,SUSTAINED,281388.188503,281430.261049,281490.290952,281531.552132,619.188276028,661.260821687,721.290725045,762.551904916,60.029903358,845.693925472,644.318514716,651.197658792,644.318514716,759.89636634,115.577851624,759.901366181,777.075550122,777.075550122,SUPPORTED,SUPPORTED,759.901366181,777.075550122
MEDIUM,SUSTAINED,281614.694153,281634.234018,281694.245763,281730.121224,845.693925472,865.23379107,925.24553627,961.120997137,60.0117452,1066.94947404,845.843643627,860.354173949,845.843643627,950.025343268,104.181699641,950.030343109,,,SUPPORTED,SETTLE_TIME_AMBIGUOUS,950.030343109,1066.94947404
HIGH,SUSTAINED,281835.949701,281864.755963,281924.802227,281945.870419,1066.94947404,1095.75573577,1155.80199985,1176.87019141,60.04626408,1291.90655016,1074.44140191,1087.63041309,1074.44140191,1179.19308349,104.751681585,1179.19808333,,,SUPPORTED,SETTLE_TIME_AMBIGUOUS,1179.19808333,1291.90655016
CYCLE_1,SHORT,282060.906777,282089.642156,282099.656625,282276.552041,1291.90655016,1320.64192906,1330.65639791,1507.55181355,10.014468846,1538.16136424,1301.94919472,1315.26662684,1301.94919472,1505.75273845,203.803543733,1505.75773829,,,SUPPORTED,SETTLE_TIME_AMBIGUOUS,1505.75773829,1538.16136424
CYCLE_2,SHORT,282307.161591,282346.093376,282356.114127,282372.325483,1538.16136424,1577.09314915,1587.11390026,1603.32525554,10.020751109,1826.89208287,1577.62046176,1593.06202159,1577.62046176,1607.38451887,29.7640571082,1607.38951871,1661.22120338,1661.22120338,SUPPORTED,SUPPORTED,1607.38951871,1661.22120338
