row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id,seed_id
R2:L0:I0:T6,simulate_imu_prior,0.1821496519842185,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0000_cuda0,
R2:L0:I0:T6,cpu_golden,0.3098658680100925,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0000_cuda0,
R2:L0:I0:T6,torch_gpu,0.7030369150161278,0.0,1.0,0.7030369150161278,0.7030369150161278,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0000_cuda0,
R2:L2:I3:T6,simulate_imu_prior,0.8454252750088926,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0000_cuda0,
R2:L2:I3:T6,cpu_golden,0.2167045530222822,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0000_cuda0,
R2:L2:I3:T6,torch_gpu,0.4865219049970619,0.0,1.0,0.4865219049970619,0.4865219049970619,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0000_cuda0,
R4:L8:I1+I2+I3+I8:T8,simulate_imu_prior,1.0350100309879051,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0001_cuda0,
R4:L8:I1+I2+I3+I8:T8,cpu_golden,0.3715435049962252,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0001_cuda0,
R4:L8:I1+I2+I3+I8:T8,torch_gpu,0.8166394389991183,0.0,1.0,0.8166394389991183,0.8166394389991183,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0001_cuda0,
R4:L14:I1+I2+I3+I8:T8,simulate_imu_prior,0.8691344600229058,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_2x1080ti_20260605T113145Z_agreement_0001_cuda0,
