experiment_id,seed_id,wall_time_s,status
X_A0_L2_I0_T11,S03,0.41429470499861054,ok
X_A0_L2_I0_T12,S03,0.5061386529996525,ok
X_A0_L2_I1_T11,S03,0.4169243960004678,ok
X_A0_L2_I1_T12,S03,0.4908274450008321,ok
X_A0_L2_I2_T11,S03,0.4170021070003713,ok
X_A0_L2_I2_T12,S03,0.5150557220003975,ok
X_A0_L2_I3_T11,S03,0.41649675400003616,ok
X_A0_L2_I3_T12,S03,0.497676404998856,ok
X_A0_L2_I4_T11,S03,0.41363984099916706,ok
X_A0_L2_I4_T12,S03,0.47628753100070753,ok
X_A0_L2_I5_T11,S03,0.43226411499927053,ok
X_A0_L2_I5_T12,S03,0.481612944000517,ok
X_A0_L2_I6_T11,S03,0.4215887570007908,ok
X_A0_L2_I6_T12,S03,0.4785581310006819,ok
X_A0_L2_I7_T11,S03,0.41081036899959145,ok
X_A0_L2_I7_T12,S03,0.48192781600118906,ok
X_A0_L2_I8_T11,S03,0.4361367519995838,ok
X_A0_L2_I8_T12,S03,0.49675816200033296,ok
X_A1_L2_I0_T11,S03,0.406807931000003,ok
X_A1_L2_I0_T12,S03,0.5023770869993314,ok
X_A1_L2_I1_T11,S03,0.40895655100030126,ok
X_A1_L2_I1_T12,S03,0.5019246749998274,ok
X_A1_L2_I2_T11,S03,0.41205713500130514,ok
X_A1_L2_I2_T12,S03,0.48924065900064306,ok
X_A1_L2_I3_T11,S03,0.4605180010003096,ok
X_A1_L2_I3_T12,S03,0.48847288500110153,ok
X_A1_L2_I4_T11,S03,0.4068606719993113,ok
X_A1_L2_I4_T12,S03,0.499196402999587,ok
X_A1_L2_I5_T11,S03,0.40867826000067,ok
X_A1_L2_I5_T12,S03,0.4978676770006132,ok
X_A1_L2_I6_T11,S03,0.42441474000042945,ok
X_A1_L2_I6_T12,S03,0.4866545770000812,ok
X_A1_L2_I7_T11,S03,0.4168750070002716,ok
X_A1_L2_I7_T12,S03,0.4847960590013827,ok
X_A1_L2_I8_T11,S03,0.44288294299985864,ok
X_A1_L2_I8_T12,S03,0.47833696999987296,ok
