ID,layout,sigma,subset,f_scale,qmin,smooth,avg,N,X,Y,Z,3D
ID15,MDS+NLS,flat_today,all8,2.0,0.0,10,mean,591,6.1520914990966755,4.449478235984317,8.605658911354,11.47621242764015
ID15,V3-lite,flat_today,all8,2.0,0.0,10,mean,591,6.158287703294517,4.451150032239421,8.605925101490975,11.480382872471019
ID15,MDS+NLS,uniform30,all8,2.0,0.0,10,mean,591,6.141129501206685,4.474143885607834,8.751656761838577,11.589777009793929
ID15,V3-lite,uniform30,all8,2.0,0.0,10,mean,591,6.149364963021264,4.481243133925661,8.746062224339719,11.59266293419297
ID15,V3-lite,uniform30,all8,2.0,80.0,10,mean,591,5.801466743971204,4.2228844725791745,9.129690073533974,11.612106203826201
ID15,V3-lite,uniform30,all8,2.0,95.0,10,mean,591,5.8019604546407555,4.232720563212018,9.126190722765427,11.613183266948937
ID15,MDS+NLS,uniform30,all8,2.0,80.0,10,mean,591,5.800638563964082,4.219323587773161,9.145385912032472,11.622744201267112
ID15,MDS+NLS,uniform30,all8,2.0,95.0,10,mean,591,5.80122158668297,4.230019677196045,9.141933060802764,11.62420657315848
ID15,MDS+NLS,today_sweep_mad,all8,2.0,0.0,10,mean,591,6.315560298744956,4.485833101206914,8.708109659044224,11.655049306326697
ID15,V3-lite,uniform30,all8,2.0,50.0,10,mean,591,5.93639857416926,4.1974829454974225,9.117506445595778,11.66141564710825
ID15,MDS+NLS,uniform30,all8,2.0,50.0,10,mean,591,5.930916429311022,4.194046315923177,9.130509674234414,11.66756191767879
ID15,MDS+NLS,today_sweep_mad,all8,2.0,80.0,10,mean,591,6.0655009060487,4.234559140235547,9.02280871789412,11.667599132346643
ID15,V3-lite,today_sweep_mad,all8,2.0,0.0,10,mean,591,6.326760410722838,4.491313524899134,8.719426431955128,11.671683330861468
ID15,V3-lite,today_sweep_mad,all8,2.0,80.0,10,mean,591,6.075970711566387,4.23683701174903,9.02859628246849,11.67834572119454
ID15,MDS+NLS,today_sweep_mad,all8,2.0,95.0,10,mean,591,6.074062662535421,4.244662673757517,9.03315875133103,11.683721815806193
ID15,V3-lite,today_sweep_mad,all8,2.0,95.0,10,mean,591,6.084096449665712,4.2463916243541915,9.038383868274035,11.693607415442706
ID15,V4-interonly,flat_today,all8,2.0,0.0,10,mean,591,6.3880262045650955,4.617527357085756,8.638101337986054,11.693811714277007
ID15,MDS+NLS,uniform30,all8,2.0,20.0,10,mean,591,6.184638354090891,4.534647724588619,8.857366769683155,11.71604573436346
ID15,V3-lite,uniform30,all8,2.0,20.0,10,mean,591,6.193009907043935,4.54195219645204,8.853174230460159,11.720127790194255
ID15,MDS+NLS,today_sweep_mad,all8,2.0,50.0,10,mean,591,6.2208057181031355,4.24262110391219,9.013984606286682,11.745219286846842
ID15,V3-lite,today_sweep_mad,all8,2.0,50.0,10,mean,591,6.235333222408943,4.245960875016953,9.022763308182178,11.76085974162306
ID15,MDS+NLS,today_sweep_mad,all8,2.0,20.0,10,mean,591,6.31375502692508,4.543507193605072,8.845173635104427,11.778966711622425
ID15,V3-lite,today_sweep_mad,all8,2.0,20.0,10,mean,591,6.3255483994705495,4.549412161771316,8.856409933594596,11.796004004898872
ID15,V4-interonly,uniform30,all8,2.0,0.0,10,mean,591,6.405705701363584,4.65825965600667,8.769370460105053,11.816696104318854
ID15,V4-interonly,today_sweep_mad,all8,2.0,0.0,10,mean,591,6.495891325262951,4.639639192177674,8.76446379311463,11.854901160449833
ID15,V3-lite,uniform50,all8,2.0,0.0,10,mean,591,6.2350696033491495,4.582852566316128,9.205226986158365,12.025590815835082
ID15,MDS+NLS,uniform50,all8,2.0,0.0,10,mean,591,6.228997837117934,4.579727013096577,9.215355765773522,12.029010576896242
ID15,V4-interonly,uniform50,all8,2.0,0.0,10,mean,591,6.511716506457293,4.74734240627625,9.171679292495044,12.208989017411701
ID14,V4-interonly,uniform50,all8,2.0,0.0,10,mean,591,6.526458767794619,3.7421450275067367,10.28591989362766,12.743565494505136
