dataset,ID,peer,version,N,value_mm,x_std,y_std,z_std,rms_3d,radius_mm,radial_std,z_plane_std
static,ID01,BSF66F,V3-lite,601,47.01087771686395,25.080052550133125,20.277030760786516,34.20315206700421,,,,
static,ID01,BSF66F,V4-interonly,601,47.71701914934728,25.831323895813128,21.256594933370746,34.02666298841786,,,,
static,ID02,BSF66F,V3-lite,601,39.29235642651171,16.141851294236158,14.130803162845101,32.91884433444967,,,,
static,ID02,BSF66F,V4-interonly,601,39.156768826700585,16.315936286847954,14.35983016543953,32.570508833159515,,,,
static,ID03,BSF66F,V3-lite,600,35.57041161043464,20.734711886784012,16.518601923545866,23.71627490984257,,,,
static,ID03,BSF66F,V4-interonly,600,36.19717527260771,21.30531726763974,17.564127465669365,23.405563018453837,,,,
static,ID04,BSF66F,V3-lite,601,51.64802853562523,22.591530351675594,13.341726026146915,44.48752583173526,,,,
static,ID04,BSF66F,V4-interonly,601,53.31917339673045,23.93487411031324,13.573588064332748,45.670710089661064,,,,
static,ID05,BSF66F,V3-lite,601,48.07847602182374,26.444400653479136,14.595588792883216,37.405912880832275,,,,
static,ID05,BSF66F,V4-interonly,601,49.48558052479346,26.618405304976413,15.499714584595987,38.730376020533086,,,,
static,ID06,BSF66F,V3-lite,600,30.19347853966065,18.82926223434384,12.573960105023243,19.974998305695667,,,,
static,ID06,BSF66F,V4-interonly,600,30.199107805682623,18.792421079378077,12.53639230830737,20.041703773052816,,,,
static,ID07,BSF66F,V3-lite,600,77.33016810801544,27.764384985052498,16.523538633173587,70.25714552309779,,,,
static,ID07,BSF66F,V4-interonly,600,84.98479032787293,29.54645653882887,17.646337043791057,77.70475070424297,,,,
static,ID08,BSF66F,V3-lite,601,76.9164531273761,38.976999264003496,24.856576126244214,61.47426220256687,,,,
static,ID08,BSF66F,V4-interonly,601,108.60650012925531,57.59644484572304,25.371353687133233,88.51167054994448,,,,
static,ID09,BSF66F,V3-lite,601,71.67116446412551,41.64759736347771,19.243004861731343,55.06305670215518,,,,
static,ID09,BSF66F,V4-interonly,601,86.48151728130378,49.3005464536409,18.994648961132476,68.46686980936246,,,,
static,ID11,BSF66F,V3-lite,601,50.358074485212555,19.499960782768408,16.4668614956789,43.41116985075198,,,,
static,ID11,BSF66F,V4-interonly,601,52.232909072850404,20.35692731344133,17.280654066694687,44.89155038083618,,,,
static,ID12,BSF66F,V3-lite,601,42.72898955697472,23.71721409095196,15.531128091546584,31.969428592453394,,,,
static,ID12,BSF66F,V4-interonly,601,41.82001613008411,23.74664961500477,16.56776544863093,30.174816142303833,,,,
static,ID13,BSF66F,V3-lite,601,47.68238658151241,21.906258388841028,12.717565598871147,40.397888048121224,,,,
static,ID13,BSF66F,V4-interonly,601,48.50503700412235,22.552656186064265,12.987163626359521,40.932259828485165,,,,
static,ID14,BSF66F,V3-lite,600,43.411473970355296,21.393767022793522,12.813081710659922,35.53431780587915,,,,
static,ID14,BSF66F,V4-interonly,600,43.48723740300667,21.469475875498443,12.87330232585957,35.55952066330297,,,,
static,ID15,BSF66F,V3-lite,600,41.39904441395354,20.305881097181047,12.954668032403758,33.670887238471444,,,,
static,ID15,BSF66F,V4-interonly,600,42.21676676269779,21.43703362681756,13.340432474471413,33.834033850145424,,,,
static,ID16,BSF66F,V3-lite,601,44.19496269645747,23.2248609305098,15.931489563339898,34.05859954244947,,,,
static,ID16,BSF66F,V4-interonly,601,44.738385024517214,23.63088355561823,16.024775852500365,34.44286567432912,,,,
static,ID17,BSF66F,V3-lite,601,58.08332466954687,26.12762103167791,17.291337100728345,48.908380520745006,,,,
static,ID17,BSF66F,V4-interonly,601,63.81127065259899,27.55598696740921,18.376624813820108,54.54214430147852,,,,
static,ID18,BSF66F,V3-lite,601,57.830895543408054,21.51599901019341,13.159076115521266,52.041454454423615,,,,
static,ID18,BSF66F,V4-interonly,601,66.99311573970368,24.564834459455547,12.909709518686727,60.97528896722022,,,,
static,ID19,BSF66F,V3-lite,601,58.10336994367795,30.622396810467475,15.9558829750932,46.72986422919823,,,,
static,ID19,BSF66F,V4-interonly,601,61.5930453524666,32.344195274359535,15.861428220165937,49.95969738360742,,,,
static,ID20,BSF66F,V3-lite,601,58.01867440856831,23.598486886289255,14.573273786850777,50.959765383472686,,,,
static,ID20,BSF66F,V4-interonly,601,58.33807213271193,23.5323728058522,14.158146413244856,51.46945677223541,,,,
static,ID21,BSF66F,V3-lite,600,41.931216669425915,21.643276671532206,13.693954245592108,33.20046872285814,,,,
static,ID21,BSF66F,V4-interonly,600,42.31545936229643,23.03523926622572,14.233579767562587,32.51739626708028,,,,
static,ID22,BSF66F,V3-lite,601,39.87222563314289,25.61979233649748,15.23064395477741,26.484865532937942,,,,
static,ID22,BSF66F,V4-interonly,601,37.30290628138444,24.287426979866122,14.289019316472771,24.44282378754324,,,,
static,ID23,BSF66F,V3-lite,601,42.61107301252017,25.6931098428586,14.164181732465513,30.902161829406335,,,,
static,ID23,BSF66F,V4-interonly,601,43.907469472138246,27.685150003406026,14.820858636161795,30.68779063442932,,,,
static,ID24,BSF66F,V3-lite,601,37.82303306494098,22.851207983997902,13.71574745526694,26.838077346319494,,,,
static,ID24,BSF66F,V4-interonly,601,38.24811937839703,24.058549208317334,14.591074100265757,25.907632129850032,,,,
roto,ID25,BSDC91,V3-lite,360,81.57760952371079,,,,136.92165393687625,596.465404736562,62.352976665505935,122.07054012073039
roto,ID25,BS2DCE,V3-lite,360,96.78874280230899,,,,156.81309636583157,465.8648077459058,54.11600282607244,147.3783687844903
roto,ID25,BSDC91,V4-interonly,360,77.93949615463895,,,,133.6384591225515,598.6824312859169,62.09871187281685,118.50036082219631
roto,ID25,BS2DCE,V4-interonly,360,90.20590003103062,,,,148.96005078419267,467.8644330676864,50.6853910541485,140.26523087872005
roto,ID26,BS2DCE,V3-lite,360,93.98985401817674,,,,161.04914897720656,474.050863736933,71.65446918128818,144.3784251283545
roto,ID26,BSDC91,V3-lite,360,76.07051225413855,,,,135.29134334089017,596.8284450824178,78.41814349976538,110.3568337635564
roto,ID26,BS2DCE,V4-interonly,360,88.34450869305145,,,,153.50832544678926,471.7920482701876,66.81494212717843,138.36062293549313
roto,ID26,BSDC91,V4-interonly,360,75.86443812492202,,,,134.86425069048073,599.6235873780275,77.90605605824818,110.19944182112937
roto,ID27,BS2DCE,V3-lite,360,79.35905673855873,,,,131.66840096150156,458.7530041703999,54.550744557571676,119.9937944506469
roto,ID27,BSDC91,V3-lite,360,128.84208768020102,,,,174.57262646592952,568.3376920810919,65.21461405696941,162.15268558321384
roto,ID27,BS2DCE,V4-interonly,360,69.31538113362937,,,,118.09430850029015,459.64995399087405,50.2483494662898,107.01704961337485
roto,ID27,BSDC91,V4-interonly,360,102.4719549421854,,,,150.16951711221253,569.907852739954,61.6084520518455,137.1385257513041
roto,ID28,BSDC91,V3-lite,360,72.92798890689629,,,,123.65591479222681,592.2212128438251,61.012026909084064,107.70797702411522
roto,ID28,BS2DCE,V3-lite,360,93.68047186172966,,,,144.21985910802977,464.55448271728994,71.87534025077541,125.14006663634672
roto,ID28,BSDC91,V4-interonly,360,76.09849307080717,,,,128.7534432603965,593.0716222828332,61.485416053365356,113.28276535428783
roto,ID28,BS2DCE,V4-interonly,360,81.79319186570751,,,,131.93804164571694,458.0843818318333,62.02239133499414,116.58308567180461
roto,ID29,BSDC91,V3-lite,360,94.64376395023233,,,,144.83267409160206,577.8953849801985,57.826317174546006,132.97617028427325
roto,ID29,BS2DCE,V3-lite,360,113.7562874386631,,,,185.94303150221288,457.90590237218134,68.92210414455089,172.89802257943361
roto,ID29,BSDC91,V4-interonly,360,93.09197431538719,,,,142.12406591219312,578.5809598693202,56.54706583826084,130.57677338845892
roto,ID29,BS2DCE,V4-interonly,360,110.5851344338247,,,,179.03166719930894,458.05425584969333,67.92983162946834,165.8359902053711
roto,ID30,BS2DCE,V3-lite,360,60.68785708564799,,,,101.22687527752474,486.971233351818,73.27463217480229,69.8254793470641
roto,ID30,BSDC91,V3-lite,360,46.43527077409085,,,,89.26626993251445,573.0973509278982,67.53804645563699,58.42407066204024
roto,ID30,BS2DCE,V4-interonly,360,61.46102214537518,,,,101.34977201016655,487.08449915106803,74.22392285552982,68.9849968512418
roto,ID30,BSDC91,V4-interonly,360,50.168435207073315,,,,95.73434692203028,577.2994311365198,71.14968175368803,64.1014886366758
roto,ID31,BSDC91,V3-lite,361,47.48723794685062,,,,98.56492640583664,545.0664296437631,72.78862208282729,66.483684027059
roto,ID31,BS2DCE,V3-lite,360,51.95479127068941,,,,102.52309361886051,419.2201595499513,62.10366985734832,81.62145337265876
roto,ID31,BSDC91,V4-interonly,361,50.5095556894429,,,,101.53141959577317,545.7139979710961,74.43793036708499,69.06746414453043
roto,ID31,BS2DCE,V4-interonly,360,53.261274956010254,,,,104.13266952269102,420.2814129586372,62.13932132440651,83.61367491853287
roto,ID32,BSDC91,V3-lite,361,60.32267396629036,,,,103.32817113490998,577.8101254468011,73.11322968876567,73.07061170757163
roto,ID32,BS2DCE,V3-lite,360,49.81191328339835,,,,96.55331882091697,482.4839739111921,65.83204456317388,70.67071293142995
roto,ID32,BSDC91,V4-interonly,361,61.97762068546443,,,,105.68866364576331,577.0972139739029,75.61868901946947,73.87994962389911
roto,ID32,BS2DCE,V4-interonly,360,50.46180359838294,,,,97.38543260350181,480.2621900548295,66.58208583848771,71.10356837843104
roto,ID33,BSDC91,V3-lite,360,77.15675322292235,,,,134.08227512262286,537.338147825839,73.00356308464934,112.57824330491995
roto,ID33,BS2DCE,V3-lite,360,81.94748119530946,,,,159.7447113313618,464.3347016421849,107.00844600977909,118.24922509127035
roto,ID33,BSDC91,V4-interonly,360,75.90506392720606,,,,134.14534504665508,532.9177858919628,70.90721438413352,113.99507417505795
roto,ID33,BS2DCE,V4-interonly,360,83.02132499362143,,,,161.3913341322234,464.2609267981022,108.95250060694434,118.66526962595132
roto,ID34,BSDC91,V3-lite,361,36.71447539036613,,,,71.14234828129183,540.542346299302,56.32471772936701,43.52222952095437
roto,ID34,BS2DCE,V3-lite,360,63.532233841056915,,,,101.16262399949579,479.0334145759778,78.42949939340727,63.792873744354296
roto,ID34,BSDC91,V4-interonly,361,38.4467480467535,,,,74.50678157367517,543.1340427127905,57.79046341463012,47.089945998727515
roto,ID34,BS2DCE,V4-interonly,360,63.17730516089476,,,,103.716169377664,480.077946263449,80.38162950754744,65.42171472536394
roto,ID35,BS2DCE,V3-lite,360,55.8010542683219,,,,103.38905119926785,452.7995061937668,81.63909629428885,63.23939119091969
roto,ID35,BSDC91,V3-lite,360,41.84891081409665,,,,91.52965833665755,536.847301714227,71.84405869473987,56.711477727829504
roto,ID35,BS2DCE,V4-interonly,360,57.672224973426694,,,,107.38646170289077,455.65627687406254,85.03835735450926,65.33409150299646
roto,ID35,BSDC91,V4-interonly,360,42.47033323396669,,,,94.64218286314836,540.2978703467444,74.18879785487567,58.753705120349004
roto,ID36,BSDC91,V3-lite,360,37.31781674432543,,,,72.36265106420979,524.6567720639528,58.30984985733613,42.89948227436166
roto,ID36,BS2DCE,V3-lite,360,53.48550589448944,,,,94.52827569379144,465.39702643579346,73.47001272232893,59.40271014654952
roto,ID36,BSDC91,V4-interonly,360,37.73557392036608,,,,73.33101205134112,524.3072912742973,58.84667326137567,43.801152874308244
roto,ID36,BS2DCE,V4-interonly,360,53.43086279199833,,,,97.49693567557655,465.78792881186854,76.55575165356366,60.26057396196629
roto,ID37,BSDC91,V3-lite,360,57.242699221272645,,,,105.42863998155904,542.5091997788511,70.21223349982037,78.71240279206457
roto,ID37,BS2DCE,V3-lite,360,53.399615559785566,,,,106.14077627744224,448.80393901456813,77.43673895239749,72.49564919164146
roto,ID37,BSDC91,V4-interonly,360,60.42441816226814,,,,110.01331047364357,540.2164740041205,71.49865759702782,83.67832083162429
roto,ID37,BS2DCE,V4-interonly,360,55.320049145343134,,,,108.69288589451467,446.99270164599125,79.22172860101043,74.30367543254916
roto,ID38,BSDC91,V3-lite,361,34.947403268538274,,,,66.86419483212933,519.9940049470258,59.69833757375329,30.125729187210627
roto,ID38,BS2DCE,V3-lite,360,35.333290836079115,,,,66.02746459646244,444.16062591805616,61.07830851021032,24.96908049199964
roto,ID38,BSDC91,V4-interonly,361,37.79775389718168,,,,71.823067066959,523.8793138421414,64.56055117489188,31.44702848462298
roto,ID38,BS2DCE,V4-interonly,360,38.028519071445956,,,,69.49465753894995,444.61568122890037,64.641698914715,25.34079459477346
roto,ID39,BS2DCE,V3-lite,360,49.44556492891852,,,,97.82369529429445,448.6932346568567,75.70927543796653,61.83012501241062
roto,ID39,BSDC91,V3-lite,360,41.99206694573112,,,,85.28131148003574,539.8036601559339,62.497337571368625,58.0870278724735
roto,ID39,BS2DCE,V4-interonly,360,50.599967982796954,,,,102.80560578380374,448.28221525269754,80.26217032660553,64.06319478103721
roto,ID39,BSDC91,V4-interonly,360,43.29927556228208,,,,87.56705494291468,539.9846790500935,65.01772217589144,58.70820827318935
roto,ID40,BSDC91,V3-lite,361,35.434784936197666,,,,66.58765369217663,525.2035758690314,54.530132904181464,38.27090220565081
roto,ID40,BS2DCE,V3-lite,360,43.24089321007605,,,,75.06728480700899,441.1393272423859,61.83590093489582,42.52292608506043
roto,ID40,BSDC91,V4-interonly,361,35.245525781603114,,,,67.22461999151139,527.9995980428855,53.95307799948949,40.1640481875396
roto,ID40,BS2DCE,V4-interonly,360,44.04299962503105,,,,76.9729895639037,443.3801120581587,63.11373657138424,44.019007580768076
roto,ID41,BS2DCE,V3-lite,361,49.61418909182155,,,,89.95522462865269,423.99862501222935,72.0884520879112,53.662593121516956
roto,ID41,BSDC91,V3-lite,360,45.79832356059823,,,,93.16562438985201,525.2486877741416,77.65072501381168,51.39221367744255
roto,ID41,BS2DCE,V4-interonly,361,49.75461683918491,,,,90.10747531602301,420.7883591995749,71.5875038822668,54.585873070467144
roto,ID41,BSDC91,V4-interonly,360,48.64225337434583,,,,97.06194716655344,525.1246026333657,79.53181645716244,55.54604022441301
