dataset,version,n,best,p25,median,p75,worst,mean
static,V3-lite,23,30.19347853966065,41.66513054168973,47.01087771686395,57.92478497598818,77.33016810801544,49.64174605217975
static,V4-interonly,23,30.199107805682623,42.01839144639095,47.71701914934728,59.965558742589266,108.60650012925531,53.11554097753346
static,delta_V4_minus_V3,23,-2.569319351758452,0.35182020850706763,0.8177223487442475,2.682254998213253,31.690047001879208,3.4737949253537352
roto,V3-lite,34,34.947403268538274,45.95756036397138,54.64328008140567,78.80848085964963,128.84208768020102,63.017328895043846
roto,V4-interonly,34,35.245525781603114,48.9203442405556,56.496137059384914,76.05013578490689,110.5851344338247,62.016617692254414
roto,delta_V4_minus_V3,34,-26.370132738015613,-1.0274991418277555,0.7115276873558933,1.8364461929254379,3.7331644329824627,-1.0007112027894407
