sigma_strategy,layout,ID,N,X,Y,Z,3D,sig_A,sig_B,sig_C,sig_D,sig_E,sig_F,sig_G,sig_H
uniform_30,MDS+NLS,ID15,600,20.27613221464074,12.951891045636465,33.671004653457224,41.383687288794945,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
uniform_30,V3-lite,ID15,600,20.305946050819017,12.954675174954332,33.67099201081973,41.39916372223039,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
today_exp_0.5,MDS+NLS,ID15,600,20.518653653037074,13.0092773034069,33.95644508626944,41.75280357756903,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
uniform_50,V3-lite,ID14,600,20.785571411437797,12.747786141529906,33.90205568179857,41.75997377707429,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
today_exp_0.5,V3-lite,ID15,600,20.547147781904354,13.01643978320438,33.964787754415426,41.775827864971035,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
uniform_50,MDS+NLS,ID14,600,20.801740869136598,12.747252762167706,33.976776041165174,41.82853316004275,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
uniform_50,V4-interonly,ID14,600,20.91711272189777,12.762978136220537,34.03573773637921,41.93865351660457,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
uniform_50,MDS+NLS,ID15,600,20.87415497419618,13.147751879431905,34.234979358881034,42.1974825916532,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
uniform_50,V3-lite,ID15,600,20.902955628729703,13.151256428236328,34.231144478328766,42.20971869077177,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
uniform_30,V4-interonly,ID15,600,21.437069726269236,13.340462234086887,33.83432849299088,42.21703063503687,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
today_exp_0.75,MDS+NLS,ID15,600,20.77858596860357,13.125913461265187,34.33531828367119,42.22503192051224,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_exp_0.75,V3-lite,ID15,600,20.81740629974199,13.138984255182182,34.35906126661218,42.26751002163804,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_exp_0.5,V4-interonly,ID15,600,21.682753622108056,13.354604922678849,34.01364407046705,42.49017839725195,28.685240107065514,29.070294116159197,27.699196739255814,31.809974850665945,27.49774536212015,25.395491725894974,26.676731433966943,29.450314090005897
uniform_50,V3-lite,ID16,601,22.239898460329176,15.931094896581044,32.85935795900088,42.75687399246321,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
today_DH_x0.75,MDS+NLS,ID15,600,21.05251379321814,13.60625208640654,34.67387827236951,42.785701668893786,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
uniform_50,MDS+NLS,ID16,601,22.22320836726913,15.933796551659226,32.920914586528134,42.79653583992762,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
today_DH_x0.75,V3-lite,ID15,600,21.09781996424845,13.624008539286377,34.70334304292435,42.837526005562864,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_exp_0.75,V4-interonly,ID15,600,21.968101745398894,13.455736696526984,34.343042227904824,42.931327650215,28.049628057794344,28.616302051029148,26.615837422988527,32.755509662258945,26.326007552531557,23.365458747385475,25.15580951557692,29.17925968152608
today_sweep_mad,MDS+NLS,ID15,600,21.166832740473033,13.301572459859223,34.905344164102885,42.93424844320112,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,MDS+NLS,ID15,600,21.166832740473033,13.301572459859223,34.905344164102885,42.93424844320112,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,MDS+NLS,ID15,600,21.166832740473033,13.301572459859223,34.905344164102885,42.93424844320112,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_sweep_mad,V3-lite,ID15,600,21.201714984679867,13.315443569235095,34.93518685417047,42.980007401964095,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V3-lite,ID15,600,21.201714984679867,13.315443569235095,34.93518685417047,42.980007401964095,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V3-lite,ID15,600,21.201714984679867,13.315443569235095,34.93518685417047,42.980007401964095,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
uniform_50,V4-interonly,ID15,600,22.117440461062575,13.627608030546432,34.2968975238767,43.02522577449375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
