ID,sigma,f_scale,qmin,subset,smooth,N,X,Y,Z,3D
ID15,uniform30,2,0,all8,10,591,7.300191715858118,5.247202413270115,10.109030124588012,13.528430149649262
ID15,uniform50,2,0,all8,10,591,7.319194448574465,5.316233862159259,10.453626347966466,13.824299391871936
ID15,today,2,0,all8,10,591,7.634133379674304,5.371451274474796,10.694195030000335,14.195009284688693
ID14,uniform50,2,0,all8,10,591,8.023353642473015,4.2357198931960784,11.867535726765094,14.938337622099988
ID14,uniform30,2,0,all8,10,591,8.437105729461333,4.3145807735497455,12.073801317065369,15.348519100732936
ID15,uniform30,2,0,noDH,10,591,8.558404111488482,5.174301949491419,11.764506321119464,15.44096145256873
ID15,uniform50,2,0,noDH,10,591,8.607667012899684,5.207555173529261,11.768389726489204,15.482427427404573
ID16,uniform50,2,0,all8,10,592,7.434700108582057,5.8223920844188415,12.356839888164256,15.552057976711007
ID15,today,2,0,noDH,10,591,8.534893724995799,5.5503490193683245,12.29767799142968,15.965076545844354
ID16,uniform30,2,0,all8,10,592,8.278611042423796,6.07771725459946,12.668946191257527,16.308778170530612
ID13,uniform50,2,0,all8,10,592,7.542968850688529,4.719108908762665,13.771219150755028,16.395512949381686
ID15,old,2,0,all8,10,591,9.020762832448996,5.177456139631455,12.745403636867,16.450699925041583
ID13,uniform30,2,0,all8,10,592,7.59729828312675,4.837767991071829,14.180062208328469,16.798723301796034
ID14,today,2,0,all8,10,591,8.994017464179404,5.064523662647925,13.324078186875985,16.854459635522858
ID14,uniform50,2,0,noDH,10,591,8.446851858731081,5.723348266126862,13.539851170921944,16.95386656280633
ID13,today,2,0,all8,10,592,7.385333217207464,4.944775639825078,14.572062021780306,17.068653855064476
ID15,old,2,0,noDH,10,591,9.41197730609487,5.387448689566945,13.33989305894059,17.1919361043814
ID16,today,2,0,all8,10,592,9.833481000655487,6.725890626527134,12.419413803406414,17.209787695683517
ID16,old,2,0,all8,10,592,8.272982928448673,6.0701381918251185,14.066908066213111,17.411683627540118
ID14,uniform30,2,0,noDH,10,591,8.79944135412853,5.736677416111299,14.479028311064992,17.88803781173023
ID14,old,2,0,all8,10,591,7.290676551292397,5.278787897665976,16.240023317403853,18.56765799970288
ID16,old,2,0,noDH,10,592,8.712764172835904,6.556313924904523,15.328428703047045,18.81112007079181
ID14,today,2,0,noDH,10,591,9.705847756510673,6.299832511797241,14.960468042104713,18.91314290085329
ID14,old,2,0,noDH,10,591,7.419355481611113,5.4436058547050585,16.627597236651816,19.004122456146277
ID16,uniform50,2,0,noDH,10,592,11.676019328254903,7.464567460749037,13.171691111715917,19.119169476530917
ID13,uniform50,2,0,noDH,10,592,9.43045646999744,5.016341317873183,16.268154333196442,19.461501351607392
ID13,uniform30,2,0,noDH,10,592,9.515313585468672,4.993111627803718,16.447185732074225,19.64643160634672
ID16,uniform30,2,0,noDH,10,592,11.871300515849274,7.425470676966759,14.097152837922375,19.86945164939987
ID13,today,2,0,noDH,10,592,9.42735733181143,5.108790906847715,16.782947991272675,19.915876934478987
ID15,uniform30,2,0,all8,5,596,10.456312506866027,6.998601157169054,15.73793184838847,20.14937687033748
ID15,uniform50,2,0,all8,5,596,10.458900548004713,7.05043052435718,15.895860781521074,20.292253724939982
ID15,today,2,0,all8,5,596,11.187875164987634,6.972299258050085,16.466389622729196,21.093209686026366
ID13,old,2,0,all8,10,592,10.28191045796334,5.280582620798434,17.807707970792457,21.23008946409976
