ID,layout,sigma,subset,f_scale,qmin,smooth,avg,N,X,Y,Z,3D
ID15,V3-lite,flat_today,noH,2,0,10,mean,591,5.846120075634313,4.190025785085073,8.941884545577581,11.47565837958117
ID15,MDS,flat_today,all8,2,0,10,mean,591,6.1520914990966755,4.449478235984317,8.605658911354,11.47621242764015
ID15,MDS,flat_today,noH,2,0,10,mean,591,5.844222032399074,4.189674391846642,8.946166609354052,11.477900490769018
ID15,V3-lite,flat_today,all8,2,0,10,mean,591,6.158287703294517,4.451150032239421,8.605925101490975,11.480382872471019
ID15,V4,flat_today,noH,2,0,10,mean,591,5.996732770311339,4.266110040504195,8.90560716664061,11.55293632816944
ID15,MDS,uniform30,all8,2,0,10,mean,591,6.141129501206685,4.474143885607834,8.751656761838577,11.589777009793929
ID15,V3-lite,uniform30,all8,2,0,10,mean,591,6.149364963021264,4.481243133925661,8.746062224339719,11.59266293419297
ID15,V3-lite,uniform30,noH,2,0,10,mean,591,5.801466743971204,4.2228844725791745,9.129690073533974,11.612106203826201
ID15,MDS,uniform30,noH,2,0,10,mean,591,5.800638563964082,4.219323587773161,9.145385912032472,11.622744201267112
ID15,MDS,today,all8,2,0,10,mean,591,6.315560298744956,4.485833101206914,8.708109659044224,11.655049306326697
ID15,V4,uniform30,noH,2,0,10,mean,591,5.943050677011897,4.287605175635708,9.078604888164822,11.667239442433667
ID15,MDS,today,noH,2,0,10,mean,591,6.0655009060487,4.234559140235547,9.02280871789412,11.667599132346643
ID15,V3-lite,today,all8,2,0,10,mean,591,6.326760410722838,4.491313524899134,8.719426431955128,11.671683330861468
ID15,V3-lite,today,noH,2,0,10,mean,591,6.075970711566387,4.23683701174903,9.02859628246849,11.67834572119454
ID15,V4,flat_today,all8,2,0,10,mean,591,6.3880262045650955,4.617527357085756,8.638101337986054,11.693811714277007
ID15,V4,today,noH,2,0,10,mean,591,6.188961304729846,4.334531957658717,8.967912714794936,11.72667334684431
ID15,V4,uniform30,all8,2,0,10,mean,591,6.405705701363584,4.65825965600667,8.769370460105053,11.816696104318854
ID15,V4,today,all8,2,0,10,mean,591,6.495891325262951,4.639639192177674,8.76446379311463,11.854901160449833
ID15,V3-lite,uniform50,noH,2,0,10,mean,591,5.943984540405975,4.3066075546534,9.410006443170063,11.934238229015083
ID15,V4,uniform50,noH,2,0,10,mean,591,6.053197568022356,4.3131185464911255,9.3373569337847,11.934421934157294
ID15,MDS,uniform50,noH,2,0,10,mean,591,5.943114928774427,4.305632649736555,9.420479992388358,11.94171389952415
ID15,V3-lite,uniform50,all8,2,0,10,mean,591,6.2350696033491495,4.582852566316128,9.205226986158365,12.025590815835082
ID15,MDS,uniform50,all8,2,0,10,mean,591,6.228997837117934,4.579727013096577,9.215355765773522,12.029010576896242
ID15,V4,uniform50,all8,2,0,10,mean,591,6.511716506457293,4.74734240627625,9.171679292495044,12.208989017411701
ID14,V4,uniform50,all8,2,0,10,mean,591,6.526458767794619,3.7421450275067367,10.28591989362766,12.743565494505136
ID15,V4,uniform30,noDH,2,0,10,mean,591,7.006746168614689,4.470253424557057,9.788951662242141,12.84138747164316
ID14,V4,uniform30,all8,2,0,10,mean,591,6.573212370819758,3.813507737000638,10.422519635050744,12.898793651930397
ID16,V3-lite,uniform50,all8,2,0,10,mean,592,6.734926509080877,4.6399212440126885,10.034653497192494,12.945361139886293
ID16,MDS,uniform50,all8,2,0,10,mean,592,6.732748809904515,4.642857593068212,10.047940921948362,12.955583735893427
ID15,V4,uniform50,noDH,2,0,10,mean,591,7.053079687641813,4.505971949800846,9.933640068724715,12.989492727107965
ID15,V4,flat_today,noDH,2,0,10,mean,591,7.132508526301605,4.564191460378438,9.852129063029652,12.991111139519594
ID15,V4,uniform30,noD,2,0,10,mean,591,7.443259509584882,4.9177364572836355,9.445201165629337,12.992231103606809
ID14,V3-lite,uniform50,noH,2,0,10,mean,591,6.845893402607244,3.831967192413982,10.459421649447673,13.07477457872728
ID15,V3-lite,uniform30,noDH,2,0,10,mean,591,7.021633399455621,4.450580842895935,10.100378286891964,13.081614845798725
ID15,MDS,uniform30,noDH,2,0,10,mean,591,7.012532036579439,4.448470981395671,10.109747323108817,13.083252293427588
ID15,V4,flat_today,noD,2,0,10,mean,591,7.443333969008683,4.917625363564538,9.577058925618708,13.088403930783338
ID14,MDS,uniform50,noH,2,0,10,mean,591,6.854072837758855,3.827673249915425,10.480140859030133,13.094378541898607
ID15,MDS,uniform30,noD,2,0,10,mean,591,7.3217431859517985,4.773999116971501,9.781417807771303,13.11774085656756
ID15,V3-lite,uniform30,noD,2,0,10,mean,591,7.3345418358986505,4.7757615319760545,9.773248497639017,13.119443141743979
ID15,V3-lite,uniform50,noDH,2,0,10,mean,591,7.0246914939664515,4.5049371247352505,10.139874401770646,13.132318986641549
ID15,MDS,uniform50,noDH,2,0,10,mean,591,7.019571349161469,4.502422539569932,10.155128417952655,13.140503180468604
ID16,V4,uniform50,all8,2,0,10,mean,592,6.987439769007967,4.759139799186965,10.089451961141187,13.163235431682258
ID14,V4,flat_today,all8,2,0,10,mean,591,6.82921495830386,3.9356591174699385,10.547531877748007,13.167308697974535
ID15,MDS,uniform30,noH,2,0,10,median,591,7.088071664635987,5.012323213653599,9.922825259539703,13.184331801517493
ID15,V3-lite,uniform30,noH,2,0,10,median,591,7.101815071035937,5.014749885110304,9.91214477597231,13.184616330149398
ID15,MDS,flat_today,noD,2,0,10,mean,591,7.356718285481193,4.800243093170823,9.862908142797737,13.207596099167079
ID15,V3-lite,flat_today,noDH,2,0,10,mean,591,7.165096159060664,4.537869760734236,10.125440846453596,13.208157224571602
ID15,MDS,flat_today,noDH,2,0,10,mean,591,7.150150649903142,4.531552785808836,10.139418858549547,13.208612332716573
ID15,V3-lite,flat_today,noD,2,0,10,mean,591,7.372348983449396,4.807476425856335,9.849788212773245,13.209151636476072
ID15,V4,today,noDH,2,0,10,mean,591,7.334247062252389,4.714711772448833,9.977062295543108,13.249960721321907
ID15,V4,uniform30,noH,2,0,10,median,591,7.2948630735196724,5.093957777850249,9.835478780702607,13.262732597378761
ID14,V4,uniform50,noH,2,0,10,mean,591,7.039162953811502,3.8106475529852126,10.583473019867291,13.269542231201623
ID16,V3-lite,uniform30,all8,2,0,10,mean,592,7.115573435815352,4.812496990877746,10.146782603989173,13.294687278018454
ID15,V4,uniform50,noD,2,0,10,mean,591,7.492766754957882,5.06049059707734,9.752476979845227,13.298906946426888
ID15,V4,today,noD,2,0,10,mean,591,7.527529197602598,4.97798591769244,9.776624820837496,13.305128052932059
ID15,V3-lite,uniform50,noD,2,0,10,mean,591,7.303743888658528,4.889005884486693,10.002691340285276,13.315437934168006
ID15,MDS,uniform50,noD,2,0,10,mean,591,7.301957552268688,4.889127081002245,10.015103413949232,13.323829933672256
ID16,MDS,uniform30,all8,2,0,10,mean,592,7.141764209312153,4.830929400402687,10.174630886673617,13.33663332978529
ID15,MDS,flat_today,noH,2,0,10,median,591,7.148040415046078,4.888342545991509,10.166061875018643,13.354369647002828
ID14,V3-lite,uniform50,all8,2,0,10,mean,591,6.918969458273389,3.747961570134599,10.81829935854199,13.377404655117367
ID15,V3-lite,flat_today,noH,2,0,10,median,591,7.167086180406335,4.8911218411311435,10.197834786549045,13.38977339300077
ID14,MDS,uniform50,all8,2,0,10,mean,591,6.918811016473465,3.744804809088658,10.837021142097328,13.391584528132308
ID15,MDS,today,noD,2,0,10,mean,591,7.471229911996903,4.881559983479825,10.030906382040087,13.426391440572607
ID15,V3-lite,today,noD,2,0,10,mean,591,7.486370000302543,4.885808151041113,10.029355502072969,13.435208552797794
ID14,V3-lite,uniform30,all8,2,0,10,mean,591,6.850527700371674,3.8129903244042707,10.934631469054912,13.454916958183212
ID15,V4,uniform50,noH,2,0,10,median,591,7.3838674527767285,5.146710645880898,10.002973085791945,13.45621044676685
ID15,MDS,today,noDH,2,0,10,mean,591,7.386501253989798,4.679803492068063,10.230251597400875,13.458046264064055
ID14,MDS,uniform30,all8,2,0,10,mean,591,6.842142871047673,3.8151760898680402,10.944044827863497,13.458922871419356
ID15,V3-lite,today,noDH,2,0,10,mean,591,7.405546466885014,4.6869209736794835,10.229670937048251,13.470542460012492
