layout,ID,N,X,Y,Z,3D,path
MDS+NLS,ID13,601,26.81177899155871,14.470485562539842,46.518611916398136,55.607982338296736,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID13_20260513_161529
MDS+NLS,ID14,600,22.210963158527537,14.371382532233408,41.605422166858496,49.3039012046691,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID14_20260513_161800
MDS+NLS,ID15,600,26.21897297183912,13.735162623202154,38.56543193449979,48.614625127407656,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID15_20260513_162010
MDS+NLS,ID16,601,22.810726121680872,15.87098953870505,38.376484792141945,47.381136754382766,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID16_20260513_162320
V3-lite,ID13,601,26.794350538001027,14.456808106677242,46.43841834272089,55.52894037851002,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID13_20260513_161529
V3-lite,ID14,600,22.209882740486044,14.388886882316802,41.51267377552903,49.230285811192935,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID14_20260513_161800
V3-lite,ID15,600,26.26503532033485,13.735350346878775,38.55123316599519,48.62827889354987,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID15_20260513_162010
V3-lite,ID16,601,22.823531463049278,15.88759121315231,38.267325235896564,47.30451694828857,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID16_20260513_162320
V4-interonly,ID13,601,26.919579632036424,14.590624815205041,45.774344854587596,55.07123338849728,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID13_20260513_161529
V4-interonly,ID14,600,22.297153747369727,14.482874459238449,41.19840500511545,49.03290010596382,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID14_20260513_161800
V4-interonly,ID15,600,26.244580660870295,13.621814833497613,37.88387659129817,48.057465174598335,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID15_20260513_162010
V4-interonly,ID16,601,22.890188793939164,15.90028528044878,37.59582444311321,46.79984861705455,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID16_20260513_162320
