ID,layout,d_tag_mm,N,X,Y,Z,3D
ID15,MDS+NLS,0,600,20.27613221464074,12.951891045636465,33.671004653457224,41.383687288794945
ID15,V3-lite,0,600,20.305946050819017,12.954675174954332,33.67099201081973,41.39916372223039
ID15,V3-lite,-20,600,19.43340177538276,12.501005283213983,34.47477720025663,41.502319220276455
ID15,MDS+NLS,-20,600,19.41229345296282,12.496966015078627,34.500361465825655,41.512482917293696
ID15,V4-anchor-delay,-20,600,20.187388962593747,12.724558441725788,34.36180567225243,41.83513773996192
ID15,V4-anchor-delay,0,600,21.437069726269236,13.340462234086887,33.83432849299088,42.21703063503687
ID15,MDS+NLS,20,600,21.804040343676213,13.863528362326813,33.49166730715206,42.30018171325814
ID15,V3-lite,20,600,21.830447769585444,13.875825219788087,33.508116867571694,42.3308501138537
ID14,V3-lite,20,600,21.237290313399562,12.723788762711166,34.35479146509806,42.34582620452793
ID14,MDS+NLS,20,600,21.244423881815273,12.731758947396537,34.40399866715108,42.39172509174624
ID14,V3-lite,0,600,21.393675907421574,12.813082135866889,35.53446878802038,43.41155277917453
ID14,MDS+NLS,0,600,21.387681720174477,12.810262825178873,35.61005258825839,43.469663080729916
ID14,V4-anchor-delay,0,600,21.46948720543469,12.873242615246399,35.55999142739225,43.48761026558633
ID15,V4-anchor-delay,20,600,23.314290894457965,14.112414101510318,34.217802552470665,43.74442139523371
ID14,V4-anchor-delay,20,600,22.214170986564714,13.004043573957146,35.615920242233805,43.94392240793793
ID15,V4-anchor-delay,-40,600,20.457575048846177,12.589208519258866,36.8619882026755,43.997803607393195
ID15,MDS+NLS,-40,600,20.190237197524095,12.688095548271065,37.08400702057929,44.08919395313001
ID15,V3-lite,-40,600,20.23451769536071,12.70396406217989,37.095960475469866,44.1241055756901
ID14,V4-anchor-delay,-20,600,22.213725525270632,13.012175833857002,36.0496199490229,44.298322994355686
ID14,V3-lite,40,600,22.90456158623543,13.174079830365097,36.169510457009515,44.79295488728339
ID14,MDS+NLS,40,600,22.96172855626955,13.217153188632508,36.32439902194403,44.959938623278745
ID15,MDS+NLS,40,600,24.247209364557058,15.46471506488144,34.59982418448528,44.99147038721814
ID15,V3-lite,40,600,24.208250768666133,15.46489109077631,34.63219880355033,44.99546038987522
ID14,V3-lite,-20,600,22.861989796448494,13.101462280418636,36.78770299871932,45.251010853461935
ID14,MDS+NLS,-20,600,22.86947756009715,13.100102516696536,36.93229371547259,45.37201790647714
ID14,V4-anchor-delay,-40,600,23.70236038374289,13.908588695043127,36.78943699731757,45.920729543728996
ID14,V4-anchor-delay,40,600,24.10174128858129,13.306032984730756,37.36113063305438,46.40903499441247
ID14,V4-anchor-delay,-120,600,29.34690495434288,16.67464320156498,31.967237110510695,46.488587898304075
ID14,V3-lite,-40,600,24.484633920831655,13.89621024729276,37.10607017774099,46.57748814083413
ID14,MDS+NLS,-40,600,24.555648910366095,13.899120361114084,37.31447119045757,46.78178278395755
ID15,V4-anchor-delay,40,600,25.827372001901022,14.998704354236272,36.192399998562756,46.92445092365314
ID14,V4-anchor-delay,-60,600,25.512926807640785,15.031308243234983,36.733505069506414,47.182624518848385
ID14,V4-anchor-delay,-100,600,28.809012129597612,16.441880894722022,34.08502743419924,47.56136796213543
ID14,V4-anchor-delay,-80,600,27.38403758689823,15.881863307384279,36.11981788229167,48.028744940139866
ID14,V3-lite,-120,600,29.654418953740514,16.659175179505493,33.98397517885499,48.08142312892214
ID14,MDS+NLS,-120,600,29.66589080571608,16.694811842903544,34.22303185219313,48.27005001989171
ID14,V3-lite,-60,600,26.477638559870325,15.125726182948556,37.628109719457726,48.432711851890105
ID14,MDS+NLS,-60,600,26.53471021147643,15.143760365617787,37.970457984649364,48.73581848684097
ID15,V4-anchor-delay,-60,600,23.47838269643175,13.5394701395448,40.67993312927355,48.88157797270766
ID14,V3-lite,-100,600,29.21686858305255,16.508905749111722,36.26064909611698,49.40651831190036
ID15,V3-lite,-60,600,23.425470363369797,14.072935388407158,41.47204178425862,49.666189927824064
ID15,MDS+NLS,-60,600,23.31954275725068,14.051704686076771,41.5843786855866,49.70424558987113
ID14,MDS+NLS,-100,600,29.290244083231283,16.57875289982103,36.71362672022291,49.80626299091767
ID15,V3-lite,60,600,28.504693088481286,17.219173227440567,37.43654188350901,50.10501095599963
ID15,MDS+NLS,60,600,28.756929066573875,17.23917480021367,37.293832685752974,50.149577002455565
ID14,V3-lite,-80,600,28.273909773381273,16.188157956501918,38.36746690481904,50.334212505912376
ID14,MDS+NLS,-80,600,28.330939347354093,16.283425116961965,38.84288716812087,50.75984575822245
ID15,V4-anchor-delay,60,600,30.077636581014172,16.570560920705947,39.21661350742542,52.1266773017154
ID14,V3-lite,60,600,27.451267884414374,14.372377668262903,41.96906626625705,52.16837999749022
ID14,MDS+NLS,60,600,27.70333279086777,14.488964073976671,42.35359652296007,52.642491070315536
ID15,V3-lite,-80,600,27.70416870179055,15.584698070415895,41.986742473733294,52.66203870872163
ID15,MDS+NLS,-80,600,27.580574173149877,15.557723628913365,42.16738507243181,52.73347324120626
ID14,V4-anchor-delay,60,600,27.619729094628937,14.09899162790153,42.68715605364196,52.76195875943492
ID15,V4-anchor-delay,-80,600,28.642553511494224,15.560578967127487,41.742705474939505,52.962070860367284
ID15,MDS+NLS,80,600,34.45599193906163,19.14448148595981,35.70394236208091,53.18362578901267
ID15,V3-lite,80,600,33.99697569916965,19.002233773201528,36.35736196606992,53.27979930699026
ID15,MDS+NLS,-100,600,31.32330371015334,16.976897895192398,40.32776011926118,53.81164050369554
ID15,V3-lite,-100,600,31.483485950578913,17.00970351695111,40.21812922323903,53.83342660050568
ID15,MDS+NLS,100,600,39.466547384193646,22.347453216489168,29.046644832016046,53.85837542749743
ID15,V3-lite,100,600,39.038760259445034,22.042992379110846,29.850485712363866,53.86065180522794
ID15,MDS+NLS,-120,600,34.136441258445025,18.439755773005825,38.746710816198984,54.83273487464874
ID15,V4-anchor-delay,120,600,40.618191033730994,23.209739699284434,28.67303779106087,54.86959591548683
ID15,V3-lite,-120,600,34.32991742714749,18.482785951713414,38.68701953831127,54.92578709358017
ID15,V3-lite,120,600,42.20519610642579,25.430542404350064,24.36166644171482,54.96800757876057
ID15,MDS+NLS,120,600,42.46649049414412,25.669197867597223,23.903384878817914,55.07887383307679
ID15,V4-anchor-delay,-100,600,34.13844734695338,17.859333996167297,40.80775573049546,56.121852480180564
ID15,V4-anchor-delay,100,600,37.90793301129873,20.261079543285692,36.85217781448198,56.61806901616003
ID15,V4-anchor-delay,80,600,34.62999077444298,18.35394570389147,40.88046433949736,56.633170037993786
ID15,V4-anchor-delay,-120,600,37.918464781780614,19.73404631167163,39.81159699502868,58.414089144083334
ID14,V4-anchor-delay,80,600,34.006408875422586,15.350876373075124,49.65395022854689,62.10958076917657
ID14,V3-lite,80,600,36.344348298296666,16.70796045919956,48.960217191889825,63.22317979515978
ID14,MDS+NLS,80,600,36.84611584980202,16.879241139068824,49.39991369209316,63.897546959442174
ID14,V4-anchor-delay,100,600,42.06399286021258,18.50353397884069,53.550248615006815,70.56478861145385
ID14,V3-lite,100,600,46.03477007495502,20.56679742972586,52.723051684732,72.9514454368128
ID14,MDS+NLS,100,600,46.53921941305805,20.691238563408714,53.295251649685085,73.71845186429184
ID14,V4-anchor-delay,120,600,49.56583126580948,23.50725973500846,52.8336571580167,76.16270884107718
ID14,V3-lite,120,600,52.51022365892773,24.677732121974643,52.98993661304446,78.57637961658085
ID14,MDS+NLS,120,600,52.75240919487634,24.63898879741248,53.71336129234758,79.21503409167325
