solver,config,success,inter_rms,N,X,Y,Z,3D
MDS+NLS,Dual-layer 8anc,True,41.00081919424349,600,22.210963158527537,14.371382532233408,41.605422166858496,49.3039012046691
Ridolfi GD,Dual-layer 8anc,True,41.000819195601,600,22.210957284788158,14.371386668845618,41.60541330563392,49.3038922867635
SDP+NLS,Dual-layer 8anc,False,nan,0,nan,nan,nan,nan
AutoPos V1,Dual-layer 8anc,True,41.00081919424349,600,22.210963158527537,14.371382532233408,41.605422166858496,49.3039012046691
AutoPos V2,Dual-layer 8anc,True,40.42893749055175,600,22.2006813267066,14.389280199787247,41.58620311499724,49.28827371251477
V3-lite,Dual-layer 8anc,True,40.8239541978783,600,22.209882740486044,14.388886882316802,41.51267377552903,49.230285811192935
V3-full,Dual-layer 8anc,False,66.4152127963247,600,22.495459990814375,15.495430237213823,41.13624848796846,49.379601234706
V4-interonly,Dual-layer 8anc,True,44.336175075788965,600,22.297153747369727,14.482874459238449,41.19840500511545,49.03290010596382
MDS+NLS,Upper only EFGH,True,40.25415068854651,182,40.59971755645501,26.762018900805522,4.5263504640763135e-36,48.62656394719858
Ridolfi GD,Upper only EFGH,True,40.254150708962904,182,40.599634612829014,26.761996864809323,3.017566976050876e-36,48.62648256749904
SDP+NLS,Upper only EFGH,False,nan,0,nan,nan,nan,nan
AutoPos V1,Upper only EFGH,True,40.25415068854651,182,40.59971755645501,26.762018900805522,4.5263504640763135e-36,48.62656394719858
AutoPos V2,Upper only EFGH,True,40.212694922253206,182,40.59538053896198,26.76169238480409,0.0,48.62276319176045
V3-lite,Upper only EFGH,True,41.22177147253449,182,40.62382444019516,26.749009045831322,0.0,48.63953738556488
V3-full,Upper only EFGH,True,73.09962376887275,182,40.78490800437521,27.33331569306054,0.0,49.09703522313602
V4-interonly,Upper only EFGH,True,42.31782517948284,182,41.09738860348748,26.55140019578889,6.523158484275954e-18,48.92823522653357
MDS+NLS,Lower only ABCD,True,0.0,596,26.65840245766173,19.688415367773406,55.00890413582242,64.22058591692185
Ridolfi GD,Lower only ABCD,True,0.0,596,26.65840245766173,19.688415367773406,55.00890413582242,64.22058591692185
SDP+NLS,Lower only ABCD,False,nan,0,nan,nan,nan,nan
AutoPos V1,Lower only ABCD,True,0.0,596,26.65840245766173,19.688415367773406,55.00890413582242,64.22058591692185
AutoPos V2,Lower only ABCD,True,8.385046867003608,596,26.600715879276724,19.737203295420823,55.671788186895746,64.78042357951482
V3-lite,Lower only ABCD,True,0.0,596,26.657189015516785,19.67095814631238,54.63516574528467,63.8948640863856
V3-full,Lower only ABCD,True,5.569494857771083e-13,596,26.657189011283137,19.670958173907053,54.63516565590105,63.894864016684664
V4-interonly,Lower only ABCD,True,0.0,596,26.657189015516785,19.67095814631238,54.63516574528467,63.8948640863856
MDS+NLS,Best6 no DH,True,22.721264569809424,600,23.843794838254695,15.834529539862594,44.43642741594445,52.85692915342379
Ridolfi GD,Best6 no DH,True,22.721264569816743,600,23.843793244671385,15.834527745455775,44.436420701914976,52.85692225256616
SDP+NLS,Best6 no DH,False,nan,0,nan,nan,nan,nan
AutoPos V1,Best6 no DH,True,22.721264569809424,600,23.843794838254695,15.834529539862594,44.43642741594445,52.85692915342379
AutoPos V2,Best6 no DH,True,22.232327509005117,600,23.82925197597269,15.840245077910177,44.46958764442957,52.879966330627134
V3-lite,Best6 no DH,True,21.89739908345458,600,23.85377512576691,15.859126853192107,44.43171188307639,52.864841938258046
V3-full,Best6 no DH,False,26.555799484386537,600,23.952751216320177,15.538796561190045,46.88072829958756,54.890720302258096
V4-interonly,Best6 no DH,True,21.250556321478932,600,23.777559922296785,15.766605642662945,44.694861671627145,53.024417669556264
MDS+NLS,Upper+AB,True,31.274659089470294,600,26.451837968232088,71.01033253529785,19.743655846426932,78.3069537452028
Ridolfi GD,Upper+AB,True,31.274659089568107,600,26.451834196834806,71.01031709515276,19.743656926972832,78.30693874224038
SDP+NLS,Upper+AB,False,nan,0,nan,nan,nan,nan
AutoPos V1,Upper+AB,True,31.274659089470294,600,26.451837968232088,71.01033253529785,19.743655846426932,78.3069537452028
AutoPos V2,Upper+AB,True,31.1577753762326,600,26.130009959918162,69.67991170509448,19.958074312268916,77.047986644618
V3-lite,Upper+AB,True,31.607109534444632,600,26.295333079276926,70.44578035509346,19.835716787716386,77.76572620422625
V3-full,Upper+AB,True,59.369259480605685,600,24.037780993448216,55.19517265387828,20.85812495559041,63.71329041921659
V4-interonly,Upper+AB,True,36.0729097589337,600,27.30617804205146,75.18182285889169,18.444027202752928,82.08602796521387
MDS+NLS,Lower+EF,True,34.361401368910514,600,22.852018149683992,14.168703119427445,46.10453356702124,53.37222964269478
Ridolfi GD,Lower+EF,True,34.36140137128604,600,22.85201978099067,14.168700566879304,46.10455500591845,53.372248183100126
SDP+NLS,Lower+EF,False,nan,0,nan,nan,nan,nan
AutoPos V1,Lower+EF,True,34.361401368910514,600,22.852018149683992,14.168703119427445,46.10453356702124,53.37222964269478
AutoPos V2,Lower+EF,True,33.61198725492745,600,22.78204483811903,14.270853678659421,45.46393561053276,52.81712102076789
V3-lite,Lower+EF,True,33.34418487446547,600,22.85795061236454,14.183416008331601,45.94756274854102,53.24315654047765
V3-full,Lower+EF,True,41.73760894997617,600,22.873093834202635,14.216328535676913,42.519971909365125,50.33120731470426
V4-interonly,Lower+EF,True,34.57308596965909,600,22.84823711752531,14.400997599497877,43.947122177760626,51.582751176594144
