ID,layout,sigma,f_scale,smooth,avg,N,X,Y,Z,3D
ID15,MDS+NLS,uniform30,2.0,10,mean,591,6.141129501206685,4.474143885607834,8.751656761838577,11.589777009793929
ID15,V3-lite,uniform30,2.0,10,mean,591,6.149364963021264,4.481243133925661,8.746062224339719,11.59266293419297
ID14,V3-lite,uniform50,2.0,10,mean,591,6.918969458273389,3.747961570134599,10.81829935854199,13.377404655117367
ID15,MDS+NLS,uniform30,2.0,10,median,591,7.2814191791754785,5.2414972661705965,10.114282467543317,13.520024729540713
ID15,V3-lite,uniform30,2.0,10,median,591,7.300191715858118,5.247202413270115,10.109030124588012,13.528430149649262
ID14,V3-lite,uniform50,2.0,10,median,591,8.023353642473015,4.2357198931960784,11.867535726765094,14.938337622099988
ID15,MDS+NLS,uniform30,2.0,5,mean,596,8.492324361307453,5.720189821650191,13.058817361792082,16.59436216134892
ID15,V3-lite,uniform30,2.0,5,mean,596,8.505743744353541,5.726871494137217,13.0642520917779,16.60781191104036
ID14,V3-lite,uniform50,2.0,5,mean,596,9.1997842338805,5.3615310658678945,15.08072685286218,18.461050017018565
ID15,MDS+NLS,uniform30,2.0,5,median,596,10.431781351749681,7.000463975887524,15.714284942271455,20.118829719824927
ID15,V3-lite,uniform30,2.0,5,median,596,10.456312506866027,6.998601157169054,15.73793184838847,20.14937687033748
ID14,V3-lite,uniform50,2.0,5,median,596,11.210003265552167,6.307825656871603,17.373283775061033,21.616748757849244
ID15,MDS+NLS,uniform30,2.0,3,mean,598,10.895613747222221,7.189626333224619,17.641309141258425,21.945863253868662
ID15,V3-lite,uniform30,2.0,3,mean,598,10.912008317930967,7.1947489131094615,17.643441411932905,21.957398805632543
ID14,V3-lite,uniform50,2.0,3,mean,598,11.676508974754578,7.144924037880556,19.413709438193248,23.75463987298484
ID15,MDS+NLS,uniform30,2.0,3,median,598,12.983029968306905,8.393066405852645,20.333105246801107,25.542862013261125
ID15,V3-lite,uniform30,2.0,3,median,598,13.018127375612123,8.389553436911855,20.34286567859633,25.56733132839393
ID14,V3-lite,uniform50,2.0,3,median,598,13.911787143080927,8.308759778503202,22.440543018046057,27.679437882949138
ID15,MDS+NLS,uniform30,2.0,2,mean,599,13.75937837124239,8.771705121025674,22.459278098327367,27.761168501906546
ID15,MDS+NLS,uniform30,2.0,2,median,599,13.75937837124239,8.771705121025674,22.459278098327367,27.761168501906546
ID15,V3-lite,uniform30,2.0,2,mean,599,13.777735907569907,8.778188176940445,22.458538576246482,27.771722117817426
ID15,V3-lite,uniform30,2.0,2,median,599,13.777735907569907,8.778188176940445,22.458538576246482,27.771722117817426
ID14,V3-lite,uniform50,2.0,2,mean,599,14.692148433388047,8.86488368425841,23.670438968750393,29.235852464011973
ID14,V3-lite,uniform50,2.0,2,median,599,14.692148433388047,8.86488368425841,23.670438968750393,29.235852464011973
ID15,MDS+NLS,uniform30,2.0,1,none,600,20.27613221464074,12.951891045636465,33.671004653457224,41.383687288794945
ID15,V3-lite,uniform30,2.0,1,none,600,20.305946050819017,12.954675174954332,33.67099201081973,41.39916372223039
ID14,V3-lite,uniform50,2.0,1,none,600,20.785571411437797,12.747786141529906,33.90205568179857,41.75997377707429
