layout,sigma,ID,d_tag_mm,N,X,Y,Z,3D
V3-lite,uniform50,ID14,25,600,20.685836567619095,12.77880515872795,32.67726883695346,40.730892384399205
V3-lite,uniform50,ID14,30,600,20.894341189810763,12.84253745284969,32.54767512038382,40.75359392404702
MDS+NLS,uniform50,ID14,25,600,20.685940859897283,12.77824692267804,32.720069426969864,40.765116055051614
MDS+NLS,uniform50,ID14,30,600,20.893271771924894,12.84264688957343,32.58846577233702,40.785665200662905
V3-lite,uniform50,ID14,20,600,20.570744837799406,12.739959878999041,32.83848500255724,40.79005048003169
MDS+NLS,uniform50,ID14,20,600,20.569802367678157,12.738776541641894,32.891544743930226,40.831934963520744
V3-lite,uniform50,ID14,35,600,21.18803106872883,12.921702135102635,32.46450253952477,40.86376110659106
MDS+NLS,uniform50,ID14,35,600,21.186161749088797,12.920381554864335,32.50275323030064,40.89277047023899
V3-lite,uniform50,ID14,15,600,20.517463508194815,12.713278155272873,33.068219064490876,40.94021082457444
MDS+NLS,uniform50,ID14,15,600,20.519614425358114,12.713530189462384,33.12749052194306,40.98925535216715
V3-lite,uniform50,ID14,40,600,21.53699559371474,13.035494513902101,32.43074253434416,41.055077125181235
MDS+NLS,uniform50,ID14,40,600,21.538636414165016,13.035003090802764,32.47230387638693,41.08861987459844
V3-lite,uniform50,ID14,10,600,20.54564174674687,12.699285545370499,33.29277959190298,41.13155019086389
MDS+NLS,uniform50,ID14,10,600,20.552809164814697,12.698955491827668,33.36456267951433,41.19314843446603
MDS+NLS,uniform30,ID15,-10,600,19.715246094464476,12.665194074213376,34.002499328332235,41.29489108928634
MDS+NLS,uniform30,ID15,-5,600,19.964176071680647,12.792410661865572,33.813743069969505,41.29870842005581
V3-lite,uniform30,ID15,-10,600,19.738771132808893,12.670875387260336,33.99212986565375,41.29933488225154
V3-lite,uniform30,ID15,-5,600,19.992629580335898,12.797092021671332,33.8126103551873,41.312993365034266
V3-lite,uniform30,ID15,-15,600,19.548999697202632,12.580321044302135,34.197324679508604,41.350754309621344
MDS+NLS,uniform30,ID15,-15,600,19.529771551304275,12.576390551164781,34.217183379858305,41.356900447112956
V3-lite,uniform50,ID14,45,600,21.916958480674833,13.156855733728639,32.53061305876899,41.37265652361622
MDS+NLS,uniform30,ID15,0,600,20.27613221464074,12.951891045636465,33.671004653457224,41.383687288794945
V3-lite,uniform50,ID14,5,600,20.62418931752003,12.71248652033404,33.55174781153298,41.38458988250687
V3-lite,uniform30,ID15,0,600,20.305946050819017,12.954675174954332,33.67099201081973,41.39916372223039
MDS+NLS,uniform50,ID14,45,600,21.9203933438869,13.158221738561005,32.57851848058586,41.41258637252369
MDS+NLS,uniform50,ID14,5,600,20.6463463275377,12.70999716784032,33.627191864992476,41.45604512502555
V3-lite,uniform30,ID15,-20,600,19.43340177538276,12.501005283213983,34.47477720025663,41.502319220276455
MDS+NLS,uniform30,ID15,5,600,20.613542360494783,13.141524049535485,33.54788046565296,41.50997550866745
MDS+NLS,uniform30,ID15,-20,600,19.41229345296282,12.496966015078627,34.500361465825655,41.512482917293696
V3-lite,uniform30,ID15,5,600,20.639774649438163,13.147162318866966,33.5598469175347,41.53446159211154
MDS+NLS,uniform30,ID15,10,600,20.95770320361203,13.354215358313546,33.42706263276675,41.6524778093911
V3-lite,uniform30,ID15,10,600,20.989134763048014,13.361844164026195,33.44190030712032,41.682650512131374
V4-anchor-delay,uniform50,ID14,10,600,20.96488912948918,12.817258062548996,33.729413464587786,41.73106772081044
V4-anchor-delay,uniform50,ID14,15,600,21.110824907935253,12.874338323399792,33.644341081793804,41.753529220737
V3-lite,uniform50,ID14,0,600,20.785571411437797,12.747786141529906,33.90205568179857,41.75997377707429
V4-anchor-delay,uniform30,ID15,-15,600,20.423803152825297,12.857882523671249,34.08011959334219,41.76016558533255
V3-lite,uniform30,ID15,-25,600,19.40843802417393,12.45858107389883,34.823892288586,41.76849510145356
MDS+NLS,uniform30,ID15,-25,600,19.388438010745848,12.452981047448617,34.84762211312827,41.77732677426878
V3-lite,uniform50,ID14,50,600,22.345010219482,13.277303451875076,32.71390325973334,41.78260086625916
V4-anchor-delay,uniform50,ID14,5,600,20.90760531142233,12.785631221636704,33.86145943957914,41.79950670728268
V4-anchor-delay,uniform30,ID15,-10,600,20.718414595327822,12.999735803637941,33.920925074660346,41.81955275022678
MDS+NLS,uniform50,ID14,0,600,20.801740869136598,12.747252762167706,33.976776041165174,41.82853316004275
MDS+NLS,uniform50,ID14,50,600,22.35234960176675,13.28116897385935,32.77113255486581,41.832572368435486
V4-anchor-delay,uniform30,ID15,-20,600,20.187388962593747,12.724558441725788,34.36180567225243,41.83513773996192
V4-anchor-delay,uniform50,ID14,20,600,21.33818608874233,12.952791837501351,33.60940354603649,41.86508101823963
V4-anchor-delay,uniform50,ID14,0,600,20.91711272189777,12.762978136220537,34.03573773637921,41.93865351660457
MDS+NLS,uniform30,ID15,15,600,21.354815254886798,13.598671470675928,33.447681792299875,41.948771348117816
V3-lite,uniform30,ID15,15,600,21.38535427883531,13.604664734069829,33.45963318967257,41.97579461243326
V4-anchor-delay,uniform30,ID15,-5,600,21.056256311586093,13.160391611978978,33.850808334929425,41.98141329407555
V4-anchor-delay,uniform30,ID15,-25,600,20.028410439651655,12.625654971569322,34.740615710034724,42.04110807427145
V4-anchor-delay,uniform50,ID14,25,600,21.645838501200927,13.04618686678828,33.597697902132055,42.042248042964594
V4-anchor-delay,uniform50,ID14,-5,600,20.995505363875605,12.772607359385729,34.242452331508346,42.148502771951286
MDS+NLS,uniform50,ID15,-5,600,20.559832109073156,12.985166452913598,34.443122557229024,42.16218608724466
V3-lite,uniform50,ID15,-5,600,20.587156034217152,12.988165442588445,34.44047394559581,42.17427747737377
MDS+NLS,uniform50,ID15,0,600,20.87415497419618,13.147751879431905,34.234979358881034,42.1974825916532
V3-lite,uniform50,ID15,0,600,20.902955628729703,13.151256428236328,34.231144478328766,42.20971869077177
MDS+NLS,uniform50,ID15,-10,600,20.305325495225826,12.846896049753433,34.70397829268878,42.21036710240332
V4-anchor-delay,uniform30,ID15,0,600,21.437069726269236,13.340462234086887,33.83432849299088,42.21703063503687
V3-lite,uniform50,ID15,-10,600,20.330056509616192,12.849313398960994,34.698463922935964,42.218472865798866
V3-lite,uniform50,ID14,-5,600,21.034010171020984,12.805935088890147,34.33295680752469,42.25131335855535
MDS+NLS,uniform30,ID15,-30,600,19.483725778528687,12.45197525005137,35.37696603801756,42.263423712423524
V3-lite,uniform30,ID15,-30,600,19.513499202917565,12.457442988440619,35.3826181889642,42.2834980442552
MDS+NLS,uniform50,ID15,5,600,21.233392839242526,13.325800598578308,34.062192379929925,42.29263390693493
MDS+NLS,uniform30,ID15,20,600,21.804040343676213,13.863528362326813,33.49166730715206,42.30018171325814
V4-anchor-delay,uniform50,ID14,30,600,22.016976791557884,13.143171862919571,33.64448668356948,42.30179331729476
V3-lite,uniform50,ID15,5,600,21.26337570497137,13.329466501374629,34.05748260960539,42.30505815249057
MDS+NLS,uniform50,ID15,-15,600,20.110993014018632,12.734337875535463,34.993325069088016,42.32195884560481
V3-lite,uniform50,ID15,-15,600,20.132662915269737,12.735742664687146,34.984075285103465,42.32503728096169
MDS+NLS,uniform50,ID14,-5,600,21.05231776134652,12.80372859660703,34.41511777241405,42.326538724415066
V3-lite,uniform30,ID15,20,600,21.830447769585444,13.875825219788087,33.508116867571694,42.3308501138537
V3-lite,uniform30,ID14,20,600,21.237290313399562,12.723788762711166,34.35479146509806,42.34582620452793
MDS+NLS,uniform30,ID14,20,600,21.244423881815273,12.731758947396537,34.40399866715108,42.39172509174624
V3-lite,uniform50,ID14,55,600,22.87083249379971,13.429269974155988,33.07587285168975,42.39615119205232
V4-anchor-delay,uniform50,ID14,-10,600,21.106586003650534,12.81851056688065,34.49546812550904,42.4233368216214
V3-lite,uniform30,ID14,15,600,21.16052813166111,12.760045823197462,34.51805636413444,42.450947402602004
MDS+NLS,uniform50,ID15,10,600,21.6327451152631,13.519565246585627,33.93466224516876,42.45368779472883
MDS+NLS,uniform50,ID14,55,600,22.88349727802761,13.439342114483843,33.141975499096844,42.457754346248365
V3-lite,uniform50,ID15,10,600,21.66435452766742,13.524123405696983,33.92715254689401,42.46525463167743
V4-anchor-delay,uniform30,ID15,-30,600,20.01965728785847,12.57553777002821,35.28234378696369,42.47086779464492
V3-lite,uniform30,ID14,25,600,21.45335156285024,12.746623731470791,34.37672038069389,42.479190363792924
V3-lite,uniform50,ID15,-20,600,19.986972673495366,12.642875656458044,35.30051943678935,42.49056429400359
MDS+NLS,uniform30,ID14,15,600,21.16244764176415,12.759979008534723,34.568372255073704,42.492806624815984
MDS+NLS,uniform50,ID15,-20,600,19.971657145713486,12.64346063169496,35.31610954334446,42.496491374802396
V4-anchor-delay,uniform30,ID15,5,600,21.85584410463767,13.51917392783496,33.851998434355,42.50180917580863
MDS+NLS,uniform30,ID14,25,600,21.4675788209934,12.760962157425226,34.43584289695814,42.53852808505233
V4-anchor-delay,uniform50,ID15,-15,600,20.98467474102747,13.052916665594509,34.720715267412295,42.61764043382022
V4-anchor-delay,uniform50,ID15,-20,600,20.711538984622102,12.901803855157569,34.944221548397074,42.620687576011
V4-anchor-delay,uniform50,ID15,-25,600,20.489724987543408,12.773850519812429,35.16770322031123,42.658732247449194
V4-anchor-delay,uniform50,ID14,35,600,22.457559959316036,13.254918490150164,33.76624499247305,42.66373359656315
V3-lite,uniform50,ID16,10,601,22.539585842768908,15.888986719956597,32.563011390052715,42.67133159088439
V3-lite,uniform50,ID16,5,601,22.34983704712283,15.914412472626504,32.68717863402638,42.675934523271835
MDS+NLS,uniform50,ID15,15,600,22.067632680171506,13.726652042362932,33.85065139920115,42.67631648290792
V3-lite,uniform30,ID14,10,600,21.163781312918964,12.784795283493649,34.79102241672142,42.682219608435446
V3-lite,uniform50,ID15,15,600,22.099281922159904,13.731085953839504,33.839832498081584,42.685539078768244
MDS+NLS,uniform50,ID16,10,601,22.513742326426378,15.882336626808348,32.60817973170143,42.68970128359913
V4-anchor-delay,uniform50,ID15,-10,600,21.316439531392096,13.227492926477172,34.54302506988113,42.69165895574844
MDS+NLS,uniform50,ID16,5,601,22.330028647237327,15.916431096554904,32.74139286266093,42.70786537424838
MDS+NLS,uniform30,ID14,10,600,21.158013356922968,12.780518534647083,34.84226028712857,42.71985820601708
V3-lite,uniform50,ID16,15,601,22.772031198994892,15.884701959481866,32.485390921542056,42.7339418331023
V3-lite,uniform50,ID15,-25,600,19.8955595379266,12.572640109188223,35.67061703126372,42.73520197721583
MDS+NLS,uniform50,ID15,-25,600,19.883602799979478,12.57493010007844,35.69009011861169,42.746567815484724
MDS+NLS,uniform50,ID16,15,601,22.74854490639126,15.88263723236666,32.532866778445396,42.75677585643164
V3-lite,uniform50,ID16,0,601,22.239898460329176,15.931094896581044,32.85935795900088,42.75687399246321
MDS+NLS,uniform30,ID15,25,600,22.29049928540354,14.163450631642132,33.65396127843164,42.779186550444315
V4-anchor-delay,uniform50,ID15,-30,600,20.33306332289017,12.675242570772275,35.45588025058161,42.792694267411605
MDS+NLS,uniform50,ID16,0,601,22.22320836726913,15.933796551659226,32.920914586528134,42.79653583992762
V3-lite,uniform30,ID15,25,600,22.309837351853616,14.177429793749353,33.667725617921974,42.80472061007447
V4-anchor-delay,uniform50,ID14,-15,600,21.312263686222355,12.883441649376993,34.829479571729074,42.81691604262814
V4-anchor-delay,uniform50,ID15,-5,600,21.69467220859802,13.41791144239648,34.40187969422979,42.82742668210139
V4-anchor-delay,uniform30,ID15,10,600,22.327220053013704,13.715792390103056,33.89078862576951,42.83938923304923
V3-lite,uniform50,ID16,20,601,23.06325368862972,15.980622257227477,32.40620118629527,42.86555533013578
V3-lite,uniform50,ID14,-10,600,21.410441712171007,12.919154440829669,34.83274041065427,42.87926503908746
MDS+NLS,uniform50,ID16,20,601,23.048491945002812,15.983237250731857,32.45117470400823,42.89260534896552
V3-lite,uniform50,ID16,-5,601,22.199684185644884,15.945168736978081,33.08637353117594,42.915993492375016
MDS+NLS,uniform50,ID15,20,600,22.52617441481529,13.943454559483367,33.79101282663157,42.938106696367456
MDS+NLS,uniform50,ID14,-10,600,21.424642855753167,12.905123227318498,34.91317440881029,42.94749438918243
V3-lite,uniform50,ID15,20,600,22.561036537289798,13.948855417943662,33.78025182989839,42.94969558447388
V3-lite,uniform30,ID14,30,600,21.81814969924379,12.86206977843717,34.701687107948395,42.96128004868978
MDS+NLS,uniform50,ID16,-5,601,22.188526966001007,15.949605714736126,33.15633689750587,42.96583907987142
V4-anchor-delay,uniform50,ID15,-35,600,20.242886032430544,12.605556449668823,35.8017665565034,43.01675228203687
V4-anchor-delay,uniform50,ID15,0,600,22.117440461062575,13.627608030546432,34.2968975238767,43.02522577449375
V3-lite,uniform30,ID14,5,600,21.22147116615035,12.802781077716338,35.18108566788528,43.034530676548165
MDS+NLS,uniform30,ID14,30,600,21.839491367885785,12.884726369474752,34.77911941968621,43.041453326217855
V3-lite,uniform50,ID15,-30,600,19.874108914668057,12.526127793524232,36.068947081108305,43.04477931400717
MDS+NLS,uniform30,ID15,-35,600,19.763723919933113,12.533498427719243,36.130969442206556,43.04811632179323
MDS+NLS,uniform50,ID15,-30,600,19.866297731059404,12.529968036177337,36.09134794159446,43.06106455683552
V3-lite,uniform30,ID15,-35,600,19.808082414005593,12.55225105132807,36.143505147248646,43.08447631925905
MDS+NLS,uniform30,ID14,5,600,21.21478735163949,12.801243037898175,35.25260534754127,43.08927023610536
V4-anchor-delay,uniform30,ID15,-35,600,20.164065032924732,12.555525771088114,35.9583170545327,43.09560663727537
V4-anchor-delay,uniform50,ID14,40,600,22.976038103282143,13.389611614025657,33.923405618376336,43.104262838457295
V3-lite,uniform50,ID16,-10,601,22.227874123738744,15.927931332386473,33.35219205431248,43.12941107200211
V3-lite,uniform50,ID16,25,601,23.460262369215492,16.113045224396792,32.46014818865611,43.17030643006139
MDS+NLS,uniform50,ID16,-10,601,22.216930350306463,15.934617503932614,33.430940651837574,43.18717196174913
