sigma,layout,ID,N,X,Y,Z,3D
today_sweep,V4-interonly,ID13,601,23.374847122659556,13.311441523737416,42.78501164102157,50.538452435446985
today_sweep,V4-interonly,ID14,600,22.414012724654572,13.915093569832072,37.739820683913,46.04684419948958
today_sweep,V4-interonly,ID15,600,22.357990228516154,13.636944030181787,34.83625236425446,43.58222628924272
today_sweep,V4-interonly,ID16,601,27.404348297192584,18.545992883289287,35.35235510669175,48.42252749713188
today_sweep,V3-lite,ID13,601,22.84950042351921,13.122044921519553,42.21875073569707,49.76656152688975
today_sweep,V3-lite,ID14,600,22.81424920475317,14.159379504235357,37.6603699752388,46.25236708962482
today_sweep,V3-lite,ID15,600,21.201714984679867,13.315443569235095,34.93518685417047,42.980007401964095
today_sweep,V3-lite,ID16,601,27.495771051860636,18.73322123729695,35.30513156539112,48.51188842450299
