sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
58367,,BS2DCE,,cal_roto,5,A,ok,ok,2479,2479,0,0,100,100
58367,,BS2DCE,,cal_roto,5,B,ok,ok,2418,2418,0,0,100,100
58367,,BS2DCE,,cal_roto,5,C,ok,ok,3148,3148,0,0,100,100
58367,,BS2DCE,,cal_roto,5,D,ok,ok,3018,3018,0,0,100,100
58367,,BS2DCE,,cal_roto,5,E,ok,ok,2643,2643,0,0,100,100
58367,,BS2DCE,,cal_roto,5,F,ok,ok,2540,2540,0,0,100,100
58367,,BS2DCE,,cal_roto,5,G,ok,ok,3390,3390,0,0,100,100
58368,,BS2DCE,,cal_roto,5,A,ok,ok,2806,2806,0,0,100,100
58368,,BS2DCE,,cal_roto,5,B,ok,ok,3745,3745,0,0,100,100
58368,,BS2DCE,,cal_roto,5,C,ok,ok,2941,2941,0,0,100,100
58368,,BS2DCE,,cal_roto,5,D,ok,ok,2905,2905,0,0,100,100
58368,,BS2DCE,,cal_roto,5,E,ok,ok,2751,2751,0,0,100,100
58368,,BS2DCE,,cal_roto,5,F,ok,ok,2901,2901,0,0,100,100
58368,,BS2DCE,,cal_roto,5,G,ok,ok,2785,2785,0,0,100,100
58368,,BS2DCE,,cal_roto,5,H,ok,ok,2691,2691,0,0,100,100
58369,,BS2DCE,,cal_roto,5,A,ok,ok,3157,3157,0,0,100,100
58369,,BS2DCE,,cal_roto,5,B,timeout,rx_timeout,0,3745,0,0,75,75
58369,,BS2DCE,,cal_roto,5,C,ok,ok,2667,2667,0,0,100,100
58369,,BS2DCE,,cal_roto,5,D,timeout,rx_timeout,0,2905,0,0,75,75
58369,,BS2DCE,,cal_roto,5,E,ok,ok,3029,3029,0,0,100,100
58369,,BS2DCE,,cal_roto,5,F,ok,ok,2544,2544,0,0,100,100
58369,,BS2DCE,,cal_roto,5,G,ok,ok,2656,2656,0,0,100,100
58370,,BS2DCE,,cal_roto,5,A,ok,ok,3271,3271,0,0,100,100
58370,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2530,3745,0,0,60,60
58370,,BS2DCE,,cal_roto,5,C,ok,ok,2609,2609,0,0,100,100
58370,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,3367,2905,0,0,60,60
58370,,BS2DCE,,cal_roto,5,E,reject,raw_outlier,0,3029,0,0,80,80
58370,,BS2DCE,,cal_roto,5,F,ok,ok,2378,2378,0,0,100,100
58370,,BS2DCE,,cal_roto,5,G,ok,ok,2555,2555,0,0,100,100
58371,,BS2DCE,,cal_roto,5,A,ok,ok,3676,3676,0,0,100,100
58371,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2280,3745,0,0,50,50
58371,,BS2DCE,,cal_roto,5,C,timeout,rx_timeout,0,2609,0,0,83,83
58371,,BS2DCE,,cal_roto,5,D,timeout,rx_timeout,0,2905,0,0,50,50
58371,,BS2DCE,,cal_roto,5,E,ok,ok,3158,3158,0,0,83,83
58371,,BS2DCE,,cal_roto,5,F,ok,ok,2136,2136,0,0,100,100
58371,,BS2DCE,,cal_roto,5,G,ok,ok,2569,2569,0,0,100,100
58371,,BS2DCE,,cal_roto,5,H,reject,raw_outlier,3325,2691,0,0,50,50
58372,,BS2DCE,,cal_roto,5,A,ok,ok,3480,3480,0,0,100,100
58372,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2189,3745,0,0,42,42
58372,,BS2DCE,,cal_roto,5,C,ok,ok,2872,2872,0,0,85,85
58372,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,3536,2905,0,0,42,42
58372,,BS2DCE,,cal_roto,5,E,timeout,rx_timeout,0,3158,0,0,71,71
58372,,BS2DCE,,cal_roto,5,F,ok,ok,2095,2095,0,0,100,100
58372,,BS2DCE,,cal_roto,5,G,ok,ok,2614,2614,0,0,100,100
58373,,BS2DCE,,cal_roto,5,A,ok,ok,3322,3322,0,0,100,100
58373,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2067,3745,0,0,37,37
58373,,BS2DCE,,cal_roto,5,C,timeout,rx_timeout,0,2872,0,0,75,75
58373,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,3616,2905,0,0,37,37
58373,,BS2DCE,,cal_roto,5,E,ok,ok,3006,3006,0,0,75,75
58373,,BS2DCE,,cal_roto,5,F,ok,ok,2002,2002,0,0,100,100
58373,,BS2DCE,,cal_roto,5,G,ok,ok,2696,2696,0,0,100,100
58374,,BS2DCE,,cal_roto,5,A,ok,ok,3201,3201,0,0,100,100
58374,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2089,3745,0,0,33,33
58374,,BS2DCE,,cal_roto,5,C,ok,ok,3086,3086,0,0,77,77
58374,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,3631,2905,0,0,33,33
58374,,BS2DCE,,cal_roto,5,E,ok,ok,2949,2949,0,0,77,77
58374,,BS2DCE,,cal_roto,5,F,ok,ok,2149,2149,0,0,100,100
58374,,BS2DCE,,cal_roto,5,G,ok,ok,2956,2956,0,0,100,100
58374,,BS2DCE,,cal_roto,5,H,reject,raw_outlier,3732,2691,0,0,33,33
58375,,BS2DCE,,cal_roto,5,A,ok,ok,3208,3208,0,0,100,100
58375,,BS2DCE,,cal_roto,5,B,timeout,rx_timeout,0,3745,0,0,30,30
58375,,BS2DCE,,cal_roto,5,C,timeout,rx_timeout,0,3086,0,0,70,70
58375,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,3523,2905,0,0,30,30
58375,,BS2DCE,,cal_roto,5,E,timeout,rx_timeout,0,2949,0,0,70,70
58375,,BS2DCE,,cal_roto,5,F,ok,ok,2329,2329,0,0,100,100
58375,,BS2DCE,,cal_roto,5,G,ok,ok,3052,3052,0,0,100,100
58376,,BS2DCE,,cal_roto,5,A,ok,ok,2807,2807,0,0,100,100
58376,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2172,3745,0,0,27,27
58376,,BS2DCE,,cal_roto,5,C,ok,ok,3033,3033,0,0,72,72
58376,,BS2DCE,,cal_roto,5,D,reject,raw_outlier,3557,2905,0,0,27,27
58376,,BS2DCE,,cal_roto,5,E,ok,ok,3202,3202,0,0,72,72
58376,,BS2DCE,,cal_roto,5,F,ok,ok,2427,2427,0,0,100,100
58376,,BS2DCE,,cal_roto,5,G,ok,ok,3164,3164,0,0,100,100
58377,,BS2DCE,,cal_roto,5,A,ok,ok,2700,2700,0,0,100,100
58377,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2616,3745,0,0,25,25
58377,,BS2DCE,,cal_roto,5,C,ok,ok,3411,3411,0,0,75,75
58377,,BS2DCE,,cal_roto,5,D,ok,ok,3336,3336,0,0,33,33
58377,,BS2DCE,,cal_roto,5,E,ok,ok,3078,3078,0,0,75,75
58377,,BS2DCE,,cal_roto,5,F,ok,ok,2439,2439,0,0,100,100
58377,,BS2DCE,,cal_roto,5,G,ok,ok,3206,3206,0,0,100,100
58377,,BS2DCE,,cal_roto,5,H,reject,raw_outlier,3559,2691,0,0,25,25
58378,,BS2DCE,,cal_roto,5,A,ok,ok,2581,2581,0,0,100,100
58378,,BS2DCE,,cal_roto,5,B,timeout,rx_timeout,0,3745,0,0,23,23
58378,,BS2DCE,,cal_roto,5,C,ok,ok,3093,3093,0,0,76,76
58378,,BS2DCE,,cal_roto,5,D,ok,ok,3208,3208,0,0,38,38
58378,,BS2DCE,,cal_roto,5,E,ok,ok,2728,2728,0,0,76,76
58378,,BS2DCE,,cal_roto,5,F,reject,raw_outlier,0,2439,0,0,92,92
58378,,BS2DCE,,cal_roto,5,G,ok,ok,3201,3201,0,0,100,100
58379,,BS2DCE,,cal_roto,5,A,ok,ok,2475,2475,0,0,100,100
58379,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2534,3745,0,0,21,21
58379,,BS2DCE,,cal_roto,5,C,timeout,rx_timeout,0,3093,0,0,71,71
58379,,BS2DCE,,cal_roto,5,D,timeout,rx_timeout,0,3208,0,0,35,35
58379,,BS2DCE,,cal_roto,5,E,ok,ok,2636,2636,0,0,78,78
58379,,BS2DCE,,cal_roto,5,F,timeout,rx_timeout,0,2439,0,0,85,85
58379,,BS2DCE,,cal_roto,5,G,ok,ok,3401,3401,0,0,100,100
58380,,BS2DCE,,cal_roto,5,A,ok,ok,2704,2704,0,0,100,100
58380,,BS2DCE,,cal_roto,5,B,reject,raw_outlier,2535,3745,0,0,20,20
58380,,BS2DCE,,cal_roto,5,C,ok,ok,3156,3156,0,0,73,73
58380,,BS2DCE,,cal_roto,5,D,timeout,rx_timeout,0,3208,0,0,33,33
58380,,BS2DCE,,cal_roto,5,E,ok,ok,2607,2607,0,0,80,80
58380,,BS2DCE,,cal_roto,5,F,timeout,rx_timeout,0,2439,0,0,80,80
