sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
59258,,BS2DCE,,cal_roto,5,96,"A,C,G,E","ok,ok,ok,ok","96,96,100,95"
59259,,BS2DCE,,cal_roto,5,96,"A,C,G,E","ok,ok,ok,ok","96,96,100,95"
59260,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,96,96,100"
59261,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,96,96,100"
59262,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59263,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59264,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,timeout,ok,ok","100,94,96,100"
59265,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,95,96,100"
59266,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,95,100,96"
59267,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,95,100,96"
59268,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59269,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,timeout,ok,ok","100,91,100,100"
59270,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","92,100,100,100"
59271,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","92,100,100,100"
59272,,BS2DCE,,cal_roto,5,97,"A,C,E,G","reject,ok,ok,ok","96,92,100,100"
59273,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,92,100,100"
59274,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","96,93,100,100"
59275,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","96,93,100,100"
