model,sigma_offset,anchor,dx,dy,dz,magnitude_mm
C,,A,-9.628534919128475,-41.011534158815124,-32.75319786324821,53.36128361478595
C,,B,-9.628534919128475,-41.011534158815124,-32.75319786324821,53.36128361478595
C,,C,-9.628534919128475,-41.011534158815124,-32.75319786324821,53.36128361478595
C,,D,-9.628534919128475,-41.011534158815124,-32.75319786324821,53.36128361478595
C,,E,-35.09227437048294,100.96172693510033,17.976763143806103,108.38773934047856
C,,F,-35.09227437048294,100.96172693510033,17.976763143806103,108.38773934047856
C,,G,-35.09227437048294,100.96172693510033,17.976763143806103,108.38773934047856
C,,H,-35.09227437048294,100.96172693510033,17.976763143806103,108.38773934047856
