model,sigma_offset,outer_fold,anchor,dx,dy,dz,magnitude_mm
A,,1,A,0.0,0.0,0.0,0.0
A,,1,B,0.0,0.0,0.0,0.0
A,,1,C,0.0,0.0,0.0,0.0
A,,1,D,0.0,0.0,0.0,0.0
A,,1,E,0.0,0.0,0.0,0.0
A,,1,F,0.0,0.0,0.0,0.0
A,,1,G,0.0,0.0,0.0,0.0
A,,1,H,0.0,0.0,0.0,0.0
B,,1,A,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
B,,1,B,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
B,,1,C,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
B,,1,D,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
B,,1,E,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
B,,1,F,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
B,,1,G,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
B,,1,H,-18.40161898892872,27.876473677249223,-2.1370155213204836,33.47064686304159
C,,1,A,-6.4669184940284445,-33.81666035955865,-32.26638623987432,47.18587960039426
C,,1,B,-6.4669184940284445,-33.81666035955865,-32.26638623987432,47.18587960039426
C,,1,C,-6.4669184940284445,-33.81666035955865,-32.26638623987432,47.18587960039426
C,,1,D,-6.4669184940284445,-33.81666035955865,-32.26638623987432,47.18587960039426
C,,1,E,-32.74005232296395,98.11590515897822,19.214293924489503,105.20375925931879
C,,1,F,-32.74005232296395,98.11590515897822,19.214293924489503,105.20375925931879
C,,1,G,-32.74005232296395,98.11590515897822,19.214293924489503,105.20375925931879
C,,1,H,-32.74005232296395,98.11590515897822,19.214293924489503,105.20375925931879
D,,1,A,0.0,-64.0934474679298,0.0,64.0934474679298
D,,1,B,0.0,-16.99780217342845,0.0,16.99780217342845
D,,1,C,0.0,37.15774075806824,0.0,37.15774075806824
D,,1,D,0.0,-108.82716940741952,0.0,108.82716940741952
D,,1,E,0.0,136.01060078756808,0.0,136.01060078756808
D,,1,F,0.0,174.55757936594298,0.0,174.55757936594298
D,,1,G,0.0,90.41729268099122,0.0,90.41729268099122
D,,1,H,0.0,22.47684549672197,0.0,22.47684549672197
E,2.0,1,A,51.753154602328586,-44.932258447260786,10.042360683229663,69.26864996920352
E,2.0,1,B,26.48221301698071,-2.454041725059565,-27.824863150573382,38.490946161574314
E,2.0,1,C,-41.513106277072744,-28.07497312524408,-99.52626200034544,111.43167833482595
E,2.0,1,D,-16.09306211099939,-65.6613343102523,18.741375706755058,70.15437716132152
E,2.0,1,E,39.01548926190733,49.19343118694348,-20.181321315903272,65.95064673182728
E,2.0,1,F,-4.531782592693102,66.2996577399372,4.1512866770550785,66.58389332995891
E,2.0,1,G,-3.6676447127828147,10.518651956165593,-2.8367424920032405,11.495249657144761
E,2.0,1,H,-61.6242882409834,41.37845448440389,28.387298892101175,79.47054885374315
E,5.0,1,A,108.13748534609479,-36.05652380960934,56.429743196897,127.19317813262445
E,5.0,1,B,78.84938658255139,15.41285476538209,-71.92258022924702,107.83153250926127
E,5.0,1,C,-76.46330048819817,-16.038123230722753,-164.10325663986586,181.75185434575906
E,5.0,1,D,-67.08439523743537,-56.55289413730256,66.50221695592036,110.09582544188355
E,5.0,1,E,109.6082664142929,38.35029721396778,13.432929043919856,116.89807930605728
E,5.0,1,F,39.9027497339394,54.26772845668519,-45.82394287463762,81.46808902113743
E,5.0,1,G,-49.2592275454329,-10.920429411614267,-49.097673473000846,70.40105693360148
E,5.0,1,H,-113.62502922114555,24.77102110165322,72.55653222612021,137.0718830417265
E,10.0,1,A,167.5764605189785,-8.91888447321031,129.51015305507093,211.97711283217143
E,10.0,1,B,150.45136988350723,42.8177272374012,-133.47749855176818,205.63369151293682
E,10.0,1,C,-134.4557141793404,14.643059925702502,-237.50532007000425,273.3158161194104
E,10.0,1,D,-135.88804963805097,-28.968534261911493,129.29898791835333,189.79717144474895
E,10.0,1,E,174.91793116337044,1.9758258334925947,76.3898843015504,190.8811173317103
E,10.0,1,F,103.52229476915399,18.962127547303382,-108.2696738981721,150.992549754643
E,10.0,1,G,-112.44398889057183,-44.01570825611531,-113.52792874525657,165.7396265716155
E,10.0,1,H,-168.36060195386705,-14.551420766742853,142.6113381264054,221.12220580213827
E,20.0,1,A,201.56186513124817,7.6469831850815115,172.5292995147588,265.42799591993634
E,20.0,1,B,192.1604836632095,58.43059437681542,-169.7316394416851,262.9612429018176
E,20.0,1,C,-169.41058919924322,33.12315987198678,-279.0537076938582,328.12812014581925
E,20.0,1,D,-176.1139191334516,-12.143312616661065,165.57813205784205,242.032415947976
E,20.0,1,E,210.4044199270429,-20.295366696592094,114.52114499813824,240.410096472401
E,20.0,1,F,141.08756400987153,-2.5718914004529227,-143.98962480130496,201.6068634596449
E,20.0,1,G,-149.4639244780211,-63.02830072192867,-151.0496093280623,221.6484060182381
E,20.0,1,H,-199.28830729933256,-38.60314560459406,183.99647414977574,273.9721423363182
E,40.0,1,A,212.33335541699932,12.912362726897978,186.1366843645046,282.66419688394205
E,40.0,1,B,205.3614616069006,63.28815618825441,-181.2427196139345,281.11855869025555
E,40.0,1,C,-180.53133061229087,38.98090483661403,-292.1319928009545,345.6185375415826
E,40.0,1,D,-188.8702548746548,-6.794438742510204,177.0092147197265,258.94091926525834
E,40.0,1,E,221.46103937813336,-27.34685976270176,126.68165807571395,256.5951776517558
E,40.0,1,F,153.01862428453617,-9.403204150385495,-155.23132778986206,218.17397817711782
E,40.0,1,G,-161.20081878892677,-68.96231163581112,-162.90507565567685,239.3315024787939
E,40.0,1,H,-209.03165185159614,-46.28175743207905,197.10582421901475,291.01020340851596
F,,1,A,0.0,0.0,0.0,0.0
F,,1,B,0.0,0.0,0.0,0.0
F,,1,C,0.0,0.0,0.0,0.0
F,,1,D,0.0,0.0,0.0,0.0
F,,1,E,0.0,0.0,0.0,0.0
F,,1,F,0.0,0.0,0.0,0.0
F,,1,G,0.0,0.0,0.0,0.0
F,,1,H,0.0,0.0,0.0,0.0
G,,1,A,0.0,0.0,0.0,0.0
G,,1,B,0.0,0.0,0.0,0.0
G,,1,C,0.0,0.0,0.0,0.0
G,,1,D,0.0,0.0,0.0,0.0
G,,1,E,0.0,0.0,0.0,0.0
G,,1,F,0.0,0.0,0.0,0.0
G,,1,G,0.0,0.0,0.0,0.0
G,,1,H,0.0,0.0,0.0,0.0
A,,2,A,0.0,0.0,0.0,0.0
A,,2,B,0.0,0.0,0.0,0.0
A,,2,C,0.0,0.0,0.0,0.0
A,,2,D,0.0,0.0,0.0,0.0
A,,2,E,0.0,0.0,0.0,0.0
A,,2,F,0.0,0.0,0.0,0.0
A,,2,G,0.0,0.0,0.0,0.0
A,,2,H,0.0,0.0,0.0,0.0
B,,2,A,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
B,,2,B,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
B,,2,C,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
B,,2,D,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
B,,2,E,-21.33418143331963,18.25909618980508,-2.570036659876663,28.198350652679395
