model,likelihood,n_params,dataset,loglik,aic,bic,coverage_50,coverage_90,coverage_95
M0_global_gaussian,Gaussian,1,GPU Task 11 V5 residual model evidence,-1170.5537724438675,2343.107544887735,2346.3650402597627,0.0833333333333333,0.2916666666666667,0.3333333333333333
M1_per_anchor_gaussian,Gaussian,8,GPU Task 11 V5 residual model evidence,-1165.0589082027525,2346.1178164055045,2372.177779381727,0.0833333333333333,0.2916666666666667,0.3333333333333333
M2_student_t,Student-t,2,GPU Task 11 V5 residual model evidence,-1158.636446408228,2321.272892816456,2327.7878835605115,0.1666666666666666,0.3333333333333333,0.4583333333333333
M3_gaussian_exponential_tail,Gaussian/exponential mixture,3,GPU Task 11 V5 residual model evidence,-1159.1399099306109,2324.2798198612218,2334.052305977305,0.125,0.2916666666666667,0.3333333333333333
M4_per_anchor_mixture,Gaussian/exponential mixture,24,GPU Task 11 V5 residual model evidence,-1147.107504472046,2342.215008944092,2420.394897872759,0.125,0.2916666666666667,0.3333333333333333
M5_elevation_tail_mixture,Gaussian/exponential mixture,5,GPU Task 11 V5 residual model evidence,-1159.1399099306109,2328.2798198612218,2344.567296721361,0.125,0.2916666666666667,0.3333333333333333
N3_gaussian,gaussian,,N3 Bayesian posterior calibration,nan,nan,nan,0.0833333333333333,0.2916666666666667,0.3333333333333333
N3_gaussian_exp_tail,gaussian_exp_tail,,N3 Bayesian posterior calibration,nan,nan,nan,0.125,0.2916666666666667,0.3333333333333333
N3_student_t,student_t,,N3 Bayesian posterior calibration,nan,nan,nan,0.1666666666666666,0.3333333333333333,0.4583333333333333
