method,D_tag_BS2DCE_mm,D_tag_BSDC91_mm,delta_mm
joint_fixed_49p621,49.621,49.621,0.0
joint_static_estimated_dtag,87.75668293897644,42.03674980791222,45.71993313106422
joint_coarse_cost_min_dtag,120.0,90.0,30.0
