model,sigma_offset,mean_test_median,std_test_median,mean_test_rmse,max_offset_mm,any_offset_gt50
C,,54.29100383159184,3.758195532081414,65.43274639161726,128.52899123425536,True
E,40.0,59.16008312347821,12.568898755571405,77.63573840875935,357.5996160473793,True
E,20.0,59.63720473309238,12.760147229594454,77.62780098140188,340.5052754937976,True
E,2.0,59.675136742928224,8.781449549424538,73.55774377568503,129.318721455462,True
D,,61.53386884108295,14.368362248498132,70.70418807140167,198.29128574604172,True
E,10.0,61.553641384411435,13.543577161596144,77.74039476722244,287.68025909641653,True
E,5.0,63.18838785537059,12.995564272950698,77.35488723605494,201.17419982511987,True
B,,66.0647013800919,23.93179047927515,75.91616266909,37.32273971207387,False
G,,68.88637318242858,16.98042626231853,77.47087460796315,0.0,False
A,,70.82519594380193,23.302666610334143,80.27437599415492,0.0,False
F,,73.32791441691408,24.82154537251429,83.5316595407676,0.0,False
