method,overall_median,overall_rmse,overall_p95,baseline_error_median,convergence_rate,n_frames
independent_baseline_current,101.08420051439319,132.05866678081873,227.70491563444534,552.3269028062577,1.0,15717
joint_fixed_49p621,261.83532982898606,315.4683420195136,498.14010470703425,1.4210854715202004e-14,0.9282305783546478,15717
joint_static_estimated_dtag,262.202440621527,314.0983682655576,495.9076876458358,1.4210854715202004e-14,0.9317935992873958,15717
joint_coarse_cost_min_dtag,264.1594728714697,312.28115497136133,491.66291064975985,1.4210854715202004e-14,0.9186867722847871,15717
