model,sigma_offset,outer_fold,test_positions,d_tag_train_mm,test_median_3d,test_rmse,test_p95,n_test,max_offset_mm,physically_suspicious_offset_gt50
A,,1,ID03;ID12;ID17;ID14,56.19163758334859,85.27433677001083,78.3506899263149,89.94788857581025,4,0.0,False
B,,1,ID03;ID12;ID17;ID14,54.99385091119846,75.70099751548162,83.05432994804774,112.55201996350183,4,33.47064686304159,False
C,,1,ID03;ID12;ID17;ID14,34.35596189602613,58.29076563558995,71.60353527980229,97.37902160562783,4,105.20375925931879,True
D,,1,ID03;ID12;ID17;ID14,32.37542320980083,69.56343881708725,84.43513043854628,117.16380117294577,4,174.55757936594298,True
E,2.0,1,ID03;ID12;ID17;ID14,71.37105928594332,69.73550291184488,76.93348107519682,102.35959012113403,4,111.43167833482595,True
E,5.0,1,ID03;ID12;ID17;ID14,136.58674150571272,81.12647508486175,77.22692153917919,91.20822478317226,4,181.75185434575906,True
E,10.0,1,ID03;ID12;ID17;ID14,227.3952053834167,76.0366464304082,73.26566806540873,88.74717160234869,4,273.3158161194104,True
E,20.0,1,ID03;ID12;ID17;ID14,280.0832740468146,68.04754159975585,71.49089332950372,93.48384266483296,4,328.12812014581925,True
E,40.0,1,ID03;ID12;ID17;ID14,296.6932335685922,65.57579807610327,71.16670413277626,95.0634220352565,4,345.6185375415826,True
F,,1,ID03;ID12;ID17;ID14,51.41545039397018,83.71726988308916,78.16343893515948,94.80069817916677,4,0.0,False
G,,1,ID03;ID12;ID17;ID14,38.28335157564702,89.80934674312297,85.26197714701874,108.21334592449914,4,0.0,False
A,,2,ID22;ID09;ID20;ID13,53.2673810725412,51.90283548129069,58.966510087069835,79.56391530490475,4,0.0,False
B,,2,ID22;ID09;ID20;ID13,55.05516962676545,35.61420044164937,40.49588783896853,57.447330581242205,4,28.198350652679395,False
C,,2,ID22;ID09;ID20;ID13,29.9007119687202,51.6478723808182,50.646916704592456,62.35066813652271,4,108.16455624011078,True
D,,2,ID22;ID09;ID20;ID13,27.400424542214175,49.97044260906998,53.70812605612889,73.0316401883248,4,181.70837529673898,True
E,2.0,2,ID22;ID09;ID20;ID13,70.0685084711907,59.037045148985776,56.867369406954865,72.5268491652516,4,123.64593965311322,True
E,5.0,2,ID22;ID09;ID20;ID13,139.34669643984148,72.35695583894532,73.0388452494678,97.96029561695795,4,195.46572492817842,True
E,10.0,2,ID22;ID09;ID20;ID13,234.10184584332316,74.52615162756263,84.78406700462322,123.38762919007412,4,286.61757416406056,True
E,20.0,2,ID22;ID09;ID20;ID13,287.276903056788,75.15728857191456,91.34331794151117,137.21405876168475,4,340.5052754937976,True
E,40.0,2,ID22;ID09;ID20;ID13,303.83406350702745,75.31305337710543,93.4047549957965,141.48755581488845,4,357.5996160473793,True
F,,2,ID22;ID09;ID20;ID13,51.43861554930129,52.643104449727446,54.678209246133996,70.92569861044815,4,0.0,False
G,,2,ID22;ID09;ID20;ID13,34.13232247905801,57.15109432048665,58.26168510536261,65.08119312066363,4,0.0,False
A,,3,ID23;ID01;ID10;ID05,44.39199497808964,64.51410273476381,99.57218612988808,159.24612287542047,4,0.0,False
B,,3,ID23;ID01;ID10;ID05,50.63621033285141,52.54974645179378,82.92149998557925,132.46664488665348,4,30.084070754296665,False
C,,3,ID23;ID01;ID10;ID05,26.36679097668906,54.11242587799621,52.22870170106391,64.79933434043637,4,115.66626260420614,True
D,,3,ID23;ID01;ID10;ID05,23.195914551892752,52.54138114799886,51.39366865938286,60.99435310766903,4,167.2790409618593,True
E,2.0,3,ID23;ID01;ID10;ID05,62.21009759796277,69.53986315613064,63.3738168027553,74.45403698143693,4,101.43466631341614,True
E,5.0,3,ID23;ID01;ID10;ID05,108.99070494968495,69.83079502225502,63.31305199223957,75.17981673906841,4,152.57222714469918,True
E,10.0,3,ID23;ID01;ID10;ID05,173.91580644835992,70.15982046506076,63.058020664050225,74.08314388820011,4,219.01606351830276,True
E,20.0,3,ID23;ID01;ID10;ID05,216.55852918250767,68.94509065289017,62.41183057187739,74.19348522770416,4,263.48620290571614,True
E,40.0,3,ID23;ID01;ID10;ID05,231.12095260389611,68.54058036888384,62.19975187015052,74.31658340447542,4,278.7981032363486,True
F,,3,ID23;ID01;ID10;ID05,46.798769888505056,67.4403036480781,98.14662181091117,151.7819594937585,4,0.0,False
G,,3,ID23;ID01;ID10;ID05,31.457078311760796,61.262325590740716,71.47441448883417,100.97223737441537,4,0.0,False
A,,4,ID24;ID04;ID07;ID16,46.932788733385415,92.99711804623709,115.03282645260381,168.5146110079592,4,0.0,False
B,,4,ID24;ID04;ID07;ID16,51.095327639287866,95.65298202621527,104.9608612017454,144.82546576571187,4,25.96346980915374,False
C,,4,ID24;ID04;ID07;ID16,34.3062532651684,57.52527517371067,89.85564689143696,143.86461210751992,4,84.61146596189668,True
D,,4,ID24;ID04;ID07;ID16,29.19550527227764,84.85364477706071,96.9196055473273,142.08591149532234,4,151.61027795663557,True
E,2.0,4,ID24;ID04;ID07;ID16,63.94670396947587,57.97939272569948,109.87247511832018,182.11283289435008,4,93.73340151347928,True
E,5.0,4,ID24;ID04;ID07;ID16,125.49044958085916,50.881270160025494,107.73648687208384,181.46671787112308,4,154.988817088513,True
