task,status,error,elapsed_s,mean_cpu_percent,max_cpu_percent,workers,physical_cores,logical_cores
G1,OK,,0.030115523004496936,37.8,37.8,6,6,12
G2,OK,,0.012769048997142818,20.0,20.0,6,6,12
G3,OK,,31.93647484399844,21.941791044776117,59.7,6,6,12
G4,OK,,28.45747184799984,18.383333333333336,40.0,6,6,12
G5,OK,,86.59326973299903,39.475,56.5,6,6,12
TOTAL,OK,,147.05460605199914,27.520024875621893,59.7,6,6,12
