D_tag_BS2DCE_mm,D_tag_BSDC91_mm,subset_total_cost,n_subset_frames
0.0,0.0,198073258.59056944,240
0.0,10.0,194761326.08576357,240
0.0,20.0,191830793.58095795,240
0.0,30.0,189281661.07615224,240
0.0,40.0,187113928.57134658,240
0.0,50.0,185327596.06654078,240
0.0,60.0,183922663.56173497,240
0.0,70.0,182899131.05692932,240
0.0,80.0,182256998.55212343,240
0.0,90.0,181996266.04731798,240
0.0,100.0,182116933.54251212,240
0.0,110.0,182619001.03770635,240
0.0,120.0,183502468.53290054,240
10.0,0.0,193802327.29830328,240
10.0,10.0,190490394.79349756,240
10.0,20.0,187559862.28869188,240
10.0,30.0,185010729.78388616,240
10.0,40.0,182842997.27908033,240
10.0,50.0,181056664.77427456,240
10.0,60.0,179651732.26946884,240
10.0,70.0,178628199.7646632,240
10.0,80.0,177986067.25985748,240
10.0,90.0,177725334.7550517,240
10.0,100.0,177846002.25024596,240
10.0,110.0,178348069.7454402,240
10.0,120.0,179231537.24063447,240
20.0,0.0,189913596.0060372,240
20.0,10.0,186601663.50123164,240
20.0,20.0,183671130.9964258,240
20.0,30.0,181121998.49162,240
20.0,40.0,178954265.98681438,240
20.0,50.0,177167933.48200852,240
20.0,60.0,175763000.97720262,240
20.0,70.0,174739468.47239712,240
20.0,80.0,174097335.9675912,240
20.0,90.0,173836603.46278557,240
20.0,100.0,173957270.95797986,240
20.0,110.0,174459338.45317414,240
20.0,120.0,175342805.9483684,240
30.0,0.0,186407064.71377102,240
30.0,10.0,183095132.20896548,240
30.0,20.0,180164599.70415977,240
30.0,30.0,177615467.1993539,240
30.0,40.0,175447734.69454813,240
30.0,50.0,173661402.1897426,240
30.0,60.0,172256469.68493667,240
30.0,70.0,171232937.18013093,240
30.0,80.0,170590804.6753253,240
30.0,90.0,170330072.1705196,240
30.0,100.0,170450739.66571388,240
30.0,110.0,170952807.16090795,240
30.0,120.0,171836274.65610212,240
40.0,0.0,183282733.4215049,240
40.0,10.0,179970800.9166992,240
40.0,20.0,177040268.4118934,240
40.0,30.0,174491135.9070877,240
40.0,40.0,172323403.402282,240
40.0,50.0,170537070.89747638,240
40.0,60.0,169132138.3926706,240
40.0,70.0,168108605.88786483,240
40.0,80.0,167466473.383059,240
40.0,90.0,167205740.8782534,240
40.0,100.0,167326408.3734477,240
40.0,110.0,167828475.86864185,240
40.0,120.0,168711943.36383617,240
50.0,0.0,180540602.12923887,240
50.0,10.0,177228669.6244332,240
50.0,20.0,174298137.11962745,240
50.0,30.0,171749004.61482176,240
50.0,40.0,169581272.11001593,240
50.0,50.0,167794939.6052102,240
50.0,60.0,166390007.1004044,240
50.0,70.0,165366474.5955988,240
50.0,80.0,164724342.09079304,240
50.0,90.0,164463609.5859873,240
50.0,100.0,164584277.08118153,240
50.0,110.0,165086344.57637575,240
50.0,120.0,165969812.07156998,240
60.0,0.0,178180670.83697268,240
60.0,10.0,174868738.3321671,240
60.0,20.0,171938205.82736135,240
60.0,30.0,169389073.3225557,240
60.0,40.0,167221340.81775004,240
60.0,50.0,165435008.31294414,240
60.0,60.0,164030075.80813834,240
60.0,70.0,163006543.30333266,240
60.0,80.0,162364410.79852667,240
60.0,90.0,162103678.29372117,240
60.0,100.0,162224345.78891546,240
60.0,110.0,162726413.28410983,240
60.0,120.0,163609880.779304,240
70.0,0.0,176202939.54470664,240
70.0,10.0,172891007.03990096,240
70.0,20.0,169960474.53509519,240
70.0,30.0,167411342.0302896,240
70.0,40.0,165243609.52548373,240
70.0,50.0,163457277.02067804,240
70.0,60.0,162052344.51587224,240
70.0,70.0,161028812.01106656,240
70.0,80.0,160386679.50626084,240
70.0,90.0,160125947.00145507,240
70.0,100.0,160246614.49664932,240
70.0,110.0,160748681.99184346,240
70.0,120.0,161632149.4870379,240
80.0,0.0,174607408.25244045,240
80.0,10.0,171295475.7476348,240
80.0,20.0,168364943.2428291,240
