row,variant,metric,value,source_file,evaluation_type,paper_location
A,V4 production,median_3d,71.87489868113639,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,"in-sample, all 24",main_text
A,V4 production,P95,175.9963096185349,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,"in-sample, all 24",main_text
A,V4 production,RMSE,110.3731093480212,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,"in-sample, all 24",main_text
B,V4 + D_LOO,median_3d,57.92095709409735,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_transfer_matrix/tables/transfer_matrix_48cells.csv,LOO-CV,main_text
B,V4 + D_LOO,P95,110.58455035871611,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_transfer_matrix/tables/transfer_matrix_48cells.csv,LOO-CV,main_text
B,V4 + D_LOO,RMSE,74.37189349158585,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_transfer_matrix/tables/transfer_matrix_48cells.csv,LOO-CV,main_text
C,V5 baseline,median_3d,67.80925857328509,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,LOO-CV,main_text
C,V5 baseline,P95,160.50864196755103,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,LOO-CV,main_text
C,V5 baseline,RMSE,86.39989161399005,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,LOO-CV,main_text
D,V5 apparent best,median_3d,56.01127291158505,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,in-sample post-selected,main_text_with_caveat
D,V5 apparent best,P95,143.12004226914806,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,in-sample post-selected,main_text_with_caveat
D,V5 apparent best,RMSE,79.48190537495643,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,in-sample post-selected,main_text_with_caveat
E,V4 apparent best,median_3d,54.918375844369336,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,in-sample post-selected,main_text_with_caveat
E,V4 apparent best,P95,154.78379958349888,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,in-sample post-selected,main_text_with_caveat
E,V4 apparent best,RMSE,79.58617506422262,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_followup_validation/tables/f6_final_comparison.csv,in-sample post-selected,main_text_with_caveat
