[INFO] --no-prompt: assuming nodes powered on now; t=0 = launch.
[16:59:03] cold-start capture running: 6 listeners -> /mnt/nrf_ssd/thermal_characterization/run_20260710_165852/raw
[INFO] will run 90 min; Ctrl+C to stop early.
[INFO] LE: opened /dev/serial/by-id/usb-SEGGER_J-Link_000760184767-if00
[INFO] L9336: opened /dev/serial/by-id/usb-SEGGER_J-Link_000760186071-if00
[INFO] LF: opened /dev/serial/by-id/usb-SEGGER_J-Link_000760184964-if00
[INFO] LB: opened /dev/serial/by-id/usb-SEGGER_J-Link_000760184545-if00
[INFO] LCCF4: opened /dev/serial/by-id/usb-SEGGER_J-Link_000760184784-if00[INFO] L955A: opened /dev/serial/by-id/usb-SEGGER_J-Link_000760186081-if00

[00:15] LB cfo= -3.75ppm | LE cfo= -1.38ppm | LF cfo= +1.86ppm | LCCF4 cfo= -3.12ppm | L9336 cfo= -2.13ppm | L955A cfo= -0.24ppm
[00:30] LB cfo= -3.45ppm | LE cfo= -1.83ppm | LF cfo= +2.01ppm | LCCF4 cfo= -3.44ppm | L9336 cfo= -2.07ppm | L955A cfo= -0.48ppm
[00:45] LB cfo= -3.18ppm | LE cfo= -1.71ppm | LF cfo= +2.15ppm | LCCF4 cfo= -2.78ppm | L9336 cfo= -2.01ppm | L955A cfo= -0.42ppm
[01:00] LB cfo= -3.20ppm | LE cfo= -1.74ppm | LF cfo= +1.95ppm | LCCF4 cfo= -3.08ppm | L9336 cfo= -1.98ppm | L955A cfo= -0.45ppm
[01:15] LB cfo= -3.32ppm | LE cfo= -1.79ppm | LF cfo= +1.83ppm | LCCF4 cfo= -2.97ppm | L9336 cfo= -1.98ppm | L955A cfo= -0.51ppm
[01:30] LB cfo= -3.36ppm | LE cfo= -1.52ppm | LF cfo= +1.61ppm | LCCF4 cfo= -2.72ppm | L9336 cfo= -2.03ppm | L955A cfo= -0.57ppm
[01:45] LB cfo= -3.33ppm | LE cfo= -1.38ppm | LF cfo= +1.61ppm | LCCF4 cfo= -3.15ppm | L9336 cfo= -1.89ppm | L955A cfo= -0.32ppm
[02:00] LB cfo= -3.54ppm | LE cfo= -1.74ppm | LF cfo= +1.59ppm | LCCF4 cfo= -3.05ppm | L9336 cfo= -2.13ppm | L955A cfo= -0.20ppm
[02:15] LB cfo= -3.69ppm | LE cfo= -1.34ppm | LF cfo= +1.47ppm | LCCF4 cfo= -3.27ppm | L9336 cfo= -2.28ppm | L955A cfo= -0.17ppm
[02:30] LB cfo= -3.18ppm | LE cfo= -1.83ppm | LF cfo= +1.05ppm | LCCF4 cfo= -3.47ppm | L9336 cfo= -2.01ppm | L955A cfo= -0.53ppm
[02:45] LB cfo= -3.57ppm | LE cfo= -1.29ppm | LF cfo= +1.11ppm | LCCF4 cfo= -3.71ppm | L9336 cfo= -2.01ppm | L955A cfo= -0.63ppm
[03:00] LB cfo= -4.04ppm | LE cfo= -1.74ppm | LF cfo= +1.40ppm | LCCF4 cfo= -3.53ppm | L9336 cfo= -2.12ppm | L955A cfo= -0.29ppm
[03:15] LB cfo= -3.69ppm | LE cfo= -1.47ppm | LF cfo= +1.46ppm | LCCF4 cfo= -3.51ppm | L9336 cfo= -2.13ppm | L955A cfo= -0.51ppm
[03:30] LB cfo= -3.96ppm | LE cfo= -1.98ppm | LF cfo= +1.14ppm | LCCF4 cfo= -3.63ppm | L9336 cfo= -2.10ppm | L955A cfo= -0.36ppm
[03:45] LB cfo= -3.99ppm | LE cfo= -1.44ppm | LF cfo= +1.23ppm | LCCF4 cfo= -3.65ppm | L9336 cfo= -1.97ppm | L955A cfo= -0.39ppm
[04:00] LB cfo= -3.51ppm | LE cfo= -1.28ppm | LF cfo= +1.35ppm | LCCF4 cfo= -3.57ppm | L9336 cfo= -1.95ppm | L955A cfo= -0.39ppm
[04:15] LB cfo= -4.21ppm | LE cfo= -1.23ppm | LF cfo= +1.40ppm | LCCF4 cfo= -3.23ppm | L9336 cfo= -2.15ppm | L955A cfo= -0.63ppm
[04:30] LB cfo= -4.09ppm | LE cfo= -1.50ppm | LF cfo= +1.38ppm | LCCF4 cfo= -3.63ppm | L9336 cfo= -1.92ppm | L955A cfo= -0.50ppm
[04:45] LB cfo= -4.48ppm | LE cfo= -1.70ppm | LF cfo= +1.40ppm | LCCF4 cfo= -3.78ppm | L9336 cfo= -1.80ppm | L955A cfo= -0.35ppm
