sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
8550,,BSDC91,,cal_roto,5,A,ok,ok,3301,3301,0,0,100,100
8550,,BSDC91,,cal_roto,5,B,ok,ok,2449,2449,0,0,100,100
8550,,BSDC91,,cal_roto,5,C,ok,ok,2654,2654,0,0,100,100
8550,,BSDC91,,cal_roto,5,D,ok,ok,1959,1959,0,0,100,100
8550,,BSDC91,,cal_roto,5,E,ok,ok,3222,3222,0,0,100,100
8550,,BSDC91,,cal_roto,5,F,ok,ok,2269,2269,0,0,100,100
8550,,BSDC91,,cal_roto,5,G,ok,ok,2311,2311,0,0,100,100
8551,,BSDC91,,cal_roto,5,A,ok,ok,2995,2995,0,0,100,100
8551,,BSDC91,,cal_roto,5,B,ok,ok,2202,2202,0,0,100,100
8551,,BSDC91,,cal_roto,5,C,ok,ok,3020,3020,0,0,100,100
8551,,BSDC91,,cal_roto,5,D,ok,ok,1220,1220,0,0,100,100
8551,,BSDC91,,cal_roto,5,E,ok,ok,2949,2949,0,0,100,100
8551,,BSDC91,,cal_roto,5,F,ok,ok,2168,2168,0,0,100,100
8551,,BSDC91,,cal_roto,5,G,ok,ok,2918,2918,0,0,100,100
8551,,BSDC91,,cal_roto,5,H,ok,ok,3747,3747,0,0,100,100
8552,,BSDC91,,cal_roto,5,B,ok,ok,2666,2666,0,0,100,100
8552,,BSDC91,,cal_roto,5,D,ok,ok,1317,1317,0,0,100,100
8552,,BSDC91,,cal_roto,5,E,ok,ok,2457,2457,0,0,100,100
8552,,BSDC91,,cal_roto,5,G,ok,ok,3227,3227,0,0,100,100
8553,,BSDC91,,cal_roto,5,B,ok,ok,2674,2674,0,0,100,100
8553,,BSDC91,,cal_roto,5,D,ok,ok,1454,1454,0,0,100,100
8553,,BSDC91,,cal_roto,5,E,ok,ok,2551,2551,0,0,100,100
8553,,BSDC91,,cal_roto,5,G,ok,ok,3212,3212,0,0,100,100
8554,,BSDC91,,cal_roto,5,D,ok,ok,1470,1470,0,0,100,100
8554,,BSDC91,,cal_roto,5,B,ok,ok,2798,2798,0,0,100,100
8554,,BSDC91,,cal_roto,5,E,ok,ok,2629,2629,0,0,100,100
8554,,BSDC91,,cal_roto,5,G,ok,ok,3013,3013,0,0,100,100
8555,,BSDC91,,cal_roto,5,D,ok,ok,1737,1737,0,0,100,100
8555,,BSDC91,,cal_roto,5,B,ok,ok,2950,2950,0,0,100,100
8555,,BSDC91,,cal_roto,5,E,ok,ok,2974,2974,0,0,100,100
8555,,BSDC91,,cal_roto,5,G,ok,ok,2821,2821,0,0,100,100
8556,,BSDC91,,cal_roto,5,B,ok,ok,3360,3360,0,0,100,100
8556,,BSDC91,,cal_roto,5,D,ok,ok,1777,1777,0,0,100,100
8556,,BSDC91,,cal_roto,5,E,ok,ok,2788,2788,0,0,100,100
8556,,BSDC91,,cal_roto,5,G,ok,ok,2669,2669,0,0,100,100
8557,,BSDC91,,cal_roto,5,B,ok,ok,3355,3355,0,0,100,100
8557,,BSDC91,,cal_roto,5,D,ok,ok,1893,1893,0,0,100,100
8557,,BSDC91,,cal_roto,5,G,ok,ok,2546,2546,0,0,100,100
8557,,BSDC91,,cal_roto,5,E,ok,ok,2813,2813,0,0,100,100
8558,,BSDC91,,cal_roto,5,B,ok,ok,3128,3128,0,0,100,100
8558,,BSDC91,,cal_roto,5,D,ok,ok,1961,1961,0,0,100,100
8558,,BSDC91,,cal_roto,5,G,ok,ok,2425,2425,0,0,100,100
8558,,BSDC91,,cal_roto,5,E,ok,ok,2910,2910,0,0,100,100
8559,,BSDC91,,cal_roto,5,B,ok,ok,2828,2828,0,0,100,100
8559,,BSDC91,,cal_roto,5,D,ok,ok,1972,1972,0,0,100,100
8559,,BSDC91,,cal_roto,5,E,ok,ok,2998,2998,0,0,100,100
8559,,BSDC91,,cal_roto,5,G,ok,ok,2469,2469,0,0,100,100
8560,,BSDC91,,cal_roto,5,B,ok,ok,2619,2619,0,0,100,100
8560,,BSDC91,,cal_roto,5,D,ok,ok,2478,2478,0,0,100,100
8560,,BSDC91,,cal_roto,5,E,ok,ok,3108,3108,0,0,100,100
8560,,BSDC91,,cal_roto,5,G,ok,ok,2368,2368,0,0,100,100
8561,,BSDC91,,cal_roto,5,B,ok,ok,2461,2461,0,0,100,100
8561,,BSDC91,,cal_roto,5,D,ok,ok,1972,1972,0,0,100,100
