sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
8613,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8614,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8615,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8616,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8617,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8618,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8619,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8620,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8621,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8622,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8623,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8624,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8625,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8626,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8627,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8628,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8629,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8630,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8631,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8632,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8633,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8634,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8635,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8636,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8637,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8638,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8639,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8640,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8641,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8642,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8643,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8644,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8645,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8646,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8647,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8648,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8649,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8650,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8651,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8652,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8653,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8654,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8655,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8656,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8657,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8658,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8659,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8660,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8661,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8662,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8663,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8664,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8665,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8666,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8667,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8668,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8669,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8670,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8671,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8672,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8673,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8674,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8675,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8676,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8677,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8678,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8679,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8680,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8681,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8682,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8683,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8684,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8685,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8686,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8687,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8688,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8689,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8690,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8691,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8692,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8693,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8694,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8695,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8696,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8697,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8698,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8699,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8700,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
