pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,8347.43561141221,8347.3015,0.13411141220967693,0.13411141220967693
A-C,10792.415743233745,10793.751,-1.3352567662550427,1.3352567662550427
A-D,8130.050323151614,8130.532,-0.48167684838608693,0.48167684838608693
A-E,1244.9573574797678,1245.163,-0.20564252023223162,0.20564252023223162
A-F,8594.955410184124,8595.3945,-0.4390898158762866,0.4390898158762866
A-G,11056.017945861702,11054.3555,1.6624458617025084,1.6624458617025084
A-H,8718.06034515731,8717.7145,0.34584515730966814,0.34584515730966814
B-C,7852.366795245594,7851.878,0.48879524559470156,0.48879524559470156
B-D,12142.400284897685,12142.5055,-0.10521510231410502,0.10521510231410502
B-E,8557.475170928517,8557.312,0.16317092851750203,0.16317092851750203
B-F,1523.4409755768932,1523.394,0.046975576893146354,0.046975576893146354
B-G,7705.610556759827,7705.79,-0.1794432401729864,0.1794432401729864
B-H,12652.813345787059,12653.17,-0.35665421294106636,0.35665421294106636
C-D,8161.247776780322,8160.661,0.5867767803219976,0.5867767803219976
C-E,10804.088693195825,10803.5795,0.5091931958249916,0.5091931958249916
C-F,8060.547938808292,8060.3835,0.16443880829228874,0.16443880829228874
C-G,1599.5542928509058,1599.6485,-0.09420714909424532,0.09420714909424532
C-H,8451.854557627232,8451.8275,0.027057627232352388,0.027057627232352388
D-E,8026.022455374895,8025.3765,0.6459553748945837,0.6459553748945837
D-F,12360.591822747634,12360.72,-0.12817725236527622,0.12817725236527622
D-G,8794.68076451723,8795.108,-0.42723548276990186,0.42723548276990186
D-H,1416.0925831904399,1416.1045,-0.01191680956003438,0.01191680956003438
E-F,8588.123601834139,8587.787,0.33660183413849154,0.33660183413849154
E-G,10909.855903142858,10910.956,-1.1000968571424892,1.1000968571424892
E-H,8417.928929098822,8418.2025,-0.2735709011776635,0.2735709011776635
F-G,7615.011188263464,7615.267,-0.2558117365360886,0.2558117365360886
F-H,12708.825963380543,12708.5745,0.25146338054219086,0.25146338054219086
G-H,8866.036114759068,8865.996,0.04011475906918349,0.04011475906918349
