host_elapsed_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
260.580,3403429,60538,0xdeca,0xb16f,0xa100,0xe0,17403,7,1944,121,6273,12
260.592,3403442,60539,0xdeca,0xb16f,0xa105,0xe0,14888,7,622,74,1942,12
261.281,3404130,60540,0xdeca,0xb16f,0xa100,0xe0,17682,7,2008,122,7544,12
261.293,3404143,60541,0xdeca,0xa105,0xb16f,0xe1,16671,7,1771,118,6862,20
262.059,3404908,60542,0xdeca,0xb16f,0xa100,0xe0,17685,7,1847,117,3584,12
262.071,3404920,60543,0xdeca,0xb16f,0xa106,0xe0,18139,7,1927,118,2549,12
319.596,3462450,60544,0xdeca,0xb102,0xa100,0xe0,16445,7,1837,121,2117,12
319.609,3462462,60545,0xdeca,0xb102,0xa104,0xe0,17359,7,1813,117,6868,12
319.683,3462537,60546,0xdeca,0xb101,0xa100,0xe0,18635,7,2151,123,7297,12
319.696,3462549,60547,0xdeca,0xb101,0xa105,0xe0,18530,7,2002,119,7240,12
