layout_solver,layout_variant,delay_mode,tag_method,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_xz_median_mm,err_horizontal_xz_p95_mm,err_vertical_y_median_mm,err_vertical_y_p95_mm,d3_std_median_mm,residual_rms_median_mm
v1-old,vicon_truth,solver_delay,T1,24,28818,28818,330.30079549962625,418.20437514171095,525.2228095039309,364.4148570138592,77.88948663430408,181.51585209140464,320.5797957398258,515.3367388641961,63.05113390864735,134.8203684677643
v1-old,vicon_truth,solver_delay,T2,24,28818,28818,331.1694931518423,415.76546266280945,524.3741444304808,364.26789406017195,78.12256529512254,181.45041476044995,321.3552284546071,514.3540794145752,63.7323558899848,135.04793902131388
v1-old,vicon_truth,solver_delay,T3,24,28818,28818,362.6437517113211,450.51473902868565,659.1137153040102,494.3735925031751,100.8473047671978,236.44767716061457,352.6944711686341,649.9780184596586,68.2050331303137,152.66480346538532
v1-old,vicon_truth,solver_delay,T4,24,28818,28818,307.27071843000545,351.46014757249395,453.44791445260194,311.31901004962606,76.66825222634344,125.11034903576163,301.58062187972155,438.2961816191024,76.49535554229826,134.48895635391017
v1-old,vicon_truth,vicon_inter_anchor_delaycal,T1,24,28818,28818,61.75339279295396,99.04240875813053,130.45500374169268,76.91056036195398,37.25040904364562,76.80471773407915,38.103218639399074,113.06515664905835,59.764144427726976,91.94304469810845
v1-old,vicon_truth,vicon_inter_anchor_delaycal,T2,24,28818,28818,60.191772039298414,98.84886291630335,129.800469430168,76.60401031936149,38.017100924709034,74.40400684065048,38.935159953214225,112.97560315095168,59.31660446145514,92.05086255830261
v1-old,vicon_truth,vicon_inter_anchor_delaycal,T3,24,28818,28818,65.84236787713999,98.60922860243554,160.82436160764203,89.0038557860065,39.59069028979303,88.32146022126837,48.060460160736156,138.47198264020642,57.06782549035389,97.37574268410651
v1-old,vicon_truth,vicon_inter_anchor_delaycal,T4,24,28818,28818,64.09048082988876,102.95808259859669,128.3843598352106,77.67175013600712,40.34614213574806,81.28621990750632,44.455447152428476,112.83427844950873,59.78332300936975,91.30708111727935
v1-old,vicon_truth,zero_delay,T1,24,28818,28818,330.30079549962625,418.20437514171095,525.2228095039309,364.4148570138592,77.88948663430408,181.51585209140464,320.5797957398258,515.3367388641961,63.05113390864735,134.8203684677643
v1-old,vicon_truth,zero_delay,T2,24,28818,28818,331.1694931518423,415.76546266280945,524.3741444304808,364.26789406017195,78.12256529512254,181.45041476044995,321.3552284546071,514.3540794145752,63.7323558899848,135.04793902131388
v1-old,vicon_truth,zero_delay,T3,24,28818,28818,362.6437517113211,450.51473902868565,659.1137153040102,494.3735925031751,100.8473047671978,236.44767716061457,352.6944711686341,649.9780184596586,68.2050331303137,152.66480346538532
v1-old,vicon_truth,zero_delay,T4,24,28818,28818,307.27071843000545,351.46014757249395,453.44791445260194,311.31901004962606,76.66825222634344,125.11034903576163,301.58062187972155,438.2961816191024,76.49535554229826,134.48895635391017
v2,vicon_truth,solver_delay,T1,24,28818,28818,330.30079549962625,418.20437514171095,525.2228095039309,364.4148570138592,77.88948663430408,181.51585209140464,320.5797957398258,515.3367388641961,63.05113390864735,134.8203684677643
v2,vicon_truth,solver_delay,T2,24,28818,28818,331.1694931518423,415.76546266280945,524.3741444304808,364.26789406017195,78.12256529512254,181.45041476044995,321.3552284546071,514.3540794145752,63.7323558899848,135.04793902131388
v2,vicon_truth,solver_delay,T3,24,28818,28818,362.6437517113211,450.51473902868565,659.1137153040102,494.3735925031751,100.8473047671978,236.44767716061457,352.6944711686341,649.9780184596586,68.2050331303137,152.66480346538532
v2,vicon_truth,solver_delay,T4,24,28818,28818,307.27071843000545,351.46014757249395,453.44791445260194,311.31901004962606,76.66825222634344,125.11034903576163,301.58062187972155,438.2961816191024,76.49535554229826,134.48895635391017
v2,vicon_truth,vicon_inter_anchor_delaycal,T1,24,28818,28818,61.75339279295396,99.04240875813053,130.45500374169268,76.91056036195398,37.25040904364562,76.80471773407915,38.103218639399074,113.06515664905835,59.764144427726976,91.94304469810845
v2,vicon_truth,vicon_inter_anchor_delaycal,T2,24,28818,28818,60.191772039298414,98.84886291630335,129.800469430168,76.60401031936149,38.017100924709034,74.40400684065048,38.935159953214225,112.97560315095168,59.31660446145514,92.05086255830261
v2,vicon_truth,vicon_inter_anchor_delaycal,T3,24,28818,28818,65.84236787713999,98.60922860243554,160.82436160764203,89.0038557860065,39.59069028979303,88.32146022126837,48.060460160736156,138.47198264020642,57.06782549035389,97.37574268410651
v2,vicon_truth,vicon_inter_anchor_delaycal,T4,24,28818,28818,64.09048082988876,102.95808259859669,128.3843598352106,77.67175013600712,40.34614213574806,81.28621990750632,44.455447152428476,112.83427844950873,59.78332300936975,91.30708111727935
v2,vicon_truth,zero_delay,T1,24,28818,28818,330.30079549962625,418.20437514171095,525.2228095039309,364.4148570138592,77.88948663430408,181.51585209140464,320.5797957398258,515.3367388641961,63.05113390864735,134.8203684677643
v2,vicon_truth,zero_delay,T2,24,28818,28818,331.1694931518423,415.76546266280945,524.3741444304808,364.26789406017195,78.12256529512254,181.45041476044995,321.3552284546071,514.3540794145752,63.7323558899848,135.04793902131388
v2,vicon_truth,zero_delay,T3,24,28818,28818,362.6437517113211,450.51473902868565,659.1137153040102,494.3735925031751,100.8473047671978,236.44767716061457,352.6944711686341,649.9780184596586,68.2050331303137,152.66480346538532
v2,vicon_truth,zero_delay,T4,24,28818,28818,307.27071843000545,351.46014757249395,453.44791445260194,311.31901004962606,76.66825222634344,125.11034903576163,301.58062187972155,438.2961816191024,76.49535554229826,134.48895635391017
v3-full,vicon_truth,solver_delay,T1,24,28818,28818,242.90169835187396,338.760108198573,438.28319550602896,288.94628142084224,96.65451550073017,156.884402269445,224.05021814327347,432.99610016836886,57.50728149093343,121.22039351317017
v3-full,vicon_truth,solver_delay,T2,24,28818,28818,245.20325416131018,337.899332681214,438.1784619501963,288.9751959318774,97.38909380799606,157.75047132550316,223.76109479283787,432.91815733731164,57.9807064147694,121.39579045248067
v3-full,vicon_truth,solver_delay,T3,24,28818,28818,247.48812649397698,362.6915291977977,500.8565097608513,408.2306494073707,110.54665089824064,170.44611899452303,236.91648568590284,496.3872245050941,56.41260432811865,133.01051832364823
v3-full,vicon_truth,solver_delay,T4,24,28818,28818,233.08386739314363,312.50297062104903,366.43409925179634,253.28417648406815,76.85321710956384,150.40698940627968,212.44128256592148,334.8995828186309,79.78910196526115,124.44228680417692
v3-full,vicon_truth,vicon_inter_anchor_delaycal,T1,24,28818,28818,61.75339279295396,99.04240875813053,130.45500374169268,76.91056036195398,37.25040904364562,76.80471773407915,38.103218639399074,113.06515664905835,59.764144427726976,91.94304469810845
v3-full,vicon_truth,vicon_inter_anchor_delaycal,T2,24,28818,28818,60.191772039298414,98.84886291630335,129.800469430168,76.60401031936149,38.017100924709034,74.40400684065048,38.935159953214225,112.97560315095168,59.31660446145514,92.05086255830261
v3-full,vicon_truth,vicon_inter_anchor_delaycal,T3,24,28818,28818,65.84236787713999,98.60922860243554,160.82436160764203,89.0038557860065,39.59069028979303,88.32146022126837,48.060460160736156,138.47198264020642,57.06782549035389,97.37574268410651
v3-full,vicon_truth,vicon_inter_anchor_delaycal,T4,24,28818,28818,64.09048082988876,102.95808259859669,128.3843598352106,77.67175013600712,40.34614213574806,81.28621990750632,44.455447152428476,112.83427844950873,59.78332300936975,91.30708111727935
v3-full,vicon_truth,zero_delay,T1,24,28818,28818,330.30079549962625,418.20437514171095,525.2228095039309,364.4148570138592,77.88948663430408,181.51585209140464,320.5797957398258,515.3367388641961,63.05113390864735,134.8203684677643
v3-full,vicon_truth,zero_delay,T2,24,28818,28818,331.1694931518423,415.76546266280945,524.3741444304808,364.26789406017195,78.12256529512254,181.45041476044995,321.3552284546071,514.3540794145752,63.7323558899848,135.04793902131388
v3-full,vicon_truth,zero_delay,T3,24,28818,28818,362.6437517113211,450.51473902868565,659.1137153040102,494.3735925031751,100.8473047671978,236.44767716061457,352.6944711686341,649.9780184596586,68.2050331303137,152.66480346538532
v3-full,vicon_truth,zero_delay,T4,24,28818,28818,307.27071843000545,351.46014757249395,453.44791445260194,311.31901004962606,76.66825222634344,125.11034903576163,301.58062187972155,438.2961816191024,76.49535554229826,134.48895635391017
v3-lite,vicon_truth,solver_delay,T1,24,28818,28818,330.30079549962625,418.20437514171095,525.2228095039309,364.4148570138592,77.88948663430408,181.51585209140464,320.5797957398258,515.3367388641961,63.05113390864735,134.8203684677643
v3-lite,vicon_truth,solver_delay,T2,24,28818,28818,331.1694931518423,415.76546266280945,524.3741444304808,364.26789406017195,78.12256529512254,181.45041476044995,321.3552284546071,514.3540794145752,63.7323558899848,135.04793902131388
v3-lite,vicon_truth,solver_delay,T3,24,28818,28818,362.6437517113211,450.51473902868565,659.1137153040102,494.3735925031751,100.8473047671978,236.44767716061457,352.6944711686341,649.9780184596586,68.2050331303137,152.66480346538532
v3-lite,vicon_truth,solver_delay,T4,24,28818,28818,307.27071843000545,351.46014757249395,453.44791445260194,311.31901004962606,76.66825222634344,125.11034903576163,301.58062187972155,438.2961816191024,76.49535554229826,134.48895635391017
v3-lite,vicon_truth,vicon_inter_anchor_delaycal,T1,24,28818,28818,61.75339279295396,99.04240875813053,130.45500374169268,76.91056036195398,37.25040904364562,76.80471773407915,38.103218639399074,113.06515664905835,59.764144427726976,91.94304469810845
v3-lite,vicon_truth,vicon_inter_anchor_delaycal,T2,24,28818,28818,60.191772039298414,98.84886291630335,129.800469430168,76.60401031936149,38.017100924709034,74.40400684065048,38.935159953214225,112.97560315095168,59.31660446145514,92.05086255830261
