run,node,fw,master_fw,tag,onset_lower_epoch,onset_lower_wall,onset_upper_epoch,dur_s,terminal,recover_wall,qos_alive_after_s,qos_records_during,tlm_records_during,reset_at_onset,reset_in_window,air_pre_600s,air_post_600s,air_ratio,classification,confidence,reason
N8,BSFC2CC,v44,dk-v36,0xb18e,1786129290.73,2026-08-07 21:01:30,1786129290.85,8.4,0,2026-08-07 21:01:39,3.6,3,0,1,1,21681,3215,0.148,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFC2CC,v44,dk-v36,0xb18e,1786129301.581,2026-08-07 21:01:41,1786129301.701,9.2,0,2026-08-07 21:01:50,8.8,4,0,1,1,21416,3110,0.145,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFC2CC,v44,dk-v36,0xb18e,1786129312.381,2026-08-07 21:01:52,1786129312.501,10.0,0,2026-08-07 21:02:02,4.0,3,0,1,0,21135,2971,0.141,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFC2CC,v44,dk-v36,0xb18e,1786129323.333,2026-08-07 21:02:03,1786129323.453,10.2,0,2026-08-07 21:02:13,10.1,4,0,1,0,20831,2860,0.137,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFC2CC,v44,dk-v36,0xb18e,1786129334.083,2026-08-07 21:02:14,1786129334.203,10.3,0,2026-08-07 21:02:24,3.4,3,0,1,0,20561,2715,0.132,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFEC35,v44,dk-v36,0xb11b,1786130040.102,2026-08-07 21:14:00,1786130040.222,7.7,0,2026-08-07 21:14:07,7.5,4,0,1,1,17925,3005,0.168,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFEC35,v44,dk-v36,0xb11b,1786130049.857,2026-08-07 21:14:09,1786130049.977,18.2,0,2026-08-07 21:14:28,17.8,4,0,1,0,17925,3005,0.168,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFEC35,v44,dk-v36,0xb11b,1786130068.455,2026-08-07 21:14:28,1786130068.575,9.2,0,2026-08-07 21:14:37,3.2,3,0,1,0,18260,2670,0.146,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFEC35,v44,dk-v36,0xb11b,1786130078.153,2026-08-07 21:14:38,1786130078.273,8.9,0,2026-08-07 21:14:47,8.5,4,0,1,0,18380,2550,0.139,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSFEC35,v44,dk-v36,0xb11b,1786130087.812,2026-08-07 21:14:47,1786130087.932,10.2,0,2026-08-07 21:14:58,9.9,4,0,0,0,18505,2455,0.133,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.13 <= 0.15)
N8,BSFEC35,v44,dk-v36,0xb11b,1786130098.054,2026-08-07 21:14:58,1786130098.174,10.3,0,2026-08-07 21:15:08,9.7,4,0,0,0,18625,2335,0.125,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.13 <= 0.15)
N8,BSFEC35,v44,dk-v36,0xb11b,1786130108.508,2026-08-07 21:15:08,1786130108.628,10.4,0,2026-08-07 21:15:18,10.3,4,0,0,0,18745,2265,0.121,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.12 <= 0.15)
