run,node,kind,t0_wall,dur_s,other_stream_records
N5,BSFAA61,IMU_ONLY,2026-08-07 02:15:00,2.7,28
N5,BSFAA61,IMU_ONLY,2026-08-07 02:16:14,2.1,21
N5,BSFAA61,IMU_ONLY,2026-08-07 02:17:05,2.1,20
N5,BSFAA61,IMU_ONLY,2026-08-07 02:17:12,3.9,36
N5,BSFAA61,IMU_ONLY,2026-08-07 02:17:16,2.3,19
N5,BSFAA61,IMU_ONLY,2026-08-07 02:17:20,7.3,67
N5,BSFAA61,IMU_ONLY,2026-08-07 02:17:29,6.8,62
N5,BSFAA61,IMU_ONLY,2026-08-07 02:17:40,2.2,23
N5,BSFAA61,IMU_ONLY,2026-08-07 02:17:50,2.9,29
N5,BSFAA61,IMU_ONLY,2026-08-07 02:18:24,2.1,24
N5,BSFAA61,IMU_ONLY,2026-08-07 02:19:17,3.1,25
N5,BSFAA61,IMU_ONLY,2026-08-07 02:19:53,3.4,28
N5,BSFAA61,IMU_ONLY,2026-08-07 02:22:42,2.1,14
N5,BSFAA61,IMU_ONLY,2026-08-07 02:22:44,3.7,34
N5,BSFAA61,IMU_ONLY,2026-08-07 02:23:00,3.4,35
N5,BSFAA61,IMU_ONLY,2026-08-07 02:24:59,2.3,20
N5,BSFAA61,IMU_ONLY,2026-08-07 02:26:14,2.4,17
N5,BSFAA61,IMU_ONLY,2026-08-07 02:26:16,2.8,25
N5,BSFAA61,IMU_ONLY,2026-08-07 02:26:24,2.2,8
N5,BSFAA61,IMU_ONLY,2026-08-07 02:26:27,5.6,58
N5,BSFAA61,IMU_ONLY,2026-08-07 02:27:02,2.1,21
N5,BSFAA61,IMU_ONLY,2026-08-07 02:30:41,4.8,40
N5,BSFAA61,IMU_ONLY,2026-08-07 02:32:00,2.4,26
N5,BSFAA61,IMU_ONLY,2026-08-07 02:32:30,2.3,28
N5,BSFAA61,IMU_ONLY,2026-08-07 02:33:52,2.8,26
N5,BSFAA61,IMU_ONLY,2026-08-07 02:33:57,2.2,17
N5,BSFAA61,IMU_ONLY,2026-08-07 02:33:59,4.1,38
N5,BSFAA61,IMU_ONLY,2026-08-07 02:34:23,3.3,30
N5,BSFAA61,IMU_ONLY,2026-08-07 02:34:44,2.5,25
N5,BSFAA61,IMU_ONLY,2026-08-07 02:35:03,2.6,24
N5,BSFAA61,IMU_ONLY,2026-08-07 02:35:28,2.1,21
N5,BSFAA61,IMU_ONLY,2026-08-07 02:36:05,2.4,21
N5,BSFAA61,IMU_ONLY,2026-08-07 02:36:16,2.1,23
N5,BSFAA61,IMU_ONLY,2026-08-07 02:36:21,2.9,31
N5,BSFAA61,IMU_ONLY,2026-08-07 02:37:34,4.9,50
N5,BSFAA61,IMU_ONLY,2026-08-07 02:39:53,2.2,16
N5,BSFAA61,IMU_ONLY,2026-08-07 02:42:47,2.0,14
N5,BSFAA61,IMU_ONLY,2026-08-07 02:43:13,2.0,21
N5,BSFAA61,IMU_ONLY,2026-08-07 02:44:53,2.8,25
N5,BSFAA61,IMU_ONLY,2026-08-07 02:46:55,3.5,32
N5,BSFAA61,IMU_ONLY,2026-08-07 02:47:08,3.4,37
N5,BSFAA61,IMU_ONLY,2026-08-07 02:47:45,3.9,40
N5,BSFAA61,IMU_ONLY,2026-08-07 02:48:33,2.1,23
N5,BSFAA61,IMU_ONLY,2026-08-07 02:49:01,3.0,32
N5,BSFAA61,IMU_ONLY,2026-08-07 02:49:17,2.4,23
N5,BSFAA61,IMU_ONLY,2026-08-07 02:49:35,2.5,22
N5,BSFAA61,IMU_ONLY,2026-08-07 02:51:00,2.1,19
