run,node,fw,master_fw,tag,onset_lower_epoch,onset_lower_wall,onset_upper_epoch,dur_s,terminal,recover_wall,qos_alive_after_s,qos_records_during,tlm_records_during,reset_at_onset,reset_in_window,air_pre_600s,air_post_600s,air_ratio,classification,confidence,reason
N7,BSF6C53,v43,dk-v35,0xb1e0,1786097783.012,2026-08-07 12:16:23,1786097783.132,614.7,1,,614.6,611,0,0,0,18425,18867,1.024,STEADY_STATE_HOST_WEDGE,high,"link alive 615 s with zero application data, tag on air (ratio 1.02), no reset"
N8,BSF1120,v44,dk-v36,0xb10b,1786114388.533,2026-08-07 16:53:08,1786114388.653,16071.3,1,,16071.2,15994,0,0,0,6376,6115,0.959,STEADY_STATE_HOST_WEDGE,high,"link alive 16071 s with zero application data, tag on air (ratio 0.96), no reset"
N8,BSF31CC,v44,dk-v36,0xb151,1786128703.791,2026-08-07 20:51:43,1786128703.911,1756.1,1,,3.3,3,0,0,0,2352,18,0.008,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.01 <= 0.15)
N8,BSF3C79,v44,dk-v36,0xb101,1786128571.095,2026-08-07 20:49:31,1786128571.215,528.6,0,2026-08-07 20:58:19,528.5,4,0,0,1,24997,3085,0.123,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.12 <= 0.15)
N8,BSF3C79,v44,dk-v36,0xb101,1786129171.101,2026-08-07 20:59:31,1786129171.221,962.8,0,2026-08-07 21:15:33,962.7,4,0,0,1,3085,50,0.016,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.02 <= 0.15)
N8,BSF3C79,v44,dk-v36,0xb101,1786130192.316,2026-08-07 21:16:32,1786130192.436,267.6,1,,3.7,3,0,0,0,2530,100,0.04,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.04 <= 0.15)
N8,BSF44AD,v44,dk-v36,0xb13a,1786125118.733,2026-08-07 19:51:58,1786125118.853,5341.1,1,,3438.8,3421,0,0,0,333,365,1.096,STEADY_STATE_HOST_WEDGE,high,"link alive 3439 s with zero application data, tag on air (ratio 1.10), no reset"
N8,BSF6C53,v44,dk-v36,0xb1e0,1786128580.112,2026-08-07 20:49:40,1786128580.232,65.1,0,2026-08-07 20:50:45,64.8,17,0,1,0,16908,3120,0.185,DEPLETION_OR_BROWNOUT,high,node rebooted inside the stall window (node_ms went backwards)
N8,BSF6C53,v44,dk-v36,0xb1e0,1786128645.31,2026-08-07 20:50:45,1786128645.43,1814.6,1,,280.6,24,0,0,0,15596,2600,0.167,DEPLETION_OR_BROWNOUT,medium,tag transmitting intermittently (air ratio 0.17)
N8,BSF8BC4,v44,dk-v36,0xb1d2,1786129810.762,2026-08-07 21:10:10,1786129810.882,649.1,1,,3.2,3,0,0,0,24102,35,0.001,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.00 <= 0.15)
N8,BSFAA61,v44,dk-v36,0xb172,1786129604.609,2026-08-07 21:06:44,1786129604.729,855.3,1,,3.7,3,0,0,0,24996,195,0.008,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.01 <= 0.15)
N8,BSFC2CC,v44,dk-v36,0xb18e,1786129345.231,2026-08-07 21:02:25,1786129345.351,34.7,0,2026-08-07 21:02:59,34.3,8,0,0,0,20261,2595,0.128,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.13 <= 0.15)
N8,BSFC2CC,v44,dk-v36,0xb18e,1786129380.135,2026-08-07 21:03:00,1786129380.255,1079.7,1,,852.0,85,0,0,0,19046,2195,0.115,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.12 <= 0.15)
N8,BSFEC35,v44,dk-v36,0xb11b,1786110368.521,2026-08-07 15:46:08,1786110368.641,19669.2,0,2026-08-07 21:13:57,19669.0,6099,0,0,1,1634,1713,1.048,STEADY_STATE_HOST_WEDGE,high,"link alive 19669 s with zero application data, tag on air (ratio 1.05), no reset"
N8,BSFEC35,v44,dk-v36,0xb11b,1786130119.058,2026-08-07 21:15:19,1786130119.178,340.8,1,,159.2,33,0,0,0,18860,2150,0.114,DEPLETION_OR_BROWNOUT,high,tag off air after onset (air ratio 0.11 <= 0.15)
