x_lo_mm,x_hi_mm,y_lo_mm,y_hi_mm,person_med_abs_resid_mm,clean_med_abs_resid_mm,delta_mm
-1000,-500,-1231,-731,nan,nan,nan
-500,0,-1231,-731,nan,nan,nan
0,500,-1231,-731,nan,nan,nan
500,1000,-1231,-731,nan,nan,nan
1000,1500,-1231,-731,490.5,nan,nan
1500,2000,-1231,-731,503.2,232.8,270.4
2000,2500,-1231,-731,285.3,301.7,-16.4
2500,3000,-1231,-731,337.9,nan,nan
3000,3500,-1231,-731,343.1,nan,nan
3500,4000,-1231,-731,414.1,nan,nan
4000,4500,-1231,-731,311.9,nan,nan
4500,5000,-1231,-731,395.4,nan,nan
5000,5500,-1231,-731,nan,nan,nan
5500,6000,-1231,-731,nan,nan,nan
-1000,-500,-731,-231,nan,nan,nan
-500,0,-731,-231,nan,nan,nan
0,500,-731,-231,nan,nan,nan
500,1000,-731,-231,nan,nan,nan
1000,1500,-731,-231,239.2,nan,nan
1500,2000,-731,-231,304.8,190.2,114.6
2000,2500,-731,-231,266.0,255.8,10.2
2500,3000,-731,-231,285.0,252.5,32.5
3000,3500,-731,-231,234.4,216.1,18.3
3500,4000,-731,-231,258.6,170.4,88.1
4000,4500,-731,-231,280.1,183.4,96.7
4500,5000,-731,-231,262.5,nan,nan
5000,5500,-731,-231,156.7,nan,nan
5500,6000,-731,-231,nan,nan,nan
-1000,-500,-231,269,nan,nan,nan
-500,0,-231,269,nan,nan,nan
0,500,-231,269,nan,nan,nan
500,1000,-231,269,183.6,nan,nan
1000,1500,-231,269,170.6,143.6,27.0
1500,2000,-231,269,158.2,196.2,-38.0
2000,2500,-231,269,214.6,185.9,28.8
2500,3000,-231,269,299.9,212.6,87.3
3000,3500,-231,269,227.4,255.0,-27.6
3500,4000,-231,269,246.7,315.5,-68.8
4000,4500,-231,269,215.2,250.9,-35.7
4500,5000,-231,269,248.7,292.4,-43.8
5000,5500,-231,269,nan,nan,nan
5500,6000,-231,269,nan,nan,nan
-1000,-500,269,769,nan,nan,nan
-500,0,269,769,nan,nan,nan
0,500,269,769,94.4,nan,nan
500,1000,269,769,302.3,nan,nan
1000,1500,269,769,150.2,355.1,-204.9
1500,2000,269,769,183.0,239.4,-56.4
2000,2500,269,769,208.9,247.4,-38.5
2500,3000,269,769,291.0,221.0,69.9
3000,3500,269,769,346.2,273.7,72.5
3500,4000,269,769,249.0,227.9,21.1
4000,4500,269,769,265.7,215.0,50.7
4500,5000,269,769,357.6,344.1,13.5
5000,5500,269,769,495.5,193.9,301.6
5500,6000,269,769,nan,nan,nan
-1000,-500,769,1269,nan,nan,nan
-500,0,769,1269,nan,nan,nan
0,500,769,1269,nan,nan,nan
500,1000,769,1269,199.6,nan,nan
1000,1500,769,1269,200.0,468.0,-268.0
1500,2000,769,1269,246.1,345.0,-98.9
2000,2500,769,1269,210.4,214.6,-4.2
2500,3000,769,1269,269.1,251.3,17.8
3000,3500,769,1269,258.5,311.0,-52.5
3500,4000,769,1269,245.1,288.2,-43.1
4000,4500,769,1269,366.8,308.6,58.1
4500,5000,769,1269,243.5,373.0,-129.5
5000,5500,769,1269,298.9,nan,nan
5500,6000,769,1269,nan,nan,nan
-1000,-500,1269,1769,nan,nan,nan
-500,0,1269,1769,nan,nan,nan
0,500,1269,1769,225.4,nan,nan
500,1000,1269,1769,730.3,216.0,514.3
1000,1500,1269,1769,375.4,nan,nan
1500,2000,1269,1769,357.4,238.2,119.3
2000,2500,1269,1769,210.5,251.9,-41.4
2500,3000,1269,1769,213.3,279.3,-66.0
3000,3500,1269,1769,220.0,268.5,-48.5
3500,4000,1269,1769,231.2,306.6,-75.4
4000,4500,1269,1769,191.2,226.0,-34.8
4500,5000,1269,1769,256.4,279.2,-22.8
5000,5500,1269,1769,nan,nan,nan
5500,6000,1269,1769,nan,nan,nan
-1000,-500,1769,2269,nan,nan,nan
-500,0,1769,2269,188.1,nan,nan
0,500,1769,2269,177.2,294.0,-116.8
500,1000,1769,2269,178.3,149.6,28.7
1000,1500,1769,2269,265.7,196.3,69.4
1500,2000,1769,2269,223.7,264.5,-40.8
2000,2500,1769,2269,286.9,257.9,29.0
2500,3000,1769,2269,226.5,252.2,-25.7
3000,3500,1769,2269,211.4,315.2,-103.8
3500,4000,1769,2269,229.0,324.2,-95.2
4000,4500,1769,2269,258.8,272.1,-13.3
4500,5000,1769,2269,337.0,284.7,52.4
5000,5500,1769,2269,nan,nan,nan
5500,6000,1769,2269,nan,nan,nan
-1000,-500,2269,2769,nan,nan,nan
-500,0,2269,2769,nan,nan,nan
0,500,2269,2769,187.8,226.8,-38.9
500,1000,2269,2769,274.8,247.9,26.8
1000,1500,2269,2769,200.9,200.6,0.3
1500,2000,2269,2769,252.8,250.8,1.9
2000,2500,2269,2769,228.1,287.9,-59.8
2500,3000,2269,2769,228.8,265.2,-36.4
3000,3500,2269,2769,156.9,247.9,-91.0
3500,4000,2269,2769,214.8,178.6,36.2
4000,4500,2269,2769,223.9,298.7,-74.8
4500,5000,2269,2769,159.0,192.5,-33.5
5000,5500,2269,2769,nan,286.4,nan
5500,6000,2269,2769,nan,nan,nan
-1000,-500,2769,3269,nan,nan,nan
-500,0,2769,3269,nan,nan,nan
0,500,2769,3269,176.8,447.8,-271.0
500,1000,2769,3269,173.1,225.6,-52.5
1000,1500,2769,3269,177.4,194.7,-17.3
1500,2000,2769,3269,361.0,227.4,133.6
2000,2500,2769,3269,346.6,298.6,48.0
2500,3000,2769,3269,295.7,314.3,-18.7
3000,3500,2769,3269,177.0,400.0,-223.0
3500,4000,2769,3269,204.5,269.0,-64.5
4000,4500,2769,3269,181.6,253.1,-71.5
4500,5000,2769,3269,192.5,nan,nan
5000,5500,2769,3269,265.9,nan,nan
5500,6000,2769,3269,nan,nan,nan
-1000,-500,3269,3769,nan,nan,nan
-500,0,3269,3769,nan,nan,nan
0,500,3269,3769,220.4,nan,nan
500,1000,3269,3769,166.9,nan,nan
1000,1500,3269,3769,295.0,139.2,155.8
1500,2000,3269,3769,228.8,nan,nan
2000,2500,3269,3769,250.6,nan,nan
2500,3000,3269,3769,278.0,nan,nan
3000,3500,3269,3769,nan,327.2,nan
3500,4000,3269,3769,217.5,229.8,-12.4
4000,4500,3269,3769,nan,nan,nan
4500,5000,3269,3769,nan,nan,nan
5000,5500,3269,3769,nan,nan,nan
5500,6000,3269,3769,nan,nan,nan
-1000,-500,3769,4269,nan,nan,nan
-500,0,3769,4269,nan,nan,nan
0,500,3769,4269,nan,nan,nan
500,1000,3769,4269,nan,nan,nan
1000,1500,3769,4269,nan,nan,nan
1500,2000,3769,4269,nan,nan,nan
2000,2500,3769,4269,nan,nan,nan
2500,3000,3769,4269,nan,nan,nan
3000,3500,3769,4269,nan,nan,nan
3500,4000,3769,4269,nan,nan,nan
4000,4500,3769,4269,nan,nan,nan
4500,5000,3769,4269,nan,nan,nan
5000,5500,3769,4269,nan,nan,nan
5500,6000,3769,4269,nan,nan,nan
