sweep,peer_name,plan,pmode,quality_flag_percent,targets,statuses,qualities
1899,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1904,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25836,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1900,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1905,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25837,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,3,100,100"
1901,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1906,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25838,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1902,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1907,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25839,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,3,100,100"
1903,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1908,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25840,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1904,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1909,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25841,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,3,100,100"
1905,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1910,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25842,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1906,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1911,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25843,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,3,100,100"
1907,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1912,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25844,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1908,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1913,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25845,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,3,100,100"
1909,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
1914,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25846,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1915,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
1910,BS2DCE,cal_roto,5,100,"A,C,H,F","ok,ok,ok,ok","100,100,100,100"
25847,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,5,100,100"
1911,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1916,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25848,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1912,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1917,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25849,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,5,100,100"
1913,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1918,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
1914,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
25850,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1919,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25851,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,timeout","100,5,100,94"
1915,BS2DCE,cal_roto,5,98,"A,C,F,H","ok,ok,timeout,ok","100,100,94,100"
1920,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
1916,BS2DCE,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,94,100"
25852,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1917,BS2DCE,cal_roto,5,98,"A,C,H,F","ok,ok,ok,ok","100,100,100,95"
1921,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25853,BSF66F,cal_static,4,75,"E,F,G,H","ok,reject,ok,ok","100,5,100,95"
1918,BS2DCE,cal_roto,5,98,"A,C,H,F","ok,ok,ok,ok","100,100,100,95"
1922,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25854,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1919,BS2DCE,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,95,100"
1923,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25855,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,4,100,95"
1920,BS2DCE,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,95,100"
1924,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25856,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1921,BS2DCE,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,95,100"
