sweep,peer_name,plan,pmode,quality_flag_percent,targets,statuses,qualities
25907,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1974,BS2DCE,cal_roto,5,99,"A,C,H,F","ok,ok,ok,ok","100,100,100,96"
1976,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25908,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1975,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1977,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
25909,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1976,BS2DCE,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,96,100"
1978,BSDC91,cal_roto,5,100,"C,A,E,F","ok,ok,ok,ok","100,100,100,100"
1977,BS2DCE,cal_roto,5,99,"C,A,F,H","ok,ok,ok,ok","100,100,96,100"
25910,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1979,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25911,BSF66F,cal_static,4,76,"E,F,G,H","ok,reject,ok,ok","100,5,100,100"
1978,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
