sweep,peer_name,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
24948,BSF66F,cal_static,4,pending,0,4,0,0,0,0
24949,BSF66F,cal_static,4,pending,0,4,0,0,0,0
24950,BSF66F,cal_static,4,pending,0,4,0,0,0,0
24951,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24952,BSF66F,cal_static,4,success,100,4,4,620825,621906,0
24953,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24954,BSF66F,cal_static,4,success,100,4,4,6,8,0
24955,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24956,BSF66F,cal_static,4,success,100,4,4,2820,3644,0
24957,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24958,BSF66F,cal_static,4,success,100,4,4,2961308,2962280,0
24959,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24960,BSF66F,cal_static,4,success,100,4,4,622981,624075,0
24961,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24962,BSF66F,cal_static,4,success,100,4,4,756,1139,0
24963,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24964,BSF66F,cal_static,4,success,100,4,4,4,6,0
24965,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24966,BSF66F,cal_static,4,success,100,4,4,1919,2605,0
24967,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24968,BSF66F,cal_static,4,success,100,4,4,6724096,6725050,0
24969,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24970,BSF66F,cal_static,4,success,100,4,4,7,10,0
24971,BSF66F,cal_static,4,pending,100,4,4,0,0,0
24972,BSF66F,cal_static,4,success,100,4,4,0,0,0
24973,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1040,BSDC91,cal_roto,5,success,87,4,4,52,89,0
24974,BSF66F,cal_static,4,success,100,4,4,5,6,0
1041,BSDC91,cal_roto,5,pending,86,4,3,0,0,0
1031,BS2DCE,cal_roto,5,success,100,4,4,271,388,0
1042,BSDC91,cal_roto,5,success,87,4,4,65,108,0
24975,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1032,BS2DCE,cal_roto,5,success,100,4,4,259,376,0
1043,BSDC91,cal_roto,5,success,88,4,4,61,100,0
24976,BSF66F,cal_static,4,success,100,4,4,1973544,1974522,0
1033,BS2DCE,cal_roto,5,success,100,4,4,161,225,0
1044,BSDC91,cal_roto,5,success,88,4,4,42,68,0
24977,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1034,BS2DCE,cal_roto,5,success,100,4,4,131,188,0
1045,BSDC91,cal_roto,5,success,89,4,4,96,143,0
24978,BSF66F,cal_static,4,success,100,4,4,927568,928662,0
1035,BS2DCE,cal_roto,5,success,100,4,4,253,351,0
1046,BSDC91,cal_roto,5,success,90,4,4,94,120,0
24979,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1036,BS2DCE,cal_roto,5,success,100,4,4,165,236,0
1047,BSDC91,cal_roto,5,success,90,4,4,12,14,0
24980,BSF66F,cal_static,4,success,100,4,4,637496,638587,0
1037,BS2DCE,cal_roto,5,success,100,4,4,168,224,0
1048,BSDC91,cal_roto,5,success,90,4,4,63,81,0
24981,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1038,BS2DCE,cal_roto,5,success,100,4,4,159,197,0
1049,BSDC91,cal_roto,5,success,90,4,4,90,112,0
24982,BSF66F,cal_static,4,success,100,4,4,4825,5830,0
1039,BS2DCE,cal_roto,5,success,100,4,4,188,217,0
1050,BSDC91,cal_roto,5,success,91,4,4,155,231,0
24983,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1040,BS2DCE,cal_roto,5,success,100,4,4,258,366,0
1051,BSDC91,cal_roto,5,success,92,4,4,41,61,0
24984,BSF66F,cal_static,4,success,100,4,4,5,6,0
1041,BS2DCE,cal_roto,5,success,100,4,4,305,428,0
1052,BSDC91,cal_roto,5,success,92,4,4,186,258,0
24985,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1042,BS2DCE,cal_roto,5,success,100,4,4,202,303,0
1053,BSDC91,cal_roto,5,success,92,4,4,142,200,0
24986,BSF66F,cal_static,4,success,100,4,4,22239,23436,0
1043,BS2DCE,cal_roto,5,success,100,4,4,201,305,0
1054,BSDC91,cal_roto,5,success,92,4,4,131,210,0
24987,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1044,BS2DCE,cal_roto,5,success,100,4,4,128,190,0
1055,BSDC91,cal_roto,5,success,92,4,4,106,155,0
24988,BSF66F,cal_static,4,success,100,4,4,1615995,1617014,0
1045,BS2DCE,cal_roto,5,success,100,4,4,81,125,0
1056,BSDC91,cal_roto,5,success,93,4,4,2,2,0
24989,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1046,BS2DCE,cal_roto,5,success,100,4,4,92,142,0
1057,BSDC91,cal_roto,5,success,93,4,4,101,162,0
24990,BSF66F,cal_static,4,success,100,4,4,868837,869892,0
1047,BS2DCE,cal_roto,5,success,100,4,4,100,155,0
1058,BSDC91,cal_roto,5,success,93,4,4,20,32,0
24991,BSF66F,cal_static,4,pending,100,4,4,0,0,0
1048,BS2DCE,cal_roto,5,success,100,4,4,175,256,0
1059,BSDC91,cal_roto,5,success,95,4,4,160,264,0
24992,BSF66F,cal_static,4,success,100,4,4,5137,6130,0
1049,BS2DCE,cal_roto,5,success,100,4,4,295,410,0
1060,BSDC91,cal_roto,5,success,95,4,4,44,69,0
24993,BSF66F,cal_static,4,pending,100,4,4,0,0,0
