sweep,peer_name,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
24948,BSF66F,cal_static,4,A,pending,not_measured,0,0,0,0,0,0
24948,BSF66F,cal_static,4,B,pending,not_measured,0,0,0,0,0,0
24948,BSF66F,cal_static,4,C,pending,not_measured,0,0,0,0,0,0
24948,BSF66F,cal_static,4,D,pending,not_measured,0,0,0,0,0,0
24949,BSF66F,cal_static,4,A,pending,not_measured,0,0,0,0,0,0
24949,BSF66F,cal_static,4,B,pending,not_measured,0,0,0,0,0,0
24949,BSF66F,cal_static,4,C,pending,not_measured,0,0,0,0,0,0
24949,BSF66F,cal_static,4,D,pending,not_measured,0,0,0,0,0,0
1026,BSDC91,cal_roto,5,A,ok,ok,2693,2693,0,0,100,100
1026,BSDC91,cal_roto,5,B,ok,ok,2832,2832,0,0,100,100
1026,BSDC91,cal_roto,5,C,ok,ok,3001,3001,0,0,100,100
1026,BSDC91,cal_roto,5,D,ok,ok,2658,2658,0,0,100,100
1026,BSDC91,cal_roto,5,E,ok,ok,2704,2704,0,0,100,100
1026,BSDC91,cal_roto,5,F,ok,ok,2906,2906,0,0,100,100
1023,BS2DCE,cal_roto,5,A,ok,ok,3072,3072,0,0,100,100
1023,BS2DCE,cal_roto,5,B,ok,ok,2056,2056,0,0,100,100
1023,BS2DCE,cal_roto,5,C,ok,ok,3214,3214,0,0,100,100
1023,BS2DCE,cal_roto,5,D,ok,ok,3758,3758,0,0,100,100
1023,BS2DCE,cal_roto,5,E,ok,ok,2971,2971,0,0,100,100
1023,BS2DCE,cal_roto,5,F,ok,ok,2064,2064,0,0,100,100
24950,BSF66F,cal_static,4,A,pending,not_measured,0,0,0,0,0,0
24950,BSF66F,cal_static,4,B,pending,not_measured,0,0,0,0,0,0
24950,BSF66F,cal_static,4,C,pending,not_measured,0,0,0,0,0,0
24950,BSF66F,cal_static,4,D,pending,not_measured,0,0,0,0,0,0
24951,BSF66F,cal_static,4,E,ok,ok,3823,3823,0,0,100,100
24951,BSF66F,cal_static,4,F,ok,ok,2320,2320,0,0,100,100
24951,BSF66F,cal_static,4,G,ok,ok,1988,1988,0,0,100,100
24951,BSF66F,cal_static,4,H,ok,ok,3507,3507,0,0,100,100
1027,BSDC91,cal_roto,5,A,ok,ok,2278,2278,0,0,100,100
1027,BSDC91,cal_roto,5,B,ok,ok,2690,2690,0,0,100,100
1027,BSDC91,cal_roto,5,C,ok,ok,3010,3010,0,0,100,100
1027,BSDC91,cal_roto,5,D,ok,ok,2668,2668,0,0,100,100
1027,BSDC91,cal_roto,5,E,ok,ok,2625,2625,0,0,100,100
1027,BSDC91,cal_roto,5,F,ok,ok,2791,2791,0,0,100,100
1027,BSDC91,cal_roto,5,G,ok,ok,3105,3105,0,0,100,100
24952,BSF66F,cal_static,4,A,ok,ok,3689,3689,0,0,100,100
