sweep,peer_name,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
1025,BSDC91,0,ok,2693,2693,100,1,0
1025,BSDC91,1,ok,2832,2832,100,1,0
1025,BSDC91,2,ok,3001,3001,100,1,0
1025,BSDC91,3,ok,2658,2658,100,1,0
1025,BSDC91,4,ok,2704,2704,100,1,0
1025,BSDC91,5,ok,2906,2906,100,1,0
1022,BS2DCE,0,ok,3072,3072,100,1,0
1022,BS2DCE,1,ok,2056,2056,100,1,0
1022,BS2DCE,2,ok,3214,3214,100,1,0
1022,BS2DCE,3,ok,3758,3758,100,1,0
1022,BS2DCE,4,ok,2971,2971,100,1,0
1022,BS2DCE,5,ok,2064,2064,100,1,0
24950,BSF66F,4,ok,3823,3823,100,1,0
24950,BSF66F,5,ok,2320,2320,100,1,0
24950,BSF66F,6,ok,1988,1988,100,1,0
1026,BSDC91,0,ok,2278,2278,100,1,0
1026,BSDC91,1,ok,2690,2690,100,1,0
1026,BSDC91,2,ok,3010,3010,100,1,0
1026,BSDC91,3,ok,2668,2668,100,1,0
1026,BSDC91,4,ok,2625,2625,100,1,0
1026,BSDC91,5,ok,2791,2791,100,1,0
1026,BSDC91,6,ok,3105,3105,100,1,0
1023,BS2DCE,0,ok,3451,3451,100,1,0
24951,BSF66F,0,ok,3689,3689,100,1,0
24951,BSF66F,1,ok,2508,2508,100,1,0
1023,BS2DCE,1,ok,2151,2151,100,1,0
1023,BS2DCE,2,ok,2928,2928,100,1,0
1023,BS2DCE,3,ok,3516,3516,100,1,0
1023,BS2DCE,4,ok,3179,3179,100,1,0
1023,BS2DCE,5,ok,1937,1937,100,1,0
1023,BS2DCE,6,ok,2604,2604,100,1,0
24952,BSF66F,4,ok,3852,3852,100,2,0
24952,BSF66F,5,ok,2362,2362,100,2,0
24952,BSF66F,6,ok,1967,1967,100,2,0
24952,BSF66F,7,ok,3508,3508,100,2,0
24953,BSF66F,0,ok,3658,3658,100,2,0
24953,BSF66F,1,ok,2474,2474,100,2,0
24953,BSF66F,2,ok,2138,2138,100,2,0
24954,BSF66F,4,ok,3800,3800,100,3,0
24954,BSF66F,5,ok,2372,2372,100,3,0
24955,BSF66F,0,ok,3681,3681,100,3,0
24955,BSF66F,1,ok,2557,2557,100,3,0
24955,BSF66F,2,ok,2167,2167,100,3,0
24955,BSF66F,3,ok,3498,3498,100,3,0
1027,BSDC91,0,ok,2924,2924,100,2,0
1027,BSDC91,1,ok,3654,3654,100,2,0
1027,BSDC91,2,ok,2894,2894,100,2,0
1027,BSDC91,3,ok,2762,2762,100,2,0
1027,BSDC91,4,ok,2919,2919,100,2,0
1027,BSDC91,5,ok,3315,3315,100,2,0
1027,BSDC91,6,ok,2537,2537,100,2,0
1027,BSDC91,7,ok,2624,2624,100,2,0
24956,BSF66F,4,ok,3809,3809,100,4,0
24956,BSF66F,5,ok,2360,2360,100,4,0
24956,BSF66F,6,ok,1983,1983,100,4,0
1024,BS2DCE,0,ok,2755,2755,100,2,0
1024,BS2DCE,1,ok,3037,3037,100,2,0
1024,BS2DCE,2,ok,3073,3073,100,2,0
1024,BS2DCE,3,ok,3395,3395,100,2,0
1024,BS2DCE,4,ok,2887,2887,100,2,0
1024,BS2DCE,5,ok,2731,2731,100,2,0
1024,BS2DCE,6,ok,3209,3209,100,2,0
1024,BS2DCE,7,ok,3590,3590,100,2,0
24957,BSF66F,0,ok,3701,3701,100,4,0
24957,BSF66F,1,ok,2472,2472,100,4,0
24958,BSF66F,4,ok,3833,3833,100,5,0
24958,BSF66F,5,ok,2365,2365,100,5,0
24958,BSF66F,6,ok,1998,1998,100,5,0
24958,BSF66F,7,ok,3499,3499,100,5,0
24959,BSF66F,0,ok,3708,3708,100,5,0
24959,BSF66F,1,ok,2515,2515,100,5,0
24959,BSF66F,2,ok,2136,2136,100,5,0
1028,BSDC91,0,ok,3319,3319,100,3,0
1028,BSDC91,1,ok,2477,2477,100,3,0
1028,BSDC91,2,ok,2610,2610,100,3,0
1028,BSDC91,3,ok,3373,3373,100,3,0
1028,BSDC91,4,ok,3302,3302,100,3,0
1028,BSDC91,5,ok,2156,2156,100,3,0
24960,BSF66F,4,ok,3878,3878,100,6,0
24960,BSF66F,5,ok,2393,2393,100,6,0
1029,BSDC91,0,ok,3148,3148,100,4,0
1029,BSDC91,1,reject,1865,2477,75,3,1
