version,ID,path,location,height,facing,status,N_frames,mean_x,mean_y,mean_z,X_std,Y_std,Z_std,D3_std,radial_p50,radial_p75,radial_p95,radial_max,median_anchors,pct_ge7,pct_ge8
v4-io,ID01,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID01_20260513_152958,edge,low,ABEF,ok,601,1477.6112788318626,1095.7326501776618,67.38335718654577,27.20825940229408,22.06137075409731,33.38321402853712,48.38835023151112,40.41679296085597,54.98002794482414,78.57401620475079,180.76428669491696,7.0,99.66722129783693,24.958402662229616
v4-io,ID02,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID02_20260513_153316,edge,mid,ABEF,ok,601,1684.4574882793222,1054.9938971876697,-797.1107857073999,19.12682663511576,17.30786679886372,40.701631491163084,48.187348508705284,38.89086213482843,55.75945818046542,82.83991760757718,178.42595333762685,7.0,99.83361064891847,26.955074875207984
v4-io,ID03,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID03_20260513_154008,edge,high,ABEF,ok,600,1634.2423363400153,1067.0450356647377,-1447.0502406135354,23.642132132519688,19.199440646777596,24.83290440168014,39.29684559788026,33.891051424691426,46.38638676150214,63.238374386007074,138.18244239394144,7.0,100.0,30.5
v4-io,ID04,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID04_20260513_163638,edge,low,BCGF,ok,601,2310.8536505265192,2466.17233291997,-20.594066601615552,25.767363884705922,14.166825907819765,44.24409204714391,53.12434168011368,37.779399898406496,54.06941010518282,86.18151831218344,330.9197590114463,8.0,99.83361064891847,58.069883527454245
v4-io,ID05,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID05_20260513_163117,edge,mid,BCGF,ok,601,2227.63406763036,2432.7647454185744,-1026.0350750294442,29.766559021865824,16.98562598042676,41.4252679187371,53.76441525849899,43.885005937878404,61.44960261141586,89.92598943450962,197.31622183684,7.0,100.0,26.622296173044923
v4-io,ID06,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID06_20260513_154321,edge,high,BCGF,ok,600,2055.924596496884,2456.144399790031,-1461.6961222468956,21.644038034690986,14.231829838758362,20.086815001087096,32.77940664341593,27.669662842117937,39.27771478937227,54.83860461959135,79.36614656390516,7.0,99.83333333333333,35.66666666666667
v4-io,ID07,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID07_20260513_164048,edge,low,CDHG,ok,600,687.6280703216066,2571.452244795545,125.40243205428919,28.399202187253312,19.393198054908982,69.03665279052122,77.1276230943778,55.335930812236356,86.32843213871276,144.8176777980039,230.13653227367837,7.0,100.0,14.833333333333334
v4-io,ID08,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID08_20260513_162857,edge,mid,CDHG,ok,601,1731.7244347642843,3642.9980648281107,-897.1125758402259,51.35522352319311,30.430078259811467,91.1841922661906,108.98580442081892,68.65965543122292,98.87476395117953,211.2176181133702,632.074959369525,7.0,99.83361064891847,19.467554076539102
v4-io,ID09,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID09_20260513_154629,edge,high,CDHG,ok,601,1603.1538186730145,3401.1646576877865,-1498.0306886685141,44.10945920756746,20.885435314157547,64.61108209446125,80.97183293752914,65.43623460895455,95.619813445213,142.39850883170297,217.00338950169908,7.0,100.0,35.44093178036606
v4-io,ID10,,edge,low,ADHE,missing,,,,,,,,,,,,,,,
v4-io,ID11,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID11_20260513_162534,edge,mid,ADHE,ok,601,882.5534588795282,2530.193832652227,-876.9963899719974,21.41697445545406,17.835459221818578,41.530369387000015,50.015617379968354,39.82160283056765,56.25711844746619,85.35915902886612,198.86913397528934,7.0,100.0,25.9567387687188
v4-io,ID12,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID12_20260513_154958,edge,high,ADHE,ok,601,855.7173162815,2446.8830412153866,-1398.2854714108994,26.563491935665873,18.456857848558027,33.996295355373555,46.92571580005848,38.2664604745686,54.21654043929922,80.45712311547008,129.53708817721642,7.0,100.0,26.12312811980033
v4-io,ID13,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID13_20260513_161529,center,mid,ABEF,ok,601,1717.444744488315,2523.9274081706276,-850.7925655033046,23.50722380950063,13.41873806802602,43.379178197346455,51.13125466527672,40.76365948920329,56.52170025926305,87.45483744244281,261.8559879395855,7.0,99.83361064891847,39.93344425956739
v4-io,ID14,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID14_20260513_161800,center,mid,BCGF,ok,600,1697.1702320620766,2561.924660972165,-853.8470160415106,22.49643511474739,14.02560164330525,37.82548531585457,46.1906314495554,37.84309825346536,53.29747690868999,80.78804187736596,122.51019685445894,7.0,99.66666666666667,29.833333333333336
v4-io,ID15,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID15_20260513_162010,center,mid,CDHG,ok,600,1676.8341641917962,2564.510594633943,-930.4116004203993,22.744487880347577,13.873165628853947,36.02672938188101,44.8073842514845,36.95279523514486,51.59950989138667,77.80705541945507,128.29301076101248,7.0,99.83333333333333,31.666666666666664
v4-io,ID16,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID16_20260513_162320,center,mid,ADHE,ok,601,1729.3875112642331,2551.70150248431,-910.155578647328,26.45115767591168,18.212215306223044,34.864769998692466,47.40148432083001,39.70653496940421,52.80182118474404,76.40646829478196,253.2181164972334,7.0,99.83361064891847,28.1198003327787
v4-io,ID17,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID17_20260513_161228,center,low,ABEF,ok,601,1539.923792634701,2557.331032322097,-14.073513064153655,27.426506710344754,20.033237715341755,50.620271352627796,60.95863971173936,47.578939291798434,68.28359950947866,106.74586877233985,246.33220839574196,7.0,99.83361064891847,35.77371048252912
v4-io,ID18,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID18_20260513_161018,center,low,BCGF,ok,601,1671.7762734848484,2416.6710307374597,-39.07240897616554,26.64459792054226,13.835322484771083,60.21648470031003,67.2857769240101,49.660082340886625,70.5889476716539,113.2637367029459,339.37905625485075,7.0,100.0,39.93344425956739
v4-io,ID19,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID19_20260513_160549,center,low,CDHG,ok,601,1761.0477185628226,2620.1154176949453,-15.386163437079645,33.60897628864755,16.64344647827317,46.95623103340277,60.095384437644746,45.20743895946622,65.90363516050465,107.85599336211514,240.64973730563705,7.0,100.0,27.953410981697168
v4-io,ID20,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID20_20260513_160806,center,low,ADHE,ok,601,1647.94229036801,2722.2269281823487,-135.54091546432534,25.45402038195536,15.462422425148535,50.002854160734664,58.20033578149214,45.84229496912966,63.689933102593756,105.70276381468356,215.77358906140353,7.0,100.0,49.750415973377706
v4-io,ID21,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/outdoor_20260513/Static_Test/ID21_20260513_155713,center,high,ABEF,ok,600,1616.0877584092773,2482.831284285953,-1445.2584530289214,23.90183539659385,14.394713822639574,33.232649280613664,43.39256272185165,37.9023547962856,50.07845700703656,73.48509194279191,107.6649407833741,7.0,100.0,25.0
