job_index,experiment_id,L,I,P,T,seed_id,stress_id,wall_time_s,status
3,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST1_vibration_3x,6.41509205600596,ok
3,X_A0_U4_P0_L2_I5_T3,L2,I5,P0,T3,S00,ST1_vibration_3x,6.2650679030048195,ok
3,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST1_vibration_3x,6.184199315990554,ok
3,X_A0_U4_P0_L2_I5_T5,L2,I5,P0,T5,S00,ST1_vibration_3x,6.028582305996679,ok
3,X_A0_U4_P1_L2_I5_T2,L2,I5,P1,T2,S00,ST1_vibration_3x,6.294963940017624,ok
3,X_A0_U4_P1_L2_I5_T3,L2,I5,P1,T3,S00,ST1_vibration_3x,6.377658144978341,ok
3,X_A0_U4_P1_L2_I5_T4,L2,I5,P1,T4,S00,ST1_vibration_3x,6.293707578006433,ok
3,X_A0_U4_P1_L2_I5_T5,L2,I5,P1,T5,S00,ST1_vibration_3x,6.289262071979465,ok
3,X_A0_U4_P2_L2_I5_T2,L2,I5,P2,T2,S00,ST1_vibration_3x,6.2824073290103115,ok
3,X_A0_U4_P2_L2_I5_T3,L2,I5,P2,T3,S00,ST1_vibration_3x,6.3152207100065425,ok
3,X_A0_U4_P2_L2_I5_T4,L2,I5,P2,T4,S00,ST1_vibration_3x,6.248662607977167,ok
3,X_A0_U4_P2_L2_I5_T5,L2,I5,P2,T5,S00,ST1_vibration_3x,6.188118952995865,ok
3,X_A0_U4_P3_L2_I5_T2,L2,I5,P3,T2,S00,ST1_vibration_3x,6.304288751998683,ok
3,X_A0_U4_P3_L2_I5_T3,L2,I5,P3,T3,S00,ST1_vibration_3x,6.375550664990442,ok
3,X_A0_U4_P3_L2_I5_T4,L2,I5,P3,T4,S00,ST1_vibration_3x,6.20129358000122,ok
3,X_A0_U4_P3_L2_I5_T5,L2,I5,P3,T5,S00,ST1_vibration_3x,6.197100521007087,ok
3,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST1_vibration_3x,6.041225830995245,ok
3,X_A0_U4_P4_L2_I5_T3,L2,I5,P4,T3,S00,ST1_vibration_3x,6.306562467972981,ok
3,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST1_vibration_3x,6.192294333974132,ok
3,X_A0_U4_P4_L2_I5_T5,L2,I5,P4,T5,S00,ST1_vibration_3x,6.076538113993593,ok
3,X_A0_U4_P5_L2_I5_T2,L2,I5,P5,T2,S00,ST1_vibration_3x,6.143091614008881,ok
3,X_A0_U4_P5_L2_I5_T3,L2,I5,P5,T3,S00,ST1_vibration_3x,6.355654835992027,ok
3,X_A0_U4_P5_L2_I5_T4,L2,I5,P5,T4,S00,ST1_vibration_3x,6.298085291986354,ok
3,X_A0_U4_P5_L2_I5_T5,L2,I5,P5,T5,S00,ST1_vibration_3x,6.332435122982133,ok
3,L2_S00_ST1_vibration_3x_I5_bundle,L2,I5,,,S00,ST1_vibration_3x,151.2295535170124,bundle_complete
9,X_A0_U4_P0_L2_I5_T2,L2,I5,P0,T2,S00,ST4_harsh_combo,6.314476843981538,ok
9,X_A0_U4_P0_L2_I5_T3,L2,I5,P0,T3,S00,ST4_harsh_combo,6.497768634988461,ok
9,X_A0_U4_P0_L2_I5_T4,L2,I5,P0,T4,S00,ST4_harsh_combo,6.184279242996126,ok
9,X_A0_U4_P0_L2_I5_T5,L2,I5,P0,T5,S00,ST4_harsh_combo,6.029534936998971,ok
9,X_A0_U4_P1_L2_I5_T2,L2,I5,P1,T2,S00,ST4_harsh_combo,6.164767636975739,ok
9,X_A0_U4_P1_L2_I5_T3,L2,I5,P1,T3,S00,ST4_harsh_combo,6.117207739996957,ok
9,X_A0_U4_P1_L2_I5_T4,L2,I5,P1,T4,S00,ST4_harsh_combo,6.390382088982733,ok
9,X_A0_U4_P1_L2_I5_T5,L2,I5,P1,T5,S00,ST4_harsh_combo,6.2657378040021285,ok
9,X_A0_U4_P2_L2_I5_T2,L2,I5,P2,T2,S00,ST4_harsh_combo,6.312419758003671,ok
9,X_A0_U4_P2_L2_I5_T3,L2,I5,P2,T3,S00,ST4_harsh_combo,6.023488017992349,ok
9,X_A0_U4_P2_L2_I5_T4,L2,I5,P2,T4,S00,ST4_harsh_combo,6.202266404987313,ok
9,X_A0_U4_P2_L2_I5_T5,L2,I5,P2,T5,S00,ST4_harsh_combo,6.177359063993208,ok
9,X_A0_U4_P3_L2_I5_T2,L2,I5,P3,T2,S00,ST4_harsh_combo,6.13178210798651,ok
9,X_A0_U4_P3_L2_I5_T3,L2,I5,P3,T3,S00,ST4_harsh_combo,6.271681348996935,ok
9,X_A0_U4_P3_L2_I5_T4,L2,I5,P3,T4,S00,ST4_harsh_combo,6.043960442009848,ok
9,X_A0_U4_P3_L2_I5_T5,L2,I5,P3,T5,S00,ST4_harsh_combo,6.216486526012886,ok
9,X_A0_U4_P4_L2_I5_T2,L2,I5,P4,T2,S00,ST4_harsh_combo,6.308806774992263,ok
9,X_A0_U4_P4_L2_I5_T3,L2,I5,P4,T3,S00,ST4_harsh_combo,6.212405465019401,ok
9,X_A0_U4_P4_L2_I5_T4,L2,I5,P4,T4,S00,ST4_harsh_combo,6.436546306009404,ok
9,X_A0_U4_P4_L2_I5_T5,L2,I5,P4,T5,S00,ST4_harsh_combo,6.186837348010158,ok
9,X_A0_U4_P5_L2_I5_T2,L2,I5,P5,T2,S00,ST4_harsh_combo,6.374144098983379,ok
9,X_A0_U4_P5_L2_I5_T3,L2,I5,P5,T3,S00,ST4_harsh_combo,6.4150928469898645,ok
9,X_A0_U4_P5_L2_I5_T4,L2,I5,P5,T4,S00,ST4_harsh_combo,6.532746877986938,ok
9,X_A0_U4_P5_L2_I5_T5,L2,I5,P5,T5,S00,ST4_harsh_combo,6.478699886996765,ok
9,L2_S00_ST4_harsh_combo_I5_bundle,L2,I5,,,S00,ST4_harsh_combo,151.48809541299124,bundle_complete
2,X_A0_U4_P0_L2_I3_T2,L2,I3,P0,T2,S00,ST1_vibration_3x,6.209699522994924,ok
2,X_A0_U4_P0_L2_I3_T3,L2,I3,P0,T3,S00,ST1_vibration_3x,6.133313664002344,ok
