experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,P,U,stress_id,seed_id,kind,sameP_uwb_p50_mm,sameP_uwb_p95_mm,sameP_delta_p50_mm,sameP_delta_p95_mm,b0_uwb_p50_mm,b0_uwb_p95_mm,b0_delta_p50_mm,b0_delta_p95_mm
X_A0_L2_I5_T11__ST1_vibration_3x__S00,imu_only_stress_diagnostic,L2/I5 IMU-only stress diagnostic ST1_vibration_3x/S00.,34,17,40661,2986.999148771218,12288.88150528789,15547.387652358106,7137.612466530385,40661,2276.0946411532045,9623.487782972172,13066.775905034348,5762.05436069466,40661,1228.2986175715466,7405.338023076034,10097.514362081252,4212.391395249212,3063.0934453515297,13411.351918001686,6316.706041433923,8974.8657725259,6241.254638134955,7537.626116406867,7040.588806639682,1461.2173490124057,5344.0228433507755,458.03169947280884,825.8630299530488,15118.172285473353,10086.255779500489,126.7019595721886,nan,nan,nan,nan,nan,17,15623.807025738846,5529.642228945928,39931.23328993606,A0,L2,I5,T11,,,ST1_vibration_3x,S00,imu_only,nan,nan,nan,nan,105.83784720842489,231.80213799547772,-2957.2555981431046,-13179.54978000621
X_A0_U4_P0_L2_I5_T2,position_prior_screening,Stress ST1_vibration_3x/S00: A0/U4/P0/L2/I5/T2.,34,17,40661,92.32082451574306,163.73361592101728,187.65411989888943,109.53927476367251,40661,57.36686301650429,119.61892856115742,142.35467672840537,76.43681629563135,40661,57.23269146637972,127.81063631453549,149.84349282807182,78.46187501162109,94.63300340833337,168.69607094761213,104.60227823804931,124.67087720806359,131.7769380450614,85.80377243412883,73.45463676295385,39.99590382326369,45.241716991942724,77.76658078912304,130.56458978511697,nan,nan,nan,1.0,0.9555549271180279,4.6171747249181125,nan,nan,17,292.0451431548817,28.427488526944842,634.5917158293462,A0,L2,I5,T2,P0,U4,ST1_vibration_3x,S00,position_fusion,105.83784720842489,231.80213799547772,11.204843800091524,63.106067047865594,105.83784720842489,231.80213799547772,11.204843800091524,63.106067047865594
X_A0_U4_P0_L2_I5_T3,loose_ekf_screening,Stress ST1_vibration_3x/S00: A0/U4/P0/L2/I5/T3.,34,17,40661,92.77169798912792,176.2320807092025,211.88058641919923,118.7290355122719,40661,58.08345523205457,125.7951312521406,151.76167661350976,80.29253530347395,40661,56.959608422920496,137.32190894972996,169.31918449858233,87.4625213918208,93.97568646028986,197.24209128277045,114.2839347915331,135.1516315611603,152.24354464445213,83.07761570080652,71.62807782207904,33.20061765261562,55.317309987808926,86.73723155760777,145.3390036244487,nan,nan,nan,1.0,0.374029463646863,2.293684824144066,nan,nan,17,180.40201431275253,26.03217412677202,496.65945137049664,A0,L2,I5,T3,P0,U4,ST1_vibration_3x,S00,position_fusion,105.83784720842489,231.80213799547772,11.862160748135025,34.560046712707276,105.83784720842489,231.80213799547772,11.862160748135025,34.560046712707276
X_A0_U4_P0_L2_I5_T4,loose_ukf_screening,Stress ST1_vibration_3x/S00: A0/U4/P0/L2/I5/T4.,34,17,40661,91.64981454226012,172.33490748387248,206.03852643875786,115.85589427238209,40661,57.21840620694879,122.96081620993598,148.06652965282004,78.6216360726963,40661,56.86595286306317,133.951250616548,164.74168368214293,85.09539693136097,92.15733097349735,191.64225535693475,112.12025854153146,131.2564235072233,147.45455472240116,81.7907272035437,71.50643830804427,32.8770652900169,54.528078021322614,85.97105375545368,144.38018832462737,nan,nan,nan,1.0,0.49068662514014416,2.9503769269044446,nan,nan,17,202.57107950188032,26.120771725850602,572.3329620404836,A0,L2,I5,T4,P0,U4,ST1_vibration_3x,S00,position_fusion,105.83784720842489,231.80213799547772,13.680516234927538,40.15988263854297,105.83784720842489,231.80213799547772,13.680516234927538,40.15988263854297
X_A0_U4_P0_L2_I5_T5,error_state_ekf_screening,Stress ST1_vibration_3x/S00: A0/U4/P0/L2/I5/T5.,34,17,40661,95.93389494505028,188.69750400034573,229.67517932591286,127.14522413392012,40661,60.88073631538344,133.74149700612276,162.2368233683955,85.20175311059747,40661,58.40682620488815,146.77821173973712,183.94447756252544,94.37462204928602,98.32904265282005,204.5534451476729,120.63544632807981,146.23985204428197,165.32555351362777,83.52402876021392,71.1433303769701,32.02846151484232,57.07435672401343,88.69168306113268,156.36105624687897,nan,nan,nan,1.0,0.2901996221466664,1.7821407794416029,nan,nan,17,130.4232928318346,26.146297361962013,330.82445741457366,A0,L2,I5,T5,P0,U4,ST1_vibration_3x,S00,position_fusion,105.83784720842489,231.80213799547772,7.50880455560484,27.24869284780482,105.83784720842489,231.80213799547772,7.50880455560484,27.24869284780482
X_A0_U4_P1_L2_I5_T2,position_prior_screening,Stress ST1_vibration_3x/S00: A0/U4/P1/L2/I5/T2.,34,17,40661,88.58652631910317,156.73430909960703,179.113132513363,104.6482381740814,40661,55.17012946876733,115.31891583538788,136.95280100619365,73.52027083845967,40661,55.41998994255778,120.83777373108728,141.14488613267133,74.47162901923663,87.33520726340667,155.89585852527972,99.37139610095943,120.89507747948812,120.98523142428814,76.97555462280759,69.8522934750181,39.27261153005759,41.208045282668195,77.19470759014362,125.6007505253985,nan,nan,nan,1.0,0.6175170799665641,2.7307020267646323,nan,nan,17,324.3885647040578,28.71805945417765,686.2853380518682,A0,L2,I5,T2,P1,U4,ST1_vibration_3x,S00,position_fusion,91.59488376343415,179.58127537090328,4.259676500027481,23.685416845623564,105.83784720842489,231.80213799547772,18.502639945018217,75.906279470198
X_A0_U4_P1_L2_I5_T3,loose_ekf_screening,Stress ST1_vibration_3x/S00: A0/U4/P1/L2/I5/T3.,34,17,40661,86.49877245872133,156.17387119578783,183.90814850789312,105.04652982194034,40661,54.10536607312571,114.40794513847153,137.58427641504827,73.34715149184642,40661,53.76934690287135,119.77222297055323,145.0130270977154,75.19952656542415,87.36620639824491,163.01003966393085,99.30602733337031,122.14762523713473,122.57149271251194,80.42326341304286,69.42850840804155,35.151057644748334,50.42129637811669,75.73870855856256,128.26293132010477,nan,nan,nan,1.0,0.16060577362259387,0.784460869968868,nan,nan,17,286.9648408873302,27.432079835366892,808.8412100803203,A0,L2,I5,T3,P1,U4,ST1_vibration_3x,S00,position_fusion,91.59488376343415,179.58127537090328,4.228677365189242,16.57123570697243,105.83784720842489,231.80213799547772,18.471640810179977,68.79209833154687
X_A0_U4_P1_L2_I5_T4,loose_ukf_screening,Stress ST1_vibration_3x/S00: A0/U4/P1/L2/I5/T4.,34,17,40661,86.21216429264378,154.31793636722193,180.98188237799985,103.93146641787303,40661,53.68059672989356,112.93483353065074,135.55760344412732,72.47478350698673,40661,53.924761137348696,118.2792247414626,142.69634602267348,74.49265378132847,87.50693599067245,161.57930677309554,98.53268961292731,118.79477108397148,122.8984805576763,78.78893885728382,70.10845565030164,34.638378049275616,49.888560274529226,75.2014252243556,126.2484243707381,nan,nan,nan,1.0,0.22566872253699777,1.069273042480567,nan,nan,17,300.45087684531205,27.455681284894922,857.9648030170647,A0,L2,I5,T4,P1,U4,ST1_vibration_3x,S00,position_fusion,91.59488376343415,179.58127537090328,4.087947772761709,18.001968597807746,105.83784720842489,231.80213799547772,18.330911217752444,70.22283122238218
X_A0_U4_P1_L2_I5_T5,error_state_ekf_screening,Stress ST1_vibration_3x/S00: A0/U4/P1/L2/I5/T5.,34,17,40661,88.05963670254351,161.4555313828581,190.97547705813676,108.08340318032646,40661,55.45445789057864,118.30243055666612,142.89420542587476,75.76434192891308,40661,53.66925295028227,123.50566348733605,150.29419040849507,77.08298473152001,87.75435612210421,171.053347861389,102.83577558566174,128.9847565145717,124.78434018357248,80.21528203519604,68.08216829170689,35.245196081018776,51.33993450664934,78.26277704469994,132.8278318734471,nan,nan,nan,1.0,0.10239418615165427,0.5401891052347039,nan,nan,17,259.518348307872,24.73055046950492,700.963141634741,A0,L2,I5,T5,P1,U4,ST1_vibration_3x,S00,position_fusion,91.59488376343415,179.58127537090328,3.840527641329942,8.527927509514285,105.83784720842489,231.80213799547772,18.083491086320677,60.74879013408872
X_A0_U4_P2_L2_I5_T2,position_prior_screening,Stress ST1_vibration_3x/S00: A0/U4/P2/L2/I5/T2.,34,17,40661,93.50342411404185,159.07188247116775,181.98088027186017,107.70414566272197,40661,60.04789715446698,120.90670342625657,141.62811270369437,77.50988793668616,40661,55.43340726394683,120.865285034095,142.67045221196156,74.78235263067876,94.20352965194125,161.33404589007887,104.91829229916394,125.0563321803187,121.4168068964998,79.90645155940044,71.9974528469164,39.237950619182584,33.034553399233886,76.38829498564479,125.64294624082065,nan,nan,nan,1.0,0.6374628631502994,2.8063265034311318,nan,nan,17,308.89777137528097,29.866793257103552,656.0338143830048,A0,L2,I5,T2,P2,U4,ST1_vibration_3x,S00,position_fusion,98.56857380939852,191.34655064695073,4.3650441574572625,30.012504756871863,105.83784720842489,231.80213799547772,11.634317556483637,70.46809210539885
