sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-06T20:22:29.556187+00:00,0,0.0,1278.0,32607.0,28.0,6.13
2026-06-06T20:22:39.577850+00:00,0,0.0,1278.0,32607.0,28.0,6.46
2026-06-06T20:22:49.609178+00:00,0,100.0,5587.0,32607.0,34.0,133.97
2026-06-06T20:22:59.625694+00:00,0,0.0,7000.0,32607.0,30.0,56.18
2026-06-06T20:23:09.642177+00:00,0,0.0,7005.0,32607.0,33.0,130.41
2026-06-06T20:23:19.658367+00:00,0,0.0,7005.0,32607.0,31.0,56.0
2026-06-06T20:23:29.675003+00:00,0,0.0,7005.0,32607.0,32.0,84.47
2026-06-06T20:23:39.691208+00:00,0,47.0,7005.0,32607.0,32.0,64.3
2026-06-06T20:23:49.707252+00:00,0,0.0,7005.0,32607.0,32.0,62.53
2026-06-06T20:23:59.723242+00:00,0,47.0,7005.0,32607.0,32.0,63.25
2026-06-06T20:24:09.739636+00:00,0,0.0,7005.0,32607.0,32.0,61.0
2026-06-06T20:24:19.756145+00:00,0,47.0,7005.0,32607.0,32.0,63.28
2026-06-06T20:24:29.772649+00:00,0,0.0,7005.0,32607.0,32.0,56.05
2026-06-06T20:24:39.789081+00:00,0,0.0,7005.0,32607.0,32.0,62.76
2026-06-06T20:24:49.805626+00:00,0,0.0,7005.0,32607.0,32.0,56.15
2026-06-06T20:24:59.821828+00:00,0,0.0,7009.0,32607.0,32.0,56.14
2026-06-06T20:25:09.837787+00:00,0,0.0,7021.0,32607.0,32.0,63.79
2026-06-06T20:25:19.854660+00:00,0,0.0,7025.0,32607.0,32.0,68.68
2026-06-06T20:25:29.871024+00:00,0,0.0,7025.0,32607.0,32.0,56.24
2026-06-06T20:25:39.889240+00:00,0,0.0,7025.0,32607.0,32.0,58.7
2026-06-06T20:25:49.906072+00:00,0,0.0,7025.0,32607.0,32.0,62.4
2026-06-06T20:25:59.922129+00:00,0,0.0,7025.0,32607.0,32.0,68.96
2026-06-06T20:26:09.938231+00:00,0,0.0,7025.0,32607.0,32.0,62.56
2026-06-06T20:26:19.954576+00:00,0,100.0,7025.0,32607.0,34.0,85.18
2026-06-06T20:26:29.971058+00:00,0,0.0,7025.0,32607.0,32.0,56.2
2026-06-06T20:26:39.987600+00:00,0,100.0,7025.0,32607.0,36.0,119.65
2026-06-06T20:26:50.005418+00:00,0,0.0,7025.0,32607.0,33.0,81.1
2026-06-06T20:27:00.022158+00:00,0,0.0,7025.0,32607.0,33.0,80.92
2026-06-06T20:27:10.039198+00:00,0,0.0,7025.0,32607.0,33.0,61.5
2026-06-06T20:27:20.056013+00:00,0,0.0,7025.0,32607.0,33.0,70.37
2026-06-06T20:27:30.073289+00:00,0,0.0,7025.0,32607.0,32.0,56.04
2026-06-06T20:27:40.090125+00:00,0,0.0,7025.0,32607.0,33.0,70.75
2026-06-06T20:27:50.107134+00:00,0,0.0,7025.0,32607.0,33.0,66.42
2026-06-06T20:28:00.124024+00:00,0,0.0,7025.0,32607.0,32.0,57.09
2026-06-06T20:28:10.141141+00:00,0,0.0,7025.0,32607.0,33.0,70.69
