mount,action,stroke_index,t4_start_s,t4_end_s,imu_start_s,imu_end_s,start_delta_ms,end_delta_ms,overlap_fraction,same_chronological_interval,t4_direction_preserved,decision
A,vertical_original,1,2408.854416,2409.934466,2408.856105,2409.931105,1.6889999997147243,-3.3610000000408036,0.995324290542331,True,True,PASS
A,vertical_original,2,2409.934466,2410.894432,2409.936105,2410.891105,1.6390000000683358,-3.3269999998992716,0.9948269001194124,True,True,PASS
A,vertical_original,3,2410.894432,2411.974471,2410.896105,2411.971105,1.6729999997551204,-3.365999999914493,0.9953344277385633,True,True,PASS
A,vertical_original,4,2411.974471,2412.934961,2411.976105,2412.931105,1.6340000001946464,-3.8559999998142303,0.9942841674561846,True,True,PASS
A,vertical_original,5,2412.934961,2413.894492,2412.936105,2413.891105,1.1440000002949091,-3.386999999747786,0.9952779013913643,True,True,PASS
A,vertical_original,6,2413.894492,2414.97455,2413.896105,2414.971105,1.6129999999066058,-3.444999999828724,0.995316918165751,True,True,PASS
A,vertical_original,7,2414.97455,2415.934496,2414.976105,2415.931105,1.5550000002804154,-3.390999999737687,0.9948476268456576,True,True,PASS
A,vertical_original,8,2415.934496,2416.894821,2415.936105,2416.891105,1.6090000003714522,-3.715999999712949,0.9944550022127048,True,True,PASS
A,vertical_original,9,2416.894821,2417.974827,2416.896105,2417.971105,1.283999999941443,-3.721999999925174,0.9953648405658246,True,True,PASS
A,vertical_original,10,2417.974827,2418.934535,2417.976105,2418.931105,1.2780000001839653,-3.4299999997529085,0.995094341195512,True,True,PASS
A,vertical_original,11,2418.934535,2420.97455,2418.936105,2420.971105,1.5700000003562309,-3.444999999828724,0.9975416847424236,True,True,PASS
A,vertical_retry,1,2487.695258,2489.135257,2487.696105,2489.131105,0.8469999997942068,-4.151999999976397,0.996528469811596,True,True,PASS
A,vertical_retry,2,2489.135257,2490.935586,2489.136105,2490.931105,0.8480000001327426,-4.4809999999415595,0.9970399854692815,True,True,PASS
A,vertical_retry,3,2490.935586,2492.255314,2490.936105,2492.251105,0.5190000001675799,-4.209000000173546,0.996417443594179,True,True,PASS
A,vertical_retry,4,2492.255314,2493.815515,2492.256105,2493.811105,0.7909999999355932,-4.409999999552383,0.9966664551557852,True,True,PASS
A,vertical_retry,5,2493.815515,2495.015349,2493.816105,2495.011105,0.5900000001020089,-4.243999999744119,0.9959711093369199,True,True,PASS
A,vertical_retry,6,2495.015349,2496.095352,2495.016105,2496.091105,0.7560000003650202,-4.246999999850232,0.995367605460156,True,True,PASS
A,vertical_retry,7,2496.095352,2497.535377,2496.096105,2497.531105,0.7530000002589077,-4.272000000128173,0.9965104772483909,True,True,PASS
A,vertical_retry,8,2497.535377,2499.45541,2497.536105,2499.451105,0.7279999999809661,-4.304999999931169,0.9973786908871293,True,True,PASS
A,horizontal_1,1,2552.255959,2554.296033,2552.256214,2554.291214,0.2549999999246211,-4.81900000022506,0.9975128353186454,True,True,PASS
A,horizontal_1,2,2554.296033,2557.176034,2554.296214,2557.171214,0.18099999988407944,-4.820000000108848,0.9982635422696058,True,True,PASS
A,horizontal_1,3,2557.176034,2558.736012,2557.176214,2558.731214,0.18000000000029104,-4.797999999937019,0.9968089293567358,True,True,PASS
A,horizontal_1,4,2558.736012,2561.376089,2558.736214,2561.371214,0.20200000017212005,-4.8750000000836735,0.9980769500282546,True,True,PASS
A,horizontal_1,5,2561.376089,2564.016139,2561.376214,2564.011214,0.12500000002546585,-4.924999999730062,0.9980871574402925,True,True,PASS
A,horizontal_1,6,2564.016139,2565.936407,2564.016214,2565.936214,0.07500000037907739,-0.1930000003085297,0.9998604361470964,True,True,PASS
A,horizontal_1,7,2565.936407,2568.936185,2565.941214,2568.931214,4.80699999980061,-4.970999999841297,0.9967404254582698,True,True,PASS
A,horizontal_1,8,2568.936185,2570.136199,2568.936214,2570.131214,0.0289999998130952,-4.985000000033324,0.9958217154134482,True,True,PASS
A,horizontal_1,9,2570.136199,2572.416489,2570.136214,2572.416214,0.015000000075815478,-0.2750000003288733,0.9998728231933637,True,True,PASS
A,horizontal_1,10,2572.416489,2574.456254,2572.421214,2574.456214,4.724999999780266,-0.04000000035375706,0.9976639465820161,True,True,PASS
A,horizontal_2,1,2609.736572,2611.77662,2609.741214,2611.776214,4.6420000003308814,-0.4060000001118169,0.9975255484182519,True,True,PASS
A,horizontal_2,2,2611.77662,2613.936633,2611.781214,2613.936214,4.5939999999973224,-0.41899999996530823,0.997679180634578,True,True,PASS
A,horizontal_2,3,2613.936633,2615.976655,2613.941214,2615.976214,4.581000000143831,-0.44100000013713725,0.9975382618421367,True,True,PASS
A,horizontal_2,4,2615.976655,2618.256671,2615.981214,2618.256214,4.558999999972002,-0.45700000009674113,0.9978000154384582,True,True,PASS
A,horizontal_2,5,2618.256671,2619.937018,2618.261214,2619.936214,4.543000000012398,-0.8040000002438319,0.9968179191558313,True,True,PASS
A,horizontal_2,6,2619.937018,2621.976732,2619.941214,2621.976214,4.1959999998653075,-0.5180000002837915,0.9976888916778779,True,True,PASS
B,vertical_original,1,2834.979062,2836.419062,2834.981214,2836.416214,2.1520000000236905,-2.848000000085449,0.9965277777777021,True,True,PASS
B,vertical_original,2,2836.419062,2837.859061,2836.421214,2837.856214,2.1520000000236905,-2.8470000002016604,0.9965284698112813,True,True,PASS
B,vertical_original,3,2837.859061,2839.179412,2837.861214,2839.176214,2.152999999907479,-3.197999999883905,0.9959472897738616,True,True,PASS
B,vertical_original,4,2839.179412,2840.259414,2839.181214,2840.256214,1.8020000002252345,-3.200000000106229,0.9953685270950139,True,True,PASS
B,vertical_original,5,2840.259414,2841.69913,2840.261214,2841.696214,1.8000000000029104,-2.9159999999137654,0.9967243539698682,True,True,PASS
B,vertical_original,6,2841.69913,2842.779133,2841.701214,2842.776214,2.084000000195374,-2.919000000019878,0.995367605460156,True,True,PASS
B,vertical_original,7,2842.779133,2843.85945,2842.781214,2843.856214,2.0810000000892614,-3.2360000000153377,0.9950782964628855,True,True,PASS
B,vertical_original,8,2843.85945,2844.93917,2843.861214,2844.936214,1.7640000000938016,-2.9560000002675224,0.9956284962764785,True,True,PASS
B,vertical_original,9,2844.93917,2845.89915,2844.941214,2845.896214,2.043999999841617,-2.9360000003180176,0.994812391924666,True,True,PASS
B,vertical_original,10,2845.89915,2846.979403,2845.901214,2846.976214,2.063999999791122,-3.1890000000203145,0.9951372502554372,True,True,PASS
B,vertical_retry,1,2944.060242,2944.780261,2944.061214,2944.776214,0.9719999998196727,-4.046999999900436,0.9930293506147462,True,True,PASS
B,vertical_retry,2,2944.780261,2946.220481,2944.781214,2946.216214,0.9530000002087036,-4.2669999997997365,0.9963755537348401,True,True,PASS
B,vertical_retry,3,2946.220481,2947.300512,2946.221214,2947.296214,0.7330000003094028,-4.297999999835156,0.9953418003741145,True,True,PASS
B,vertical_retry,4,2947.300512,2948.740471,2947.301214,2948.736214,0.7020000002739835,-4.257000000052358,0.996556151945767,True,True,PASS
B,vertical_retry,5,2948.740471,2949.82032,2948.741214,2949.816214,0.7430000000567816,-4.105999999865162,0.9955095573548495,True,True,PASS
B,vertical_retry,6,2949.82032,2950.780311,2949.821214,2950.776214,0.8940000002439774,-4.097000000001572,0.9948009929257206,True,True,PASS
B,vertical_retry,7,2950.780311,2951.740296,2950.781214,2951.736214,0.9030000001075678,-4.081999999925756,0.9948072105292962,True,True,PASS
B,vertical_retry,8,2951.740296,2952.700552,2951.741214,2952.696214,0.9180000001833832,-4.337999999734166,0.9945264596108554,True,True,PASS
B,horizontal_1,1,2985.820711,2986.780695,2985.821214,2986.776214,0.503000000207976,-4.4809999999415595,0.9948082468039581,True,True,PASS
B,horizontal_1,2,2986.780695,2988.460728,2986.781214,2988.456214,0.5190000001675799,-4.514000000199303,0.9970042255120187,True,True,PASS
B,horizontal_1,3,2988.460728,2989.420956,2988.461214,2989.416214,0.48599999990983633,-4.742000000078406,0.994555459744989,True,True,PASS
B,horizontal_1,4,2989.420956,2991.340743,2989.421214,2991.336214,0.25800000003073364,-4.5290000002751185,0.9975064942098758,True,True,PASS
B,horizontal_1,5,2991.340743,2992.180775,2991.341214,2992.176214,0.47099999983402085,-4.560999999739579,0.9940097520099521,True,True,PASS
B,horizontal_1,6,2992.180775,2994.340786,2992.181214,2994.336214,0.43900000036956044,-4.572000000280241,0.9976801044065753,True,True,PASS
B,horizontal_2,1,3039.821351,3040.541278,3039.826214,3040.541214,4.863000000113971,-0.06400000029316288,0.9931562505637287,True,True,PASS
B,horizontal_2,2,3040.541278,3041.381523,3040.546214,3041.381214,4.9359999998159765,-0.30900000001565786,0.9937577730306846,True,True,PASS
B,horizontal_2,3,3041.381523,3042.221621,3041.386214,3042.221214,4.6910000000934815,-0.4069999999956053,0.993931660353806,True,True,PASS
B,horizontal_2,4,3042.221621,3043.181354,3042.226214,3043.181214,4.592999999658787,-0.13999999964653398,0.9950684200717211,True,True,PASS
