mount,action,check,stroke_pair,value,limit,units,result
A,horizontal_1,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,39.59981581960241,75.0,deg_p95,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,1-2,0.0,0.38731331139825326,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,1-2,-0.9970906266249691,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,2-3,0.0,0.3473611012171534,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,2-3,-0.9904324556242883,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,3-4,0.0,0.32921461471988867,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,3-4,-0.9407989550979347,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,5,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,4-5,0.0,0.571107049090631,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,4-5,-0.8267377114370106,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,6,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,5-6,0.0,0.5660896588675983,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,5-6,-0.7712921837978285,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,7,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,6-7,0.0,0.34130284007408346,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,6-7,-0.7872764749887152,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,8,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,7-8,0.0,1.0577333907198747,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,7-8,-0.9941359402419265,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,9,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,8-9,0.0,0.4872867646374367,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,8-9,-0.8030153201931693,0.0,normalized_dot_lt,PASS
A,horizontal_1,CHRONOLOGICAL_SIGN_PRESERVATION,10,0.0,0.0,m,PASS
A,horizontal_1,ENDPOINT_CONTINUITY,9-10,0.0,0.9655890871927685,m,PASS
A,horizontal_1,ALTERNATING_DISPLACEMENT,9-10,-0.9540787457137196,0.0,normalized_dot_lt,PASS
A,horizontal_1,PAIRED_CLOSURE,1-2,0.19286089835860537,0.35,closure_over_mean_stroke,PASS
A,horizontal_1,PAIRED_CLOSURE,3-4,0.35115218655054936,0.35,closure_over_mean_stroke,FAIL
A,horizontal_1,PAIRED_CLOSURE,5-6,0.709733892182624,0.35,closure_over_mean_stroke,FAIL
A,horizontal_1,PAIRED_CLOSURE,7-8,0.10864903169387559,0.35,closure_over_mean_stroke,PASS
A,horizontal_1,PAIRED_CLOSURE,9-10,0.3238514086632897,0.35,closure_over_mean_stroke,PASS
A,horizontal_2,ACTION_BLOCK_AXIS_CONSISTENCY,ALL,15.49241715806495,75.0,deg_p95,PASS
A,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,1,0.0,0.0,m,PASS
A,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,2,0.0,0.0,m,PASS
A,horizontal_2,ENDPOINT_CONTINUITY,1-2,0.0,1.951180188712431,m,PASS
A,horizontal_2,ALTERNATING_DISPLACEMENT,1-2,-0.9982480436346335,0.0,normalized_dot_lt,PASS
A,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,3,0.0,0.0,m,PASS
A,horizontal_2,ENDPOINT_CONTINUITY,2-3,0.0,1.1289091672467058,m,PASS
A,horizontal_2,ALTERNATING_DISPLACEMENT,2-3,-0.9181382540721311,0.0,normalized_dot_lt,PASS
A,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,4,0.0,0.0,m,PASS
A,horizontal_2,ENDPOINT_CONTINUITY,3-4,0.0,1.2773172869729794,m,PASS
A,horizontal_2,ALTERNATING_DISPLACEMENT,3-4,-0.9960567956316044,0.0,normalized_dot_lt,PASS
A,horizontal_2,CHRONOLOGICAL_SIGN_PRESERVATION,5,0.0,0.0,m,PASS
