mount,action,stroke_index,start_hardware_s,end_hardware_s,imu_start_seq,imu_end_seq,imu_sample_count,t4_start_sweep,t4_end_sweep,start_plateau_center_m,start_uncertainty_m,end_plateau_center_m,end_uncertainty_m,delta_p_V4_m,magnitude_m,signed_unit_direction_V4,vertical_component_m,horizontal_component_m,t4_start_speed_mps,t4_end_speed_mps,imu_start_quiet_fraction,imu_end_quiet_fraction,gyro_attitude_change_deg,quaternion_start_wxyz,quaternion_end_wxyz,raw_sensor_preintegration_m,gravity_compensated_preintegration_N_m,raw_end_delta_v_N_mps,time_offset_s,decision,imu_raw_provenance,t4_raw_provenance
A,vertical_original,1,2408.854416,2409.934466,22601,22816,216,20067,20078,"[2.9205802292810508,1.1785907498754638,1.311627606592494]",0.20677626722369835,"[2.809269563590946,1.279034825690781,0.5318796374386863]",0.075,"[-0.11131066569010484,0.10044407581531734,-0.7797479691538078]",0.7940314679294865,"[-0.1401841994755675,0.12649886040062736,-0.9820114197578035]",-0.7899110590087804,0.08078670012992313,0.07404787962686837,0.173156149975739,0.0,0.1188118811881188,13.053858293060342,"[0.7810098522506833,0.02084935559185198,0.6241600657897738,0.003623166029301185]","[0.7070760425645409,-0.003403845237048079,0.7071280221668199,-0.001357989437161343]","[0.43884381663246036,0.07750539541800901,0.19730083171596255]","[0.02856948087430333,0.006081846177120836,-0.4096820922717268]","[0.053731780903772404,-0.13623790831816635,0.17428773349403864]",0.0,ACCEPT,"{""end_line_sha256"":""88110a5596abb7b2264ab81dddf963a28ea36c8ccb061c53dd084dd95de09d33"",""end_record"":6483,""end_sample"":3,""start_line_sha256"":""d40499fa02ff236b5cf9c421ab42878b7f4cf98b70685363fa477dbb9276a6ca"",""start_record"":6436,""start_sample"":8}","{""end_line_sha256"":""22b365d0a8701e91738fd34a925c665e4c383805c90bbdd3aedeed48f251a4dd"",""end_record"":6486,""start_line_sha256"":""747061512caf8a2207279f9acd6b4ea7e6a3d176112522431e27d06a67a0d735"",""start_record"":6433}"
A,vertical_original,2,2409.934466,2410.894432,22817,23008,192,20076,20086,"[2.809269563590946,1.279034825690781,0.5318796374386863]",0.075,"[2.913113115043203,1.1809602626200446,1.4313491281865982]",0.13474183752460667,"[0.1038435514522571,-0.09807456307073648,0.8994694907479119]",0.9107400660375283,"[0.11402106410456096,-0.10768666793967004,0.9876248166629445]",0.908009970777816,0.070465316675023,0.173156149975739,0.1682403346173286,0.1188118811881188,0.0,8.473926573678467,"[0.7071987387504969,-0.0033352414470326497,0.7070057111522418,-0.0013207847324553808]","[0.7549501460934253,0.010797937809880191,0.6554763452690714,0.016865415656637198]","[-0.4801645051144267,-0.0244011047698733,-0.09943843740649703]","[0.006123577694725586,-0.0009247452450222615,0.47668337937310284]","[0.026897032089734232,-0.1004890920890243,0.03069743281625332]",0.0,ACCEPT,"{""end_line_sha256"":""1362acea2c74ddebfa3266997feac44f73cf8c2502c3a1ff93d92f4ec24efa40"",""end_record"":6523,""end_sample"":5,""start_line_sha256"":""88110a5596abb7b2264ab81dddf963a28ea36c8ccb061c53dd084dd95de09d33"",""start_record"":6483,""start_sample"":4}","{""end_line_sha256"":""2096a53322b0429251e7bc81e2fbabf6c7243e3a254f9812332c0cf53516232c"",""end_record"":6526,""start_line_sha256"":""850b28cd06a081e2bbf34c08fed0bb95c6a58e7a825a9f818d589afa9eabf1ea"",""start_record"":6479}"
A,vertical_original,3,2410.894432,2411.974471,23009,23224,216,20084,20095,"[2.913113115043203,1.1809602626200446,1.4313491281865982]",0.13474183752460667,"[2.820283907310156,1.231056958166326,0.5984189530528126]",0.1402349672274992,"[-0.09282920773304681,0.05009669554628138,-0.8329301751337856]",0.8395830020679318,"[-0.11056584936141416,0.05966854429269161,-0.9920760342720614]",-0.8356019326859842,0.08166411361699104,0.1682403346173286,0.2582582553073943,0.0,0.09900990099009901,9.123657288581981,"[0.7552264215833697,0.011370596671449512,0.6551293603064193,0.01758644188616549]","[0.7018734127795113,0.022904876101437818,0.7119074125856961,0.006075770696710844]","[0.4519683512929964,0.04126047431032056,0.0871997573599428]","[-0.0006975893204196335,0.009710695599006787,-0.44000421979699467]","[0.06215051105156296,-0.11331903188159392,0.05656831761805503]",0.0,ACCEPT,"{""end_line_sha256"":""f29d24ed9359a197c8ee4365a7ba4dd9fdcd126fa448673a2add71a8ccd56a14"",""end_record"":6567,""end_sample"":1,""start_line_sha256"":""1362acea2c74ddebfa3266997feac44f73cf8c2502c3a1ff93d92f4ec24efa40"",""start_record"":6523,""start_sample"":6}","{""end_line_sha256"":""32230236deb5323c729720f274a8edaedf3adaf3e7e94190b353dcc7468628ff"",""end_record"":6569,""start_line_sha256"":""ea27d2bed339ad5141250d5d8b8ff312606b17034d082adc941643dc6096cb00"",""start_record"":6519}"
A,vertical_original,4,2411.974471,2412.934961,23225,23416,192,20093,20103,"[2.820283907310156,1.231056958166326,0.5984189530528126]",0.1402349672274992,"[2.923697146451317,1.2065613591551032,1.4868920414097082]",0.09465686849823782,"[0.10341323914116085,-0.02449559901122278,0.8884730883568956]",0.8948065495597501,"[0.1155704986648128,-0.027375301424955766,0.9929219771514071]",0.8878630984505435,0.11125591914512317,0.2582582553073943,0.11495851681607544,0.09900990099009901,0.0,9.329417562081792,"[0.7016237249432989,0.022937278738505405,0.7121528749599588,0.006025987639177953]","[0.7554241571543797,0.0015441559493120328,0.6552342084318344,0.0003007834879943647]","[-0.5017201012112392,0.02749818418246922,-0.11582375501787184]","[-0.005394953419287619,-0.006945615368939509,0.4914941244309085]","[0.007346950827738483,-0.09993890635968923,-0.006561894753899538]",0.0,ACCEPT,"{""end_line_sha256"":""3d0a3c4ae84c026e80be1503e0754bce448e7cd34353bce0c73ff188ae20b561"",""end_record"":6607,""end_sample"":3,""start_line_sha256"":""f29d24ed9359a197c8ee4365a7ba4dd9fdcd126fa448673a2add71a8ccd56a14"",""start_record"":6567,""start_sample"":2}","{""end_line_sha256"":""27ee64291b4a64d841028613ff44fa8e0451f75b4b45008db869ae59fef11606"",""end_record"":6610,""start_line_sha256"":""f23683bd98e5b501598061b349bb1edb1bfbbb425a774c576d51105140b9a54a"",""start_record"":6563}"
A,vertical_original,5,2412.934961,2413.894492,23417,23608,192,20101,20111,"[2.923697146451317,1.2065613591551032,1.4868920414097082]",0.09465686849823782,"[2.891088833098435,1.229219098496907,0.7819668855087425]",0.075,"[-0.03260831335288206,0.022657739341803707,-0.7049251559009657]",0.7060425983421975,"[-0.046184626011868186,0.032091178910457444,-0.9984173158335551]",-0.7029298704553545,0.0662249793916184,0.11495851681607544,0.09822184361544366,0.0,0.0,11.442572243839496,"[0.7550766518040626,0.001757527391932179,0.6556340645013978,0.00036669225522460936]","[0.6864629922068874,0.01267639659040283,0.7270240229896949,0.006628672244819922]","[0.4340976709712705,-0.008240243563717447,-0.017153916199203405]","[-0.025543118477244397,0.004011675218406421,-0.4379974979228039]","[0.029472574653909005,-0.14239385344165553,0.05345746259165609]",0.0,ACCEPT,"{""end_line_sha256"":""b8d8edc91368420ecd4fb67403e0c5b7ca300c30e5062a2d2db7fbe4eca62943"",""end_record"":6647,""end_sample"":5,""start_line_sha256"":""3d0a3c4ae84c026e80be1503e0754bce448e7cd34353bce0c73ff188ae20b561"",""start_record"":6607,""start_sample"":4}","{""end_line_sha256"":""32376ba6b939f2d8ad1613c74032b59b37486a81e040de0c5ff97cf1d3a5fc6b"",""end_record"":6650,""start_line_sha256"":""7566089a831c57fa6de5ecb105dc6ff0b6d98b6bf4296cb83201e098e53f86a7"",""start_record"":6603}"
A,vertical_original,6,2413.894492,2414.974550,23609,23824,216,20109,20120,"[2.891088833098435,1.229219098496907,0.7819668855087425]",0.075,"[2.9475695424670136,1.1005577563957003,1.4259383989799217]",0.11836208598270007,"[0.05648070936857863,-0.1286613421012066,0.6439715134711792]",0.6591229943223212,"[0.0856906978744527,-0.19520080957498692,0.9770126653421944]",0.6567246063916368,0.05617751333204839,0.09822184361544366,0.09595285560964203,0.0,0.0,12.091528938466487,"[0.6855745923002167,0.01242425917260718,0.7278672786203463,0.00650698779887939]","[0.7556476367971562,0.039270871381649995,0.6537857248900988,0.004321295376058626]","[-0.5013822793570195,-0.036652533940115604,-0.20201327898771315]","[-0.023502305413038053,-0.0010146999413754097,0.48971237023924147]","[-0.07687143916598674,-0.15640675498347775,0.021697557508707103]",0.0,ACCEPT,"{""end_line_sha256"":""723d035a2a33489e1004008e892659eb836b86732a7969145fbb0713bb3b4000"",""end_record"":6691,""end_sample"":1,""start_line_sha256"":""b8d8edc91368420ecd4fb67403e0c5b7ca300c30e5062a2d2db7fbe4eca62943"",""start_record"":6647,""start_sample"":6}","{""end_line_sha256"":""3cfc4e1935f6f54a2ec686ad542f4d331f01b532a5ca8691024a7a820570deae"",""end_record"":6693,""start_line_sha256"":""eb8e6af1190773bebf593abd72820d82a3f3609df542db2aa5646ba423df3160"",""start_record"":6643}"
A,vertical_original,7,2414.974550,2415.934496,23825,24016,192,20118,20128,"[2.9475695424670136,1.1005577563957003,1.4259383989799217]",0.11836208598270007,"[2.879958151208048,1.1955652905777132,0.793806772415538]",0.250614796424361,"[-0.06761139125896554,0.09500753418201291,-0.6321316265643837]",0.6427971103561781,"[-0.10518309769859048,0.14780330006363687,-0.9834076979812734]",-0.6411972522164624,0.04532338063638953,0.09595285560964203,0.13687661418645466,0.0,0.009900990099009901,5.084106139570483,"[0.7556201371752269,0.039054049796407,0.6538314370302888,0.004176295092368496]","[0.7345899677493072,0.00932992642491515,0.6783653640590613,0.010533973608973384]","[0.4189623061915047,0.016938138775023454,0.04323401473849777]","[-0.002145640413414871,0.005888266359454234,-0.41352170797201626]","[-0.015877717408753607,-0.17625763966559707,0.023021239163521695]",0.0,ACCEPT,"{""end_line_sha256"":""35d3cba320437d09bfb88dae57764623ed2ddc20333c7d8f4a3d9e41f42d36c0"",""end_record"":6731,""end_sample"":3,""start_line_sha256"":""723d035a2a33489e1004008e892659eb836b86732a7969145fbb0713bb3b4000"",""start_record"":6691,""start_sample"":2}","{""end_line_sha256"":""f189596a8bf681d9adc79694cd8f1f6ca2e79d34e6b6e5bba533ff1b2fb7f543"",""end_record"":6734,""start_line_sha256"":""377607c37be8e5082f8afde4b01aed1f5738eb63e93d348c9f1878255265aa4b"",""start_record"":6687}"
A,vertical_original,8,2415.934496,2416.894821,24017,24208,192,20126,20136,"[2.879958151208048,1.1955652905777132,0.793806772415538]",0.250614796424361,"[2.9221693117183207,1.1657056490101507,1.4889775322977319]",0.10444136915962114,"[0.04221116051027263,-0.02985964156756249,0.6951707598821939]",0.6970909306979644,"[0.06055330610600339,-0.04283464359185599,0.9972454514451251]",0.694535271159499,0.05963658924482121,0.13687661418645466,0.038139845451698566,0.009900990099009901,0.0,3.715038065614733,"[0.7334586297471515,0.01096296622855814,0.6795564127955256,0.011015155440555147]","[0.7496329701812569,0.03187758298925459,0.661036957323643,0.008023139802494028]","[-0.5009070901825333,0.008636962778921,-0.03047728930852259]","[-0.010228140844593048,-0.007218060421991967,0.4970461542860786]","[-0.057546320192614894,-0.15469021695581606,0.08508036282880486]",0.0,ACCEPT,"{""end_line_sha256"":""5f325c21398d4a08794a6447074f7dea48a20a56d5b7229d7dad0c5d4d1ddbfb"",""end_record"":6771,""end_sample"":5,""start_line_sha256"":""35d3cba320437d09bfb88dae57764623ed2ddc20333c7d8f4a3d9e41f42d36c0"",""start_record"":6731,""start_sample"":4}","{""end_line_sha256"":""d9b9f2631eac899d88dfc68d504788da711ef572fbff9c3b62d098302f811fb6"",""end_record"":6774,""start_line_sha256"":""11686cbf3863d12e5761cb8dd82c4c3602b1c034524edbd9b40c3242cb0058f6"",""start_record"":6727}"
A,vertical_original,9,2416.894821,2417.974827,24209,24424,216,20134,20145,"[2.9221693117183207,1.1657056490101507,1.4889775322977319]",0.10444136915962114,"[2.849045539105251,1.181757934060682,0.7734446231376018]",0.08507190103402204,"[-0.07312377261306979,0.016052285050531356,-0.7155329091601301]",0.7194387437910683,"[-0.1016400259843465,0.02231223323606977,-0.9945709976497006]",-0.7141870215621005,0.08676983519591622,0.038139845451698566,0.16125136314843777,0.0,0.009900990099009901,10.954137743349344,"[0.749764391335756,0.03152143923797591,0.6609095920235211,0.007633316749159649]","[0.6834501123488576,0.03153235041654614,0.729315826965753,0.0002816820941380458]","[0.44956343558029965,-0.03088520141618245,0.06386299493842325]","[0.004012912834971629,-0.013406608802747062,-0.4453059989644147]","[0.011282844963214828,-0.17951791055448166,0.04510716394408578]",0.0,ACCEPT,"{""end_line_sha256"":""545fb1d63e40e5d53f30b0dece2c14ea277083f93aae709bc427fc7ec18da618"",""end_record"":6815,""end_sample"":1,""start_line_sha256"":""5f325c21398d4a08794a6447074f7dea48a20a56d5b7229d7dad0c5d4d1ddbfb"",""start_record"":6771,""start_sample"":6}","{""end_line_sha256"":""f0b2afa2f2a6489601fc91c98ce0e40e8869d8a5c1b507ace4a714e01d8e4727"",""end_record"":6817,""start_line_sha256"":""4f5bd8d3bed25282420f9eeb0dcdeabc911970ffaff6b7e59476c319d84821e7"",""start_record"":6767}"
A,vertical_original,10,2417.974827,2418.934535,24425,24616,192,20143,20153,"[2.849045539105251,1.181757934060682,0.7734446231376018]",0.08507190103402204,"[2.9228670951345124,1.0976089643966038,1.392894658244677]",0.15140330114892936,"[0.07382155602926144,-0.08414896966407825,0.6194500351070753]",0.6294831349800122,"[0.11727328649020195,-0.1336794665146195,0.9840613682632571]",0.6275040320575355,0.04987691826686653,0.16125136314843777,0.16730134075054778,0.009900990099009901,0.0,11.09173965210967,"[0.6827709333602853,0.031195060719444806,0.7299661919621726,0.0002816687413843426]","[0.7501742447872535,0.0265537286768911,0.6607068193345106,-2.8915431943962433e-05]","[-0.5272385798959378,0.052356880744705694,-0.15061156499497091]","[-0.018677259644359654,-0.0015649915578507456,0.5198104282996341]","[-0.005756702157405621,-0.15195548230503136,-0.03739484700692292]",0.0,ACCEPT,"{""end_line_sha256"":""99dc37478d3959ace36f9369a45dac9614ac92dcb8e6abceb92e70f1b13e937c"",""end_record"":6855,""end_sample"":3,""start_line_sha256"":""545fb1d63e40e5d53f30b0dece2c14ea277083f93aae709bc427fc7ec18da618"",""start_record"":6815,""start_sample"":2}","{""end_line_sha256"":""038e8d3cb66091a19ae6c97126a68594bfeacfb8126ecadd8f4269fcc681095c"",""end_record"":6858,""start_line_sha256"":""1047282c391d1f03cafac589c7a6ef43c3cebeb2a648a856efdd38b0ada14b71"",""start_record"":6811}"
