mount,action,stroke_index,stage_index,stage,before_vector,after_vector,chronological_sign_preserved,notes
A,horizontal_2,1,1,RAW_T4_ENDPOINTS,"[3.5550290064743497,1.1051008288338724,0.8356448236471007]","[2.817310339183285,1.146731423625564,1.0476894804377863]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,2,SIGNED_T4_DISPLACEMENT,"[0.0,0.0,0.0]","[-0.7377186672910647,0.04163059479169151,0.21204465679068563]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,3,RAW_ACCEL_MEDIAN_S,"[0.0,0.0,0.0]","[-9.854534033203125,0.19871873779296872,0.05746083984375]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,4,GYRO_BIAS_CORRECTED_MEDIAN_DPS,"[0.0,0.0,0.0]","[-0.57647705078125,0.48431396484375,0.06103515625]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,5,SPECIFIC_FORCE_S_MEDIAN,"[0.0,0.0,0.0]","[-9.854534033203125,0.19871873779296872,0.05746083984375]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,6,GRAVITY_N,"[0.0,0.0,0.0]","[0.0,0.0,-9.80665]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,7,Q_START_VECTOR_PART,"[0.0,0.0,0.0]","[0.046222712318095854,0.6935096712142214,0.01506676635733208]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,8,Q_END_VECTOR_PART,"[0.0,0.0,0.0]","[0.03885052428956484,0.6999039541193456,0.025908229206869745]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,9,ROTATED_SPECIFIC_FORCE_N_MEDIAN,"[0.0,0.0,0.0]","[-0.2160725332409973,-0.6638630495135416,9.8272509284859]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
A,horizontal_2,1,10,IMU_RAW_DELTA_V_N,"[0.0,0.0,0.0]","[-0.2717779111489387,-1.3477695090259023,0.05122266372434592]",True,column vectors; no abs/dominant-axis/cluster sign canonicalization
