host_time_iso,target,port_label,stream,seq,receiver_anchor_id,receiver_anchor,source_kind,source_id,source_anchor,source_addr,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-23T23:10:50.205+02:00,BSF66F,E,anchor,2,4,E,T,1,B,0xb101,-1,1729601255,-9668,47875,13044,2326,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_E_frame_00000012_seq_00000002_rxE_srcB.bin
2026-06-23T23:10:50.238+02:00,BSF66F,A,anchor,2,0,A,T,1,B,0xb101,-1,3924840595,-7421,47783,20371,2299,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_A_frame_00000014_seq_00000002_rxA_srcB.bin
2026-06-23T23:10:50.240+02:00,BSF66F,D,anchor,2,3,D,T,1,B,0xb101,-1,4092177612,-8181,47840,18829,1959,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_D_frame_00000013_seq_00000002_rxD_srcB.bin
2026-06-23T23:10:50.258+02:00,BSF66F,B,anchor,2,1,B,T,1,B,0xb101,-1,3914784947,-5100,47799,15155,2035,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_B_frame_00000015_seq_00000002_rxB_srcB.bin
2026-06-23T23:10:50.266+02:00,BSF66F,TAG,tag,1629,7,H,T,-1,BSF66F,,2037,2075950772,6303,47768,20934,1938,56,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/tag_TAG_frame_00000016_seq_00001629_rxH_srcBSF66F.bin
2026-06-23T23:10:50.326+02:00,BSF66F,F,anchor,2,5,F,T,1,B,0xb101,-1,2086598067,-1135,48039,19161,2086,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_F_frame_00000017_seq_00000002_rxF_srcB.bin
2026-06-23T23:10:51.290+02:00,BSF66F,G,anchor,3,6,G,T,1,B,0xb101,-1,3523250691,-11881,47655,19854,1997,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_G_frame_00000018_seq_00000003_rxG_srcB.bin
2026-06-23T23:10:51.298+02:00,BSF66F,H,anchor,3,7,H,T,1,B,0xb101,-1,2024573,-8972,47777,20034,1902,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_H_frame_00000019_seq_00000003_rxH_srcB.bin
2026-06-23T23:10:51.333+02:00,BSF66F,D,anchor,3,3,D,T,1,B,0xb101,-1,1359595354,-8251,47974,18212,1871,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_D_frame_00000020_seq_00000003_rxD_srcB.bin
2026-06-23T23:10:51.369+02:00,BSF66F,E,anchor,3,4,E,T,1,B,0xb101,-1,3291926333,-9710,47945,11928,1925,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_E_frame_00000021_seq_00000003_rxE_srcB.bin
